"CAEN.Rev.2...activitati.ale.economiei.nationale...sectiuni.si.diviziuni.","Luni","UM..Lei.RON","Valoare"
"TOTAL"," Luna septembrie 2016"," Lei RON",2898
"TOTAL"," Luna octombrie 2016"," Lei RON",2918
"TOTAL"," Luna noiembrie 2016"," Lei RON",3005
"TOTAL"," Luna decembrie 2016"," Lei RON",3257
"TOTAL"," Luna ianuarie 2017"," Lei RON",3168
"TOTAL"," Luna februarie 2017"," Lei RON",3108
"TOTAL"," Luna martie 2017"," Lei RON",3256
"TOTAL"," Luna aprilie 2017"," Lei RON",3291
"TOTAL"," Luna mai 2017"," Lei RON",3288
"TOTAL"," Luna iunie 2017"," Lei RON",3313
"TOTAL"," Luna iulie 2017"," Lei RON",3329
"TOTAL"," Luna august 2017"," Lei RON",3290
"TOTAL"," Luna septembrie 2017"," Lei RON",3305
"TOTAL"," Luna octombrie 2017"," Lei RON",3327
"TOTAL"," Luna noiembrie 2017"," Lei RON",3430
"TOTAL"," Luna decembrie 2017"," Lei RON",3662
"TOTAL"," Luna ianuarie 2018"," Lei RON",4143
"TOTAL"," Luna februarie 2018"," Lei RON",4128
"TOTAL"," Luna martie 2018"," Lei RON",4488
"TOTAL"," Luna aprilie 2018"," Lei RON",4512
"TOTAL"," Luna mai 2018"," Lei RON",4494
"TOTAL"," Luna iunie 2018"," Lei RON",4527
"TOTAL"," Luna iulie 2018"," Lei RON",4510
"TOTAL"," Luna august 2018"," Lei RON",4449
"TOTAL"," Luna septembrie 2018"," Lei RON",4482
"TOTAL"," Luna octombrie 2018"," Lei RON",4532
"TOTAL"," Luna noiembrie 2018"," Lei RON",4658
"TOTAL"," Luna decembrie 2018"," Lei RON",4938
"TOTAL"," Luna ianuarie 2019"," Lei RON",4837
"TOTAL"," Luna februarie 2019"," Lei RON",4819
"TOTAL"," Luna martie 2019"," Lei RON",5050
"TOTAL"," Luna aprilie 2019"," Lei RON",5105
"TOTAL"," Luna mai 2019"," Lei RON",5078
"TOTAL"," Luna iunie 2019"," Lei RON",5127
"TOTAL"," Luna iulie 2019"," Lei RON",5091
"TOTAL"," Luna august 2019"," Lei RON",4981
"TOTAL"," Luna septembrie 2019"," Lei RON",5041
"TOTAL"," Luna octombrie 2019"," Lei RON",5090
"TOTAL"," Luna noiembrie 2019"," Lei RON",5196
"TOTAL"," Luna decembrie 2019"," Lei RON",5465
"TOTAL"," Luna ianuarie 2020"," Lei RON",5225
"TOTAL"," Luna februarie 2020"," Lei RON",5243
"TOTAL"," Luna martie 2020"," Lei RON",5386
"TOTAL"," Luna aprilie 2020"," Lei RON",5201
"TOTAL"," Luna mai 2020"," Lei RON",5188
"TOTAL"," Luna iunie 2020"," Lei RON",5369
"TOTAL"," Luna iulie 2020"," Lei RON",5468
"TOTAL"," Luna august 2020"," Lei RON",5337
"TOTAL"," Luna septembrie 2020"," Lei RON",5414
"TOTAL"," Luna octombrie 2020"," Lei RON",5452
"TOTAL"," Luna noiembrie 2020"," Lei RON",5565
"TOTAL"," Luna decembrie 2020"," Lei RON",5906
"TOTAL"," Luna ianuarie 2021"," Lei RON",5549
"TOTAL"," Luna februarie 2021"," Lei RON",5497
"TOTAL"," Luna martie 2021"," Lei RON",5785
"TOTAL"," Luna aprilie 2021"," Lei RON",5804
"TOTAL"," Luna mai 2021"," Lei RON",5695
"TOTAL"," Luna iunie 2021"," Lei RON",5779
"TOTAL"," Luna iulie 2021"," Lei RON",5780
"TOTAL"," Luna august 2021"," Lei RON",5688
"TOTAL"," Luna septembrie 2021"," Lei RON",5732
"TOTAL"," Luna octombrie 2021"," Lei RON",5773
"TOTAL"," Luna noiembrie 2021"," Lei RON",5944
"TOTAL"," Luna decembrie 2021"," Lei RON",6327
"TOTAL"," Luna ianuarie 2022"," Lei RON",6031
"TOTAL"," Luna februarie 2022"," Lei RON",6059
"TOTAL"," Luna martie 2022"," Lei RON",6401
"TOTAL"," Luna aprilie 2022"," Lei RON",6443
"TOTAL"," Luna mai 2022"," Lei RON",6358
"TOTAL"," Luna iunie 2022"," Lei RON",6413
"TOTAL"," Luna iulie 2022"," Lei RON",6405
"TOTAL"," Luna august 2022"," Lei RON",6348
"TOTAL"," Luna septembrie 2022"," Lei RON",6457
"TOTAL"," Luna octombrie 2022"," Lei RON",6461
"TOTAL"," Luna noiembrie 2022"," Lei RON",6679
"TOTAL"," Luna decembrie 2022"," Lei RON",7107
"TOTAL"," Luna ianuarie 2023"," Lei RON",6831
"TOTAL"," Luna februarie 2023"," Lei RON",6845
"TOTAL"," Luna martie 2023"," Lei RON",7290
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna septembrie 2016"," Lei RON",2319
"A  AGRICULTURA  SILVICULTURA SI PESCUIT"," Luna octombrie 2016"," Lei RON",2335
