geo,Agriculture,Basic research,Broadcasting and publishing services,Civil defence,Communication,Community development,Cultural services,Defence,Defence n.e.c.,Economic affairs,Economic affairs n.e.c.,Education,Education n.e.c.,Education not definable by level,Environmental protection,Environmental protection n.e.c.,Executive and legislative organs,Family and children,Fire-protection services,Foreign economic aid,Foreign military aid,Fuel and energy,Health,Health n.e.c.,Hospital services,Housing,Housing and community amenities,Housing and community amenities n.e.c.,Housing development,Law courts,Medical products,Military defence,Mining,Old age,Other industries,Outpatient services,Police services,Pollution abatement,Post-secondary non-tertiary education,Pre-primary and primary education,Prisons,Protection of biodiversity and landscape,Public debt transactions,Public health services,Public order and safety,Public order and safety n.e.c.,R&D Defence,R&D Economic affairs,R&D Education,R&D Environmental protection,R&D General public services,R&D Health,R&D Recreation,R&D Social protection,Recreation,Recreational and sporting services,Religious and other community services,Secondary education,Sickness and disability,Social exclusion n.e.c.,Social protection,Social protection n.e.c.,Street lighting,Subsidiary services to education,Survivors,Tertiary education,Transport,Unemployment,Waste management,Waste water management,Water supply
Austria,0.34,0.5,0.3,0,0.1,0,0.5,0.6,0,7.32,0,4.88,0.1,0.22,0.4,0,2.22,2.16,0.2,0.16,0,0,8.78,0.3,4.86,0.1,0.3,0,0.18000000000000002,0.3,1.1400000000000001,0.58,0,13,0.18000000000000002,1.56,0.7,0.16,0,1.48,0.12000000000000001,0,1.62,0.46,1.38,0.1,0,0.9600000000000001,0,0,0,0.48,0,0,0.6,0.3,0.04,2.06,1.82,1.04,21.14,0.2,0.1,0.2,1.38,0.76,2.92,1.48,0.04,0.1,0
Belgia,0.1,1.12,0.2,0,0.1,0.1,0.5,0.8400000000000001,0,6.94,0,6.28,0.1,0.58,1.32,0.1,2.3000000000000003,2.22,0.2,0.22,0,0.1,8.04,0.2,3.92,0.22,0.36,0,0.1,0.27999999999999997,0.8,0.8,0,9.5,0.1,2.94,1.02,0.62,0,2.02,0.1,0.08,2.2,0.18000000000000002,1.74,0.1,0,0.3,0,0,0,0,0,0,0.65,0.4,0.1,2.42,3.48,1.1400000000000001,20.28,0.22,0.1,0.2,1.6,0.9,2.82,1.9200000000000002,0.4,0.1,0
Bulgaria,0.76,0.24,0.1,0.04,0.08,0.1,0.48,1.32,0,6.5,0,3.8,0.22,0,0.72,0.1,2.6,1.8599999999999999,0.26,0,0,1.58,5.2,0.32,3.48,0.1,1.12,0.32,0.42,0.6599999999999999,0.7,1.22,0.02,9.14,0.04,0.62,1.26,0,0,0.74,0.16,0,0.62,0.12000000000000001,2.62,0.2,0,0.02,0,0,0,0,0,0,0.86,0.18000000000000002,0.08,2.02,0.42,0.1,12.44,0.38,0.1,0.12000000000000001,0,0.6799999999999999,2.96,0.48,0.6,0.02,0.14
Cehia,0.52,0.64,0.2,0,0,0.2,0.62,0.92,0.1,6.6,0.2,4.76,0.1,0.1,0.86,0,2.66,1.6600000000000001,0.27999999999999997,0,0,0.92,8.32,0.2,3.86,0.18000000000000002,0.6799999999999999,0,0.24,0.3,0.9,0.8200000000000001,0,7.56,0.26,1.68,0.96,0,0,1.1600000000000001,0.2,0.2,0.8,1.56,1.92,0.16,0,0.24,0.3,0,0.02,0.1,0,0,0.74,0.46,0,2.12,2.3200000000000003,0.38,13.02,0.2,0.1,0.2,0.52,0.72,3.64,0.16,0.3,0.26,0.1
Cipru,0.58,0.54,0.2,0,0.1,0.6799999999999999,0.2,1.8599999999999999,0,5.42,0,5.32,0.02,0.38,0.32,0,3.08,2.7,0.16,0,0.1,0.24000000000000002,4.18,0,2.52,0,1.58,0.08,0.14,0.14,0.8200000000000001,1.78,0,6.08,0.42000000000000004,0.78,1.32,0,0,1.74,0.1,0,2.2,0.060000000000000005,1.68,0,0,0.1,0,0,0,0,0,0,0.42,0.3,0.1,1.88,0.44,1.26,12.52,0.1,0.060000000000000005,0.36,1.4,0.9400000000000001,0.6799999999999999,0.54,0.22,0.04,0.62
Croatia,0.6599999999999999,0.1,0.3,0,0.02,0.46,0.64,1.08,0.02,8.18,0.1,5.1,0.16,0,1.1600000000000001,0.45999999999999996,2.26,2.04,0.22,0,0,0.88,7.4,0.32,4.04,0.1,1.4,0.3,0.22,0.46,1.2,1.06,0.3,8.58,0.5,1.36,1.34,0,0,2.44,0.1,0.18000000000000002,2.48,0.42,2.24,0.1,0,0.1,0.22,0,0.14,0.04,0,0,0.79,0.34,0.1,0.9400000000000001,1.7,0.08,14.36,0.2,0.1,0.24,1.3,0.98,3.44,0.42000000000000004,0.26,0.2,0.32
Danemarca,0.22,1.52,0.2,0,0.02,0,0.6,1.18,0,3.76,0,6.3,0.1,0.1,0.4,0.1,1.62,4.32,0.1,0.8,0,0.38,8.64,0.44,6.0600000000000005,0.6799999999999999,0.18000000000000002,0,0.16,0.2,0.54,1.12,0,8.24,0.1,1.2,0.5599999999999999,0,0,2.9,0.2,0.2,0.74,0.18000000000000002,0.96,0,0,0.1,0,0,0,0.2,0,0,0.8200000000000001,0.4,0.4,1.58,4.48,1.6400000000000001,21.88,0.5,0,0.1,0,1.58,1.88,2.04,0,0,0
Elvetia,0.7,1.48,0.2,0.1,0,0.1,0.42000000000000004,0.8200000000000001,0,4.16,0,5.6000000000000005,0.1,1.16,0.6,0,0.88,0.62,0.1,0.4,0,0.36,2.36,0.060000000000000005,1.76,0.02,0.2,0,0,0.3,0,0.72,0,6.86,0.14,0.2,0.7,0.060000000000000005,0,1.24,0.2,0.04,0.38,0.26,1.68,0.4,0,0.1,0.08,0,0,0.1,0,0,0.52,0.4,0,1.6400000000000001,2.98,1.56,14.1,0,0,0.1,0.3,1.28,2.56,1.72,0.14,0.3,0.1
Estonia,0.46,0.48,0.2,0,0,0.1,0.96,2.1,0.04,4.66,0.12000000000000001,6.0600000000000005,0.2,0.3,0.6799999999999999,0.08,2.14,2.6,0.24,0.2,0,0.1,5.88,0.1,4.2,0,0.4,0.060000000000000005,0.1,0.3,0.74,2.08,0,7.34,0.12000000000000001,0.58,1,0.1,0.1,2.42,0.18000000000000002,0.12000000000000001,0.1,0.12,1.88,0.14,0,0.22,0.12000000000000001,0.1,0,0.16,0.1,0,1.11,0.58,0.02,1.58,2.16,0.2,13.34,0.16,0.12000000000000001,0.3,0.1,1.12,2.86,0.78,0.24,0.1,0
Finlanda,0.6799999999999999,0.9,0.3,0.08,0,0.22,0.5,1.24,0,4.58,0,5.66,0.1,0.2,0.2,0,1.56,3.02,0.26,0.26,0.02,0.14,7.3,0,3.18,0.62,0.32,0.12000000000000001,0,0.22,0.6599999999999999,1.08,0.04,13.86,0.02,3.2600000000000002,0.5,0.1,0,1.24,0.1,0.04,0.88,0.060000000000000005,1.16,0,0,0.58,0,0,0,0.1,0,0,0.75,0.5599999999999999,0.2,2.4,3.14,0.96,24.6,0.3,0,0,0.6599999999999999,1.72,2.32,2.02,0,0,0
