geo,Capital taxes,Compulsory employees' actual social contributions,Compulsory households' actual social contributions,Current taxes on capital,Current taxes on income,Employers' actual social contributions,Employers' imputed social contributions,Excise duties,Excise duties and consumption taxes,Households' actual social contributions,Net social contributions,Other current taxes,Other current taxes n.e.c.,Other taxes on production,Other taxes on production n.e.c.,Other taxes on products n.e.c.,Other taxes on specific services,Payments by households for licences,Stamp taxes,Taxes and duties on imports excluding VAT,Taxes on capital transfers,Taxes on financial and capital transactions,Taxes on imports excluding VAT and import duties,Taxes on income,Taxes on individual or household income including holding gains,Taxes on insurance premiums,Taxes on land,Taxes on lotteries,Taxes on pollution,Taxes on production and imports,Taxes on products,Taxes on the income or profits of corporations including holding gains,Taxes on the use of fixed assets,Value added type taxes (VAT)
Austria,0,6.0600000000000005,7.9799999999999995,0,13.42,7.04,0.44,0,2.06,8.04,15.52,0.8400000000000001,0.8400000000000001,3.22,0.5,0,0.1,0,0,0,0,0.32,0,12.6,9.68,0.3,0.2,0.1,0.02,13.86,6.88,2.62,0,7.6
Belgia,0.76,4,5.3,0.16,16.12,7.9799999999999995,2.22,0.27999999999999997,2.3,5.3,15.56,0.46,0,2.06,0.5,0.16,0,0.3,0,0.27999999999999997,0.6599999999999999,1.12,0.27999999999999997,15.66,11.620000000000001,0.52,1.2,0,0.1,13.38,7.8,3.82,0.1,6.76
Bulgaria,0.32,2.94,3.42,0,5.92,5.3,0,0,4.5200000000000005,3.42,8.74,0.2,0.2,1.18,0.24,0,0,0,0,0,0.32,0,0,5.76,3.36,0,0.3,0.060000000000000005,0.52,15.06,9.22,2.36,0.1,9.22
Cehia,0,3.2,5.64,0,8.26,9.98,0.04,1.56,1.76,5.64,15.66,0.2,0,0.62,0.1,0,0,0.1,0,1.56,0,0.16,1.56,8.06,4.64,0,0.2,0.2,0.22,11.82,6.64,3.4,0.1,7.54
Cipru,0,2.96,3.46,0.04,9.66,6.44,0,0.04,2.76,3.46,9.9,0.42000000000000004,0,1.9,0.2,0.1,0,0.38,0.52,0.08,0,0,0.04,9.24,3.24,0,0.2,0.08,0.1,14.24,7.94,5.8999999999999995,0,8.74
Croatia,0,5.26,5.66,0,6.22,5.54,0,0,4.34,5.88,11.4,0.54,0,1.12,0.14,0,0.12000000000000001,0.5,0,0,0,0.26,0,5.66,3.36,0.1,0.6799999999999999,0.2,0.16,19.2,11.56,2.2399999999999998,0.1,13
Danemarca,0.2833333333333333,0,0,0.5833333333333333,30.1,0.03333333333333333,0.11666666666666667,1.6,1.6666666666666667,0.6166666666666667,0.8,1.05,0,2.216666666666667,0,0,0,0.4166666666666667,0.3,1.6,0.2833333333333333,0,1.6,29.03333333333333,25.866666666666667,0.1,1.3,0.08333333333333334,0.08333333333333334,15.633333333333333,7.775,3.1833333333333336,0.18333333333333335,9.733333333333333
Elvetia,0.2,3.12,3.58,1.58,15.26,3.04,0.1,0.62,0.5,3.58,6.72,2.18,0.1,0.4,0,0,0,0.42000000000000004,0,0.8400000000000001,0.2,0.26,0.6799999999999999,13.08,8.5,0.1,0.1,0.1,0.2,5.48,3.05,3.04,0.1,3.16
Estonia,0,0.5,1.15,0,7.65,10.483333333333334,0.3,3.5666666666666664,0,1.15,11.9,0,0,0.9,0.1,0,0,0,0,3.5666666666666664,0,0,3.5666666666666664,7.65,5.933333333333334,0,0.2,0.1,0.55,13.65,6.416666666666667,1.6666666666666667,0,9
Finlanda,0.32,3.52,4.38,0.8,16.2,7.46,0,0,3.4,4.4799999999999995,11.94,1.2,0,0.16,0,0,0,0.4,0,0,0.32,0.36,0,15.02,12.46,0.3,0,0.08,0.08,13.94,9.18,2.5,0.1,9.2
