geo,time,values
Romania,2022,1409783.9
Romania,2021,1187402.4
Romania,2020,1066780.5
Romania,2019,1063794.6
Romania,2018,959058.6
Romania,2017,851619.7
Romania,2016,752116.4
Romania,2015,712543.6
Romania,2014,668876.4
Romania,2013,631602.9
Romania,2012,621268.7
Romania,2011,587203.3
Romania,2010,540336.3
Romania,2009,530894.4
Romania,2008,539834.6
Romania,2007,425691.1
Romania,2006,342762.6
Romania,2005,286861.9
Romania,2004,244688.3
Romania,2003,191917.6
Romania,2002,152271.5
Romania,2001,117391.4
Romania,2000,80873.1
Romania,1999,55126.4
Romania,1998,37007.7
Romania,1997,25500.1
Romania,1996,11387.7
Romania,1995,7610.6
