country;variable;percentile;year;value;age;pop
AG;egfcari999;p0p100;1990;0.10090267661907;999;i
AG;egfcari999;p0p100;1991;0.0999224710462036;999;i
AG;egfcari999;p0p100;1992;0.101169567396794;999;i
AG;egfcari999;p0p100;1993;0.104091203075429;999;i
AG;egfcari999;p0p100;1994;0.102330949399989;999;i
AG;egfcari999;p0p100;1995;0.102414385122502;999;i
AG;egfcari999;p0p100;1996;0.10120981611249;999;i
AG;egfcari999;p0p100;1997;0.097315894366001;999;i
AG;egfcari999;p0p100;1998;0.0950122832310854;999;i
AG;egfcari999;p0p100;1999;0.0944684541281451;999;i
AG;egfcari999;p0p100;2000;0.0782428600213372;999;i
AG;egfcari999;p0p100;2001;0.0878838251435263;999;i
AG;egfcari999;p0p100;2002;0.0915715227743956;999;i
AG;egfcari999;p0p100;2003;0.0940223320767978;999;i
AG;egfcari999;p0p100;2004;0.0949985968823237;999;i
AG;egfcari999;p0p100;2005;0.0952814322190087;999;i
AG;egfcari999;p0p100;2006;0.0914210055568888;999;i
AG;egfcari999;p0p100;2007;0.0910575047994784;999;i
AG;egfcari999;p0p100;2008;0.0964588961936131;999;i
AG;egfcari999;p0p100;2009;0.110648780924915;999;i
AG;egfcari999;p0p100;2010;0.109248845373048;999;i
AG;egfcari999;p0p100;2011;0.109548414646109;999;i
AG;egfcari999;p0p100;2012;0.111238735699024;999;i
AG;egfcari999;p0p100;2013;0.112383083357585;999;i
AG;egfcari999;p0p100;2014;0.111482499234899;999;i
AG;egfcari999;p0p100;2015;0.10972697597501;999;i
AG;egfcari999;p0p100;2016;0.110996094103608;999;i
AG;egfcari999;p0p100;2017;0.112265212232207;999;i
AG;egfcari999;p0p100;2018;0.113534330360805;999;i
AG;egfcari999;p0p100;2019;0.114803448489402;999;i
AG;egfcari999;p0p100;2020;0.109063276064932;999;i
AG;egfghgi999;p0p100;1980;0.11053318055513;999;i
AG;egfghgi999;p0p100;1981;0.111262601173508;999;i
AG;egfghgi999;p0p100;1982;0.11657290713053;999;i
AG;egfghgi999;p0p100;1983;0.119954775033274;999;i
AG;egfghgi999;p0p100;1984;0.115948142237901;999;i
