country;variable;percentile;year;value;age;pop
AI;afdinxi999;p0p100;1990;-3881.7;999;i
AI;afdinxi999;p0p100;1991;-2755;999;i
AI;afdinxi999;p0p100;1992;-3813.4;999;i
AI;afdinxi999;p0p100;1993;-4071;999;i
AI;afdinxi999;p0p100;1994;-4539.4;999;i
AI;afdinxi999;p0p100;1995;-3769.5;999;i
AI;afdinxi999;p0p100;1996;-2981.6;999;i
AI;afdinxi999;p0p100;1997;-2388.9;999;i
AI;afdinxi999;p0p100;1998;-1987.1;999;i
AI;afdinxi999;p0p100;1999;-2449.1;999;i
AI;afdinxi999;p0p100;2000;-3739.3;999;i
AI;afdinxi999;p0p100;2001;-2893.5;999;i
AI;afdinxi999;p0p100;2002;-2287;999;i
AI;afdinxi999;p0p100;2003;-2089.6;999;i
AI;afdinxi999;p0p100;2004;-1387.4;999;i
AI;afdinxi999;p0p100;2005;-1320.3;999;i
AI;afdinxi999;p0p100;2006;-1172.9;999;i
AI;afdinxi999;p0p100;2007;-981;999;i
AI;afdinxi999;p0p100;2008;-2639.7;999;i
AI;afdinxi999;p0p100;2009;-2313.5;999;i
AI;afdinxi999;p0p100;2010;-261.3;999;i
AI;afdinxi999;p0p100;2011;-370.7;999;i
AI;afdinxi999;p0p100;2012;-153.2;999;i
AI;afdinxi999;p0p100;2013;-149.6;999;i
AI;afdinxi999;p0p100;2014;-1548.7;999;i
AI;afdinxi999;p0p100;2015;-822.1;999;i
AI;afdinxi999;p0p100;2016;1887.2;999;i
AI;afdinxi999;p0p100;2017;-3588.5;999;i
AI;afdinxi999;p0p100;2018;88.6;999;i
AI;medugoi999;p0p100;1984;5333495;999;i
AI;medugoi999;p0p100;1985;5243565;999;i
AI;medugoi999;p0p100;1986;4966054;999;i
AI;medugoi999;p0p100;1987;5903358;999;i
AI;medugoi999;p0p100;1988;6235697;999;i
AI;medugoi999;p0p100;1989;6951010;999;i
AI;medugoi999;p0p100;1990;8942437;999;i
AI;medugoi999;p0p100;1991;8044796;999;i
AI;medugoi999;p0p100;1992;9556991;999;i
AI;medugoi999;p0p100;1993;9986071;999;i
AI;medugoi999;p0p100;1994;9679797;999;i
AI;medugoi999;p0p100;1995;10114809;999;i
AI;medugoi999;p0p100;1996;11763678;999;i
AI;medugoi999;p0p100;1997;12856054;999;i
AI;medugoi999;p0p100;1998;14034826;999;i
AI;medugoi999;p0p100;1999;17668144;999;i
AI;medugoi999;p0p100;2000;17084284;999;i
AI;medugoi999;p0p100;2001;18475658;999;i
AI;medugoi999;p0p100;2002;18712144;999;i
AI;medugoi999;p0p100;2003;18618344;999;i
AI;medugoi999;p0p100;2004;18317758;999;i
AI;medugoi999;p0p100;2005;18865650;999;i
AI;medugoi999;p0p100;2006;21611364;999;i
AI;acomnxi999;p0p100;1990;-365.8;999;i
AI;acomnxi999;p0p100;1991;0;999;i
AI;acomnxi999;p0p100;1992;0;999;i
AI;acomnxi999;p0p100;1993;0;999;i
AI;acomnxi999;p0p100;1994;0;999;i
AI;acomnxi999;p0p100;1995;0;999;i
AI;acomnxi999;p0p100;1996;0;999;i
AI;acomnxi999;p0p100;1997;0;999;i
AI;acomnxi999;p0p100;1998;0;999;i
AI;acomnxi999;p0p100;1999;0;999;i
AI;acomnxi999;p0p100;2000;0;999;i
AI;acomnxi999;p0p100;2001;0;999;i
AI;acomnxi999;p0p100;2002;77.3;999;i
AI;acomnxi999;p0p100;2003;155.5;999;i
AI;acomnxi999;p0p100;2004;1163.3;999;i
AI;acomnxi999;p0p100;2005;882.7;999;i
AI;acomnxi999;p0p100;2006;1042.2;999;i
AI;acomnxi999;p0p100;2007;-19;999;i
AI;acomnxi999;p0p100;2008;521.7;999;i
AI;acomnxi999;p0p100;2009;762.3;999;i
AI;acomnxi999;p0p100;2010;1004.6;999;i
AI;acomnxi999;p0p100;2011;637.9;999;i
AI;acomnxi999;p0p100;2012;44.3;999;i
AI;acomnxi999;p0p100;2013;47.9;999;i
AI;acomnxi999;p0p100;2014;-723.2;999;i
AI;acomnxi999;p0p100;2015;-592.9;999;i
AI;acomnxi999;p0p100;2016;-652;999;i
AI;acomnxi999;p0p100;2017;-400.8;999;i
AI;acomnxi999;p0p100;2018;-444.1;999;i
AI;acompxi999;p0p100;1990;174.3;999;i
AI;acompxi999;p0p100;1991;0;999;i
AI;acompxi999;p0p100;1992;0;999;i
AI;acompxi999;p0p100;1993;0;999;i
AI;acompxi999;p0p100;1994;0;999;i
AI;acompxi999;p0p100;1995;0;999;i
AI;acompxi999;p0p100;1996;0;999;i
AI;acompxi999;p0p100;1997;0;999;i
AI;acompxi999;p0p100;1998;0;999;i
AI;acompxi999;p0p100;1999;0;999;i
AI;acompxi999;p0p100;2000;0;999;i
AI;acompxi999;p0p100;2001;0;999;i
AI;acompxi999;p0p100;2002;0;999;i
AI;acompxi999;p0p100;2003;0;999;i
AI;acompxi999;p0p100;2004;0;999;i
AI;acompxi999;p0p100;2005;0;999;i
AI;acompxi999;p0p100;2006;0;999;i
AI;acompxi999;p0p100;2007;986.2;999;i
AI;acompxi999;p0p100;2008;485.5;999;i
AI;acompxi999;p0p100;2009;245.4;999;i
AI;acompxi999;p0p100;2010;5.2;999;i
AI;acompxi999;p0p100;2011;214.8;999;i
AI;acompxi999;p0p100;2012;162.6;999;i
AI;acompxi999;p0p100;2013;157;999;i
AI;acompxi999;p0p100;2014;817.8;999;i
AI;acompxi999;p0p100;2015;689.3;999;i
AI;acompxi999;p0p100;2016;738.1;999;i
AI;acompxi999;p0p100;2017;452.8;999;i
AI;acompxi999;p0p100;2018;501.7;999;i
AI;acomrxi999;p0p100;1990;-191.4;999;i
AI;acomrxi999;p0p100;1991;0;999;i
AI;acomrxi999;p0p100;1992;0;999;i
AI;acomrxi999;p0p100;1993;0;999;i
AI;acomrxi999;p0p100;1994;0;999;i
AI;acomrxi999;p0p100;1995;0;999;i
AI;acomrxi999;p0p100;1996;0;999;i
AI;acomrxi999;p0p100;1997;0;999;i
AI;acomrxi999;p0p100;1998;0;999;i
AI;acomrxi999;p0p100;1999;0;999;i
AI;acomrxi999;p0p100;2000;0;999;i
AI;acomrxi999;p0p100;2001;0;999;i
AI;acomrxi999;p0p100;2002;77.3;999;i
AI;acomrxi999;p0p100;2003;155.5;999;i
AI;acomrxi999;p0p100;2004;1163.3;999;i
