country;variable;percentile;year;value;age;pop
AN;npopuli999;p0p100;1970;150498;999;i
AN;npopuli999;p0p100;1971;152823;999;i
AN;npopuli999;p0p100;1972;155051;999;i
AN;npopuli999;p0p100;1973;157046;999;i
AN;npopuli999;p0p100;1974;158661;999;i
AN;npopuli999;p0p100;1975;159815;999;i
AN;npopuli999;p0p100;1976;160398;999;i
AN;npopuli999;p0p100;1977;160512;999;i
AN;npopuli999;p0p100;1978;160404;999;i
AN;npopuli999;p0p100;1979;160522;999;i
AN;npopuli999;p0p100;1980;161096;999;i
AN;npopuli999;p0p100;1981;162244;999;i
AN;npopuli999;p0p100;1982;163849;999;i
AN;npopuli999;p0p100;1983;165750;999;i
AN;npopuli999;p0p100;1984;167710;999;i
AN;npopuli999;p0p100;1985;169500;999;i
AN;npopuli999;p0p100;1986;171079;999;i
AN;npopuli999;p0p100;1987;172479;999;i
AN;npopuli999;p0p100;1988;173688;999;i
AN;npopuli999;p0p100;1989;174691;999;i
AN;npopuli999;p0p100;1990;175482;999;i
AN;npopuli999;p0p100;1991;176087;999;i
AN;npopuli999;p0p100;1992;176481;999;i
AN;npopuli999;p0p100;1993;176530;999;i
AN;npopuli999;p0p100;1994;176077;999;i
AN;npopuli999;p0p100;1995;175042;999;i
AN;npopuli999;p0p100;1996;173405;999;i
AN;npopuli999;p0p100;1997;171274;999;i
AN;npopuli999;p0p100;1998;168902;999;i
AN;npopuli999;p0p100;1999;166620;999;i
AN;npopuli999;p0p100;2000;164704;999;i
AN;npopuli999;p0p100;2001;163195;999;i
AN;npopuli999;p0p100;2002;162079;999;i
AN;npopuli999;p0p100;2003;161614;999;i
AN;npopuli999;p0p100;2004;162060;999;i
AN;npopuli999;p0p100;2005;163564;999;i
AN;npopuli999;p0p100;2006;166253;999;i
AN;npopuli999;p0p100;2007;169999;999;i
AN;npopuli999;p0p100;2008;174426;999;i
AN;npopuli999;p0p100;2009;179014;999;i
AN;npopuli999;p0p100;2010;183360;999;i
AN;npopuli999;p0p100;2011;187373;999;i
AN;npopuli999;p0p100;2012;191058;999;i
AN;npopuli999;p0p100;2020;206969;999;i
