country;variable;percentile;year;value;age;pop
AS;ahweali999;p0p100;2002;11806;999;i
AS;ahweali999;p0p100;2003;12594.2;999;i
AS;ahweali999;p0p100;2004;13421;999;i
AS;ahweali999;p0p100;2005;14250.6;999;i
AS;ahweali999;p0p100;2006;14562.5;999;i
AS;ahweali999;p0p100;2007;15949.9;999;i
AS;ahweali999;p0p100;2008;16551.3;999;i
AS;ahweali999;p0p100;2009;16766.8;999;i
AS;ahweali999;p0p100;2010;17729.6;999;i
AS;ahweali999;p0p100;2011;18528.4;999;i
AS;ahweali999;p0p100;2012;18314.9;999;i
AS;ahweali999;p0p100;2013;18442.1;999;i
AS;ahweali999;p0p100;2014;19484.2;999;i
AS;ahweali999;p0p100;2015;20936.8;999;i
AS;ahweali999;p0p100;2016;21368.7;999;i
AS;ahweali999;p0p100;2017;20509.1;999;i
AS;ahweali999;p0p100;2018;22017.3;999;i
AS;ahweali999;p0p100;2019;22795.1;999;i
AS;ahweali999;p0p100;2020;24753.3;999;i
AS;ahweali999;p0p100;2021;26816.4;999;i
AS;anninci999;p0p100;2002;12674.2;999;i
AS;anninci999;p0p100;2003;12729.2;999;i
AS;anninci999;p0p100;2004;12760.1;999;i
AS;anninci999;p0p100;2005;12741.9;999;i
AS;anninci999;p0p100;2006;12265.7;999;i
AS;anninci999;p0p100;2007;12707.1;999;i
AS;anninci999;p0p100;2008;12541.4;999;i
AS;anninci999;p0p100;2009;12151.7;999;i
AS;anninci999;p0p100;2010;12354.4;999;i
AS;anninci999;p0p100;2011;12454.3;999;i
AS;anninci999;p0p100;2012;11891.6;999;i
AS;anninci999;p0p100;2013;11566.5;999;i
AS;anninci999;p0p100;2014;11795.2;999;i
AS;anninci999;p0p100;2015;12222.5;999;i
AS;anninci999;p0p100;2016;12021.1;999;i
AS;anninci999;p0p100;2017;11111.5;999;i
AS;anninci999;p0p100;2018;11482.1;999;i
AS;anninci999;p0p100;2019;11436.6;999;i
AS;anninci999;p0p100;2020;11944.6;999;i
AS;anninci999;p0p100;2021;12460.9;999;i
AS;mpweali999;p0p100;2002;834847529;999;i
AS;mpweali999;p0p100;2003;888787710;999;i
AS;mpweali999;p0p100;2004;941733247;999;i
AS;mpweali999;p0p100;2005;989782156;999;i
AS;mpweali999;p0p100;2006;996100890;999;i
AS;mpweali999;p0p100;2007;1069913580;999;i
AS;mpweali999;p0p100;2008;1086947094;999;i
AS;mpweali999;p0p100;2009;1079615412;999;i
AS;mpweali999;p0p100;2010;1123760263;999;i
AS;mpweali999;p0p100;2011;1162100491;999;i
AS;mpweali999;p0p100;2012;1141385773;999;i
AS;mpweali999;p0p100;2013;1144765677;999;i
AS;mpweali999;p0p100;2014;1205252530;999;i
AS;mpweali999;p0p100;2015;1289216678;999;i
AS;mpweali999;p0p100;2016;1307691128;999;i
AS;mpweali999;p0p100;2017;1246308159;999;i
AS;mpweali999;p0p100;2018;1327938482;999;i
AS;mpweali999;p0p100;2019;1364797800;999;i
AS;mpweali999;p0p100;2020;1472366775;999;i
AS;mpweali999;p0p100;2021;1585979203;999;i
AS;aconfci999;p0p100;2002;1728.8;999;i
AS;aconfci999;p0p100;2003;1709.2;999;i
AS;aconfci999;p0p100;2004;1694.5;999;i
AS;aconfci999;p0p100;2005;1682.5;999;i
AS;aconfci999;p0p100;2006;1674;999;i
AS;aconfci999;p0p100;2007;1671.2;999;i
AS;aconfci999;p0p100;2008;1667.4;999;i
AS;aconfci999;p0p100;2009;1659.4;999;i
AS;aconfci999;p0p100;2010;1647.3;999;i
AS;aconfci999;p0p100;2011;1627.7;999;i
AS;aconfci999;p0p100;2012;1602.3;999;i
AS;aconfci999;p0p100;2013;1579.2;999;i
AS;aconfci999;p0p100;2014;1563.4;999;i
AS;aconfci999;p0p100;2015;1551.8;999;i
AS;aconfci999;p0p100;2016;1539.1;999;i
AS;aconfci999;p0p100;2017;1528.6;999;i
AS;aconfci999;p0p100;2018;1531.9;999;i
AS;aconfci999;p0p100;2019;1549.7;999;i
AS;aconfci999;p0p100;2020;1580.6;999;i
AS;aconfci999;p0p100;2021;1617.9;999;i
AS;agninci999;p0p100;2002;14403;999;i
AS;agninci999;p0p100;2003;14438.4;999;i
AS;agninci999;p0p100;2004;14454.6;999;i
AS;agninci999;p0p100;2005;14424.4;999;i
AS;agninci999;p0p100;2006;13939.7;999;i
AS;agninci999;p0p100;2007;14378.3;999;i
AS;agninci999;p0p100;2008;14208.8;999;i
AS;agninci999;p0p100;2009;13811.1;999;i
AS;agninci999;p0p100;2010;14001.7;999;i
AS;agninci999;p0p100;2011;14082;999;i
AS;agninci999;p0p100;2012;13493.9;999;i
AS;agninci999;p0p100;2013;13145.7;999;i
AS;agninci999;p0p100;2014;13358.7;999;i
AS;agninci999;p0p100;2015;13774.3;999;i
AS;agninci999;p0p100;2016;13560.2;999;i
AS;agninci999;p0p100;2017;12640.1;999;i
AS;agninci999;p0p100;2018;13014;999;i
AS;agninci999;p0p100;2019;12986.3;999;i
AS;agninci999;p0p100;2020;13525.2;999;i
AS;agninci999;p0p100;2021;14078.8;999;i
AS;agdproi999;p0p100;2002;14403;999;i
AS;agdproi999;p0p100;2003;14438.4;999;i
AS;agdproi999;p0p100;2004;14454.6;999;i
AS;agdproi999;p0p100;2005;14424.4;999;i
AS;agdproi999;p0p100;2006;13939.7;999;i
AS;agdproi999;p0p100;2007;14378.3;999;i
AS;agdproi999;p0p100;2008;14208.8;999;i
AS;agdproi999;p0p100;2009;13811.1;999;i
AS;agdproi999;p0p100;2010;14001.7;999;i
AS;agdproi999;p0p100;2011;14082;999;i
AS;agdproi999;p0p100;2012;13493.9;999;i
AS;agdproi999;p0p100;2013;13145.7;999;i
