country;variable;percentile;year;value;age;pop
BB;egfcari999;p0p100;1990;0.201806779331003;999;i
BB;egfcari999;p0p100;1991;0.199061770050272;999;i
BB;egfcari999;p0p100;1992;0.19683993123177;999;i
BB;egfcari999;p0p100;1993;0.203526002787419;999;i
BB;egfcari999;p0p100;1994;0.196491238063973;999;i
BB;egfcari999;p0p100;1995;0.196751562038623;999;i
BB;egfcari999;p0p100;1996;0.199762824546187;999;i
BB;egfcari999;p0p100;1997;0.189144536028134;999;i
BB;egfcari999;p0p100;1998;0.188621804880045;999;i
BB;egfcari999;p0p100;1999;0.190485775103503;999;i
BB;egfcari999;p0p100;2000;0.198305307499039;999;i
BB;egfcari999;p0p100;2001;0.199033822652853;999;i
BB;egfcari999;p0p100;2002;0.20333704367704;999;i
BB;egfcari999;p0p100;2003;0.236798412810089;999;i
BB;egfcari999;p0p100;2004;0.236445224032469;999;i
BB;egfcari999;p0p100;2005;0.237917760155225;999;i
BB;egfcari999;p0p100;2006;0.226675961698536;999;i
BB;egfcari999;p0p100;2007;0.234952918173855;999;i
BB;egfcari999;p0p100;2008;0.253938130201089;999;i
BB;egfcari999;p0p100;2009;0.280723230528615;999;i
BB;egfcari999;p0p100;2010;0.273506081410478;999;i
BB;egfcari999;p0p100;2011;0.266894328386796;999;i
BB;egfcari999;p0p100;2012;0.25491254677149;999;i
BB;egfcari999;p0p100;2013;0.276535792652297;999;i
BB;egfcari999;p0p100;2014;0.268674489199324;999;i
BB;egfcari999;p0p100;2015;0.268351853484598;999;i
BB;egfcari999;p0p100;2016;0.2707861721014;999;i
BB;egfcari999;p0p100;2017;0.273220490718202;999;i
BB;egfcari999;p0p100;2018;0.275654809335004;999;i
BB;egfcari999;p0p100;2019;0.278089127951805;999;i
BB;egfcari999;p0p100;2020;0.264184671554215;999;i
BB;egfghgi999;p0p100;1980;0.202447690874646;999;i
BB;egfghgi999;p0p100;1981;0.204351711984283;999;i
BB;egfghgi999;p0p100;1982;0.210323636000447;999;i
BB;egfghgi999;p0p100;1983;0.214526037918911;999;i
BB;egfghgi999;p0p100;1984;0.217282542279956;999;i
BB;egfghgi999;p0p100;1985;0.224040558938696;999;i
BB;egfghgi999;p0p100;1986;0.227764307585508;999;i
BB;egfghgi999;p0p100;1987;0.233685234826835;999;i
BB;egfghgi999;p0p100;1988;0.233645934256908;999;i
BB;egfghgi999;p0p100;1989;0.23770686987946;999;i
BB;egfghgi999;p0p100;1990;0.248177832185234;999;i
BB;egfghgi999;p0p100;1991;0.244600603289573;999;i
BB;egfghgi999;p0p100;1992;0.242591705675388;999;i
BB;egfghgi999;p0p100;1993;0.250587741773997;999;i
BB;egfghgi999;p0p100;1994;0.244932080321014;999;i
BB;egfghgi999;p0p100;1995;0.244866323449407;999;i
BB;egfghgi999;p0p100;1996;0.248797751788736;999;i
BB;egfghgi999;p0p100;1997;0.236360100985831;999;i
BB;egfghgi999;p0p100;1998;0.235159625366365;999;i
BB;egfghgi999;p0p100;1999;0.237697104277589;999;i
BB;egfghgi999;p0p100;2000;0.247522869902971;999;i
BB;egfghgi999;p0p100;2001;0.248475524153135;999;i
BB;egfghgi999;p0p100;2002;0.253927823228697;999;i
BB;egfghgi999;p0p100;2003;0.293366806276169;999;i
BB;egfghgi999;p0p100;2004;0.292368464401782;999;i
BB;egfghgi999;p0p100;2005;0.293593421582356;999;i
BB;egfghgi999;p0p100;2006;0.279589739499928;999;i
BB;egfghgi999;p0p100;2007;0.289464868106052;999;i
BB;egfghgi999;p0p100;2008;0.312115530560408;999;i
BB;egfghgi999;p0p100;2009;0.344642422650114;999;i
BB;egfghgi999;p0p100;2010;0.336508837136737;999;i
BB;egfghgi999;p0p100;2011;0.329408085373166;999;i
BB;egfghgi999;p0p100;2012;0.31455294958301;999;i
BB;egfghgi999;p0p100;2013;0.34069484923177;999;i
BB;egfghgi999;p0p100;2014;0.331169468534837;999;i
BB;egfghgi999;p0p100;2015;0.330296931086999;999;i
BB;egfghgi999;p0p100;2016;0.333293176344772;999;i
BB;egfghgi999;p0p100;2017;0.336289421602543;999;i
BB;egfghgi999;p0p100;2018;0.339285666860316;999;i
BB;egfghgi999;p0p100;2019;0.342281912118088;999;i
BB;egfghgi999;p0p100;2020;0.325167816512183;999;i
BB;egfghoi999;p0p100;1990;0.0463710528542317;999;i
BB;egfghoi999;p0p100;1991;0.0455388332393016;999;i
BB;egfghoi999;p0p100;1992;0.0457517744436177;999;i
BB;egfghoi999;p0p100;1993;0.0470617389865779;999;i
BB;egfghoi999;p0p100;1994;0.0484408422570408;999;i
BB;egfghoi999;p0p100;1995;0.0481147614107836;999;i
BB;egfghoi999;p0p100;1996;0.049034927242549;999;i
BB;egfghoi999;p0p100;1997;0.0472155649576968;999;i
BB;egfghoi999;p0p100;1998;0.0465378204863202;999;i
BB;egfghoi999;p0p100;1999;0.0472113291740866;999;i
BB;egfghoi999;p0p100;2000;0.0492175624039318;999;i
BB;egfghoi999;p0p100;2001;0.0494417015002823;999;i
BB;egfghoi999;p0p100;2002;0.0505907795516576;999;i
BB;egfghoi999;p0p100;2003;0.0565683934660803;999;i
BB;egfghoi999;p0p100;2004;0.0559232403693128;999;i
BB;egfghoi999;p0p100;2005;0.0556756614271306;999;i
BB;egfghoi999;p0p100;2006;0.0529137778013914;999;i
BB;egfghoi999;p0p100;2007;0.0545119499321965;999;i
BB;egfghoi999;p0p100;2008;0.058177400359319;999;i
BB;egfghoi999;p0p100;2009;0.0639191921214983;999;i
BB;egfghoi999;p0p100;2010;0.0630027557262591;999;i
BB;egfghoi999;p0p100;2011;0.0625137569863704;999;i
BB;egfghoi999;p0p100;2012;0.0596404028115196;999;i
BB;egfghoi999;p0p100;2013;0.0641590565794724;999;i
BB;egfghoi999;p0p100;2014;0.0624949793355123;999;i
BB;egfghoi999;p0p100;2015;0.0619450776024011;999;i
BB;egfghoi999;p0p100;2016;0.0625070042433714;999;i
BB;egfghoi999;p0p100;2017;0.0630689308843417;999;i
BB;egfghoi999;p0p100;2018;0.0636308575253121;999;i
BB;egfghoi999;p0p100;2019;0.0641927841662823;999;i
BB;egfghoi999;p0p100;2020;0.0609831449579682;999;i
BB;ehfghgi999;p0p100;1980;1.06356020548267;999;i
BB;ehfghgi999;p0p100;1981;1.07497055541661;999;i
BB;ehfghgi999;p0p100;1982;1.08564663030595;999;i
BB;ehfghgi999;p0p100;1983;1.12404331157715;999;i
BB;ehfghgi999;p0p100;1984;1.14749250798822;999;i
BB;ehfghgi999;p0p100;1985;1.1855329721767;999;i
BB;ehfghgi999;p0p100;1986;1.22077047949182;999;i
BB;ehfghgi999;p0p100;1987;1.24507465204138;999;i
BB;ehfghgi999;p0p100;1988;1.2571286782684;999;i
BB;ehfghgi999;p0p100;1989;1.26319516647629;999;i
BB;ehfghgi999;p0p100;1990;1.28095736901077;999;i
BB;ehfghgi999;p0p100;1991;1.32171663133894;999;i
BB;ehfghgi999;p0p100;1992;1.34168457327716;999;i
BB;ehfghgi999;p0p100;1993;1.36428613579321;999;i
BB;ehfghgi999;p0p100;1994;1.32523265006301;999;i
BB;ehfghgi999;p0p100;1995;1.35428246201673;999;i
BB;ehfghgi999;p0p100;1996;1.37461128505048;999;i
BB;ehfghgi999;p0p100;1997;1.42625315620895;999;i
BB;ehfghgi999;p0p100;1998;1.46959291790275;999;i
BB;ehfghgi999;p0p100;1999;1.49314787890742;999;i
BB;ehfghgi999;p0p100;2000;1.5183727480497;999;i
BB;ehfghgi999;p0p100;2001;1.54338614859196;999;i
BB;ehfghgi999;p0p100;2002;1.55602709987287;999;i
BB;ehfghgi999;p0p100;2003;1.52850667190999;999;i
BB;ehfghgi999;p0p100;2004;1.54249903404492;999;i
BB;ehfghgi999;p0p100;2005;1.55501390463384;999;i
BB;ehfghgi999;p0p100;2006;1.55781126034654;999;i
BB;ehfghgi999;p0p100;2007;1.56548271592596;999;i
BB;ehfghgi999;p0p100;2008;1.60871812599109;999;i
BB;ehfghgi999;p0p100;2009;1.62103079841366;999;i
BB;ehfghgi999;p0p100;2010;1.62568288772862;999;i
