country;variable;percentile;year;value;age;pop
BM;afdipxi999;p0p100;2006;922.7;999;i
BM;afdipxi999;p0p100;2007;4229.3;999;i
BM;afdipxi999;p0p100;2008;6002;999;i
BM;afdipxi999;p0p100;2009;3559.7;999;i
BM;afdipxi999;p0p100;2010;3067.2;999;i
BM;afdipxi999;p0p100;2011;3651.7;999;i
BM;afdipxi999;p0p100;2012;1782;999;i
BM;afdipxi999;p0p100;2013;12026.6;999;i
BM;afdipxi999;p0p100;2014;1713.1;999;i
BM;afdipxi999;p0p100;2015;1379.4;999;i
BM;afdipxi999;p0p100;2016;1899.2;999;i
BM;afdipxi999;p0p100;2017;987.4;999;i
BM;afdipxi999;p0p100;2018;2096.2;999;i
BM;afinrxi999;p0p100;1996;95740.6;999;i
BM;afinrxi999;p0p100;1997;105971.2;999;i
BM;afinrxi999;p0p100;1998;93904.7;999;i
BM;afinrxi999;p0p100;1999;96397.2;999;i
BM;afinrxi999;p0p100;2000;96560.1;999;i
BM;afinrxi999;p0p100;2001;97791.2;999;i
BM;afinrxi999;p0p100;2002;95066.8;999;i
BM;afinrxi999;p0p100;2003;116062.2;999;i
BM;afinrxi999;p0p100;2004;106234.8;999;i
BM;afinrxi999;p0p100;2005;118393.6;999;i
BM;afinrxi999;p0p100;2006;123805.8;999;i
BM;afinrxi999;p0p100;2007;137497.7;999;i
BM;afinrxi999;p0p100;2008;109736.2;999;i
BM;afinrxi999;p0p100;2009;100231.6;999;i
BM;afinrxi999;p0p100;2010;97249.4;999;i
BM;afinrxi999;p0p100;2011;55153.5;999;i
BM;afinrxi999;p0p100;2012;66506.6;999;i
BM;afinrxi999;p0p100;2013;82782.9;999;i
BM;afinrxi999;p0p100;2014;83025.3;999;i
BM;afinrxi999;p0p100;2015;80535.9;999;i
BM;afinrxi999;p0p100;2016;70883.6;999;i
BM;afinrxi999;p0p100;2017;67630.4;999;i
BM;afinrxi999;p0p100;2018;74900.4;999;i
BM;afinrxi999;p0p100;2019;34095.1;999;i
BM;aflcipi999;p0p100;1996;2395.5;999;i
BM;aflcipi999;p0p100;1997;2685.9;999;i
BM;aflcipi999;p0p100;1998;2030.6;999;i
BM;aflcipi999;p0p100;1999;2311.8;999;i
BM;aflcipi999;p0p100;2000;5074.6;999;i
BM;aflcipi999;p0p100;2001;7339.7;999;i
BM;aflcipi999;p0p100;2002;9581.6;999;i
BM;aflcipi999;p0p100;2003;8065.3;999;i
BM;aflcipi999;p0p100;2004;8807.2;999;i
BM;aflcipi999;p0p100;2005;10640.3;999;i
BM;aflcipi999;p0p100;2006;13057.3;999;i
BM;aflcipi999;p0p100;2007;15929.2;999;i
BM;aflcipi999;p0p100;2008;16317;999;i
BM;aflcipi999;p0p100;2009;11288.5;999;i
BM;aflcipi999;p0p100;2010;11884.8;999;i
BM;aflcipi999;p0p100;2011;12698.2;999;i
BM;aflcipi999;p0p100;2012;9174.7;999;i
BM;aflcipi999;p0p100;2013;19856.9;999;i
BM;aflcipi999;p0p100;2014;9391.8;999;i
BM;aflcipi999;p0p100;2015;6489.4;999;i
BM;aflcipi999;p0p100;2016;5451.2;999;i
BM;aflcipi999;p0p100;2017;5223.9;999;i
BM;aflcipi999;p0p100;2018;5107.9;999;i
BM;aflcipi999;p0p100;2019;7224.4;999;i
BM;acfchoi999;p0p100;2000;4.9;999;i
BM;acfchoi999;p0p100;2001;737.5;999;i
BM;acfchoi999;p0p100;2002;723;999;i
BM;acfchoi999;p0p100;2003;723.7;999;i
BM;acfchoi999;p0p100;2004;735.2;999;i
BM;acfchoi999;p0p100;2005;730.8;999;i
BM;acfchoi999;p0p100;2006;750.7;999;i
BM;acfchoi999;p0p100;2007;720.2;999;i
BM;acfchoi999;p0p100;2008;703.4;999;i
BM;acfchoi999;p0p100;2009;709.8;999;i
BM;acfchoi999;p0p100;2010;773.5;999;i
BM;acfchoi999;p0p100;2011;813.8;999;i
BM;acfchoi999;p0p100;2012;780.1;999;i
BM;acfchoi999;p0p100;2013;774.8;999;i
BM;acfchoi999;p0p100;2014;754;999;i
BM;acfchoi999;p0p100;2015;746;999;i
BM;acfchoi999;p0p100;2016;731.6;999;i
BM;acfchoi999;p0p100;2017;779.6;999;i
BM;acfchoi999;p0p100;2018;766.4;999;i
BM;acfchoi999;p0p100;2019;763.4;999;i
BM;acfchni999;p0p100;2000;69.1;999;i
BM;acfchni999;p0p100;2001;871.5;999;i
BM;acfchni999;p0p100;2002;826.9;999;i
BM;acfchni999;p0p100;2003;811.8;999;i
BM;acfchni999;p0p100;2004;866.5;999;i
BM;acfchni999;p0p100;2005;876.8;999;i
BM;acfchni999;p0p100;2006;884.9;999;i
BM;acfchni999;p0p100;2007;831.5;999;i
BM;acfchni999;p0p100;2008;787.5;999;i
BM;acfchni999;p0p100;2009;833.8;999;i
BM;acfchni999;p0p100;2010;896.6;999;i
BM;acfchni999;p0p100;2011;907.3;999;i
BM;acfchni999;p0p100;2012;897.4;999;i
BM;acfchni999;p0p100;2013;909.1;999;i
BM;acfchni999;p0p100;2014;869.7;999;i
BM;acfchni999;p0p100;2015;886.3;999;i
BM;acfchni999;p0p100;2016;876;999;i
BM;acfchni999;p0p100;2017;931.6;999;i
BM;acfchni999;p0p100;2018;940.1;999;i
BM;acfchni999;p0p100;2019;906.7;999;i
BM;annfini999;p0p100;1996;93345.1;999;i
BM;annfini999;p0p100;1997;103285.3;999;i
BM;annfini999;p0p100;1998;91874.1;999;i
BM;annfini999;p0p100;1999;94085.3;999;i
BM;annfini999;p0p100;2000;91485.6;999;i
BM;annfini999;p0p100;2001;90451.5;999;i
BM;annfini999;p0p100;2002;85485.2;999;i
BM;annfini999;p0p100;2003;107996.9;999;i
BM;annfini999;p0p100;2004;97427.6;999;i
BM;annfini999;p0p100;2005;107753.3;999;i
BM;annfini999;p0p100;2006;110748.5;999;i
BM;annfini999;p0p100;2007;121568.5;999;i
