country;variable;percentile;year;value;age;pop
CD;egfcari999;p0p100;1990;0.503280844304505;999;i
CD;egfcari999;p0p100;1991;0.383876825350386;999;i
CD;egfcari999;p0p100;1992;0.368522183220587;999;i
CD;egfcari999;p0p100;1993;0.28873059727929;999;i
CD;egfcari999;p0p100;1994;0.262405661678035;999;i
CD;egfcari999;p0p100;1995;0.292508337910877;999;i
CD;egfcari999;p0p100;1996;0.330328166599686;999;i
CD;egfcari999;p0p100;1997;0.264251265666827;999;i
CD;egfcari999;p0p100;1998;0.250571217277483;999;i
CD;egfcari999;p0p100;1999;0.193492454501883;999;i
CD;egfcari999;p0p100;2000;0.20638178285274;999;i
CD;egfcari999;p0p100;2001;0.179810174281587;999;i
CD;egfcari999;p0p100;2002;0.196464175874522;999;i
CD;egfcari999;p0p100;2003;0.23238720365793;999;i
CD;egfcari999;p0p100;2004;0.254421312605391;999;i
CD;egfcari999;p0p100;2005;0.288814959554886;999;i
CD;egfcari999;p0p100;2006;0.335797046787401;999;i
CD;egfcari999;p0p100;2007;0.408207021403402;999;i
CD;egfcari999;p0p100;2008;0.461656611685478;999;i
CD;egfcari999;p0p100;2009;0.431053988152253;999;i
CD;egfcari999;p0p100;2010;0.476561251311587;999;i
CD;egfcari999;p0p100;2011;0.541133013795095;999;i
CD;egfcari999;p0p100;2012;0.558989392572278;999;i
CD;egfcari999;p0p100;2013;0.732388191267367;999;i
CD;egfcari999;p0p100;2014;0.829377899561755;999;i
CD;egfcari999;p0p100;2015;0.685636301216116;999;i
CD;egfcari999;p0p100;2016;0.687667816182682;999;i
CD;egfcari999;p0p100;2017;0.63180115460211;999;i
CD;egfcari999;p0p100;2018;0.623675094735845;999;i
CD;egfcari999;p0p100;2019;0.604727940683186;999;i
CD;egfcari999;p0p100;2020;0.589609742166107;999;i
CD;egfghgi999;p0p100;1980;2.28409008789062;999;i
CD;egfghgi999;p0p100;1981;2.12481127929688;999;i
CD;egfghgi999;p0p100;1982;2.51597338867187;999;i
CD;egfghgi999;p0p100;1983;2.61216625976563;999;i
CD;egfghgi999;p0p100;1984;2.02152612304688;999;i
CD;egfghgi999;p0p100;1985;2.1583955078125;999;i
CD;egfghgi999;p0p100;1986;2.17281016462368;999;i
CD;egfghgi999;p0p100;1987;2.90293804255311;999;i
CD;egfghgi999;p0p100;1988;2.15422670443344;999;i
CD;egfghgi999;p0p100;1989;2.43789046225114;999;i
CD;egfghgi999;p0p100;1990;3.30252989740164;999;i
CD;egfghgi999;p0p100;1991;3.01066822684144;999;i
CD;egfghgi999;p0p100;1992;3.17516010643715;999;i
CD;egfghgi999;p0p100;1993;2.69844933203875;999;i
CD;egfghgi999;p0p100;1994;2.58717829846928;999;i
CD;egfghgi999;p0p100;1995;2.60334683511369;999;i
CD;egfghgi999;p0p100;1996;2.41565542676627;999;i
CD;egfghgi999;p0p100;1997;2.16191337287186;999;i
CD;egfghgi999;p0p100;1998;1.96514955297319;999;i
CD;egfghgi999;p0p100;1999;1.76833072976678;999;i
CD;egfghgi999;p0p100;2000;2.30732067161162;999;i
CD;egfghgi999;p0p100;2001;2.23019195737655;999;i
CD;egfghgi999;p0p100;2002;2.41515744638509;999;i
CD;egfghgi999;p0p100;2003;2.76474638366456;999;i
CD;egfghgi999;p0p100;2004;2.96928094626955;999;i
CD;egfghgi999;p0p100;2005;3.02365810558812;999;i
CD;egfghgi999;p0p100;2006;3.48387330097037;999;i
CD;egfghgi999;p0p100;2007;3.34464034782078;999;i
CD;egfghgi999;p0p100;2008;3.6993396510687;999;i
CD;egfghgi999;p0p100;2009;3.7818184724789;999;i
CD;egfghgi999;p0p100;2010;3.83174723064808;999;i
CD;egfghgi999;p0p100;2011;3.98982571327105;999;i
CD;egfghgi999;p0p100;2012;4.13368843158354;999;i
CD;egfghgi999;p0p100;2013;4.68632550517922;999;i
CD;egfghgi999;p0p100;2014;4.83653747585064;999;i
CD;egfghgi999;p0p100;2015;4.9433819259462;999;i
CD;egfghgi999;p0p100;2016;4.84529895122504;999;i
CD;egfghgi999;p0p100;2017;4.98915398081607;999;i
CD;egfghgi999;p0p100;2018;4.88453214111351;999;i
CD;egfghgi999;p0p100;2019;4.7361408012412;999;i
CD;egfghgi999;p0p100;2020;4.61773728121017;999;i
CD;egfghoi999;p0p100;1990;2.79924905309713;999;i
CD;egfghoi999;p0p100;1991;2.62679140149105;999;i
CD;egfghoi999;p0p100;1992;2.80663792321656;999;i
CD;egfghoi999;p0p100;1993;2.40971873475946;999;i
CD;egfghoi999;p0p100;1994;2.32477263679124;999;i
CD;egfghoi999;p0p100;1995;2.31083849720281;999;i
CD;egfghoi999;p0p100;1996;2.08532726016659;999;i
CD;egfghoi999;p0p100;1997;1.89766210720503;999;i
CD;egfghoi999;p0p100;1998;1.71457833569571;999;i
CD;egfghoi999;p0p100;1999;1.57483827526489;999;i
CD;egfghoi999;p0p100;2000;2.10093888875888;999;i
CD;egfghoi999;p0p100;2001;2.05038178309496;999;i
CD;egfghoi999;p0p100;2002;2.21869327051057;999;i
CD;egfghoi999;p0p100;2003;2.53235918000663;999;i
CD;egfghoi999;p0p100;2004;2.71485963366416;999;i
CD;egfghoi999;p0p100;2005;2.73484314603323;999;i
CD;egfghoi999;p0p100;2006;3.14807625418297;999;i
CD;egfghoi999;p0p100;2007;2.93643332641738;999;i
CD;egfghoi999;p0p100;2008;3.23768303938323;999;i
CD;egfghoi999;p0p100;2009;3.35076448432665;999;i
CD;egfghoi999;p0p100;2010;3.35518597933649;999;i
CD;egfghoi999;p0p100;2011;3.44869269947596;999;i
CD;egfghoi999;p0p100;2012;3.57469903901126;999;i
CD;egfghoi999;p0p100;2013;3.95393731391185;999;i
CD;egfghoi999;p0p100;2014;4.00715957628888;999;i
CD;egfghoi999;p0p100;2015;4.25774562473008;999;i
CD;egfghoi999;p0p100;2016;4.15763113504236;999;i
CD;egfghoi999;p0p100;2017;4.35735282621396;999;i
CD;egfghoi999;p0p100;2018;4.26085704637766;999;i
CD;egfghoi999;p0p100;2019;4.13141286055802;999;i
CD;egfghoi999;p0p100;2020;4.02812753904406;999;i
CD;ehfghgi999;p0p100;1980;19.747982421875;999;i
