country;variable;percentile;year;value;age;pop
CS;anninci999;p0p100;1950;87179.9;999;i
CS;anninci999;p0p100;1951;87408.2;999;i
CS;anninci999;p0p100;1952;89068.4;999;i
CS;anninci999;p0p100;1953;87084.5;999;i
CS;anninci999;p0p100;1954;89445.6;999;i
CS;anninci999;p0p100;1955;96286;999;i
CS;anninci999;p0p100;1956;100835.2;999;i
CS;anninci999;p0p100;1957;105937.1;999;i
CS;anninci999;p0p100;1958;113195.3;999;i
CS;anninci999;p0p100;1959;116974.2;999;i
CS;anninci999;p0p100;1960;125182.7;999;i
CS;anninci999;p0p100;1961;129124.3;999;i
CS;anninci999;p0p100;1962;129567.6;999;i
CS;anninci999;p0p100;1963;125473.7;999;i
CS;anninci999;p0p100;1964;130824;999;i
CS;anninci999;p0p100;1965;135009.3;999;i
CS;anninci999;p0p100;1966;140463.9;999;i
CS;anninci999;p0p100;1967;146221.7;999;i
CS;anninci999;p0p100;1968;152925.6;999;i
CS;anninci999;p0p100;1969;155027.3;999;i
CS;anninci999;p0p100;1970;157247.1;999;i
CS;anninci999;p0p100;1971;163261.3;999;i
CS;anninci999;p0p100;1972;170431.6;999;i
CS;anninci999;p0p100;1973;174918.5;999;i
CS;anninci999;p0p100;1974;183783.9;999;i
CS;anninci999;p0p100;1975;193472.7;999;i
CS;anninci999;p0p100;1976;195689.8;999;i
CS;anninci999;p0p100;1977;204828.3;999;i
CS;anninci999;p0p100;1978;211581.5;999;i
CS;anninci999;p0p100;1979;211777.6;999;i
CS;anninci999;p0p100;1980;214718.4;999;i
CS;anninci999;p0p100;1981;217297.6;999;i
CS;anninci999;p0p100;1982;209086.2;999;i
CS;anninci999;p0p100;1983;211474.8;999;i
CS;anninci999;p0p100;1984;220038.9;999;i
CS;anninci999;p0p100;1985;225461.6;999;i
CS;anninci999;p0p100;1986;230674.4;999;i
CS;anninci999;p0p100;1987;236425.3;999;i
CS;anninci999;p0p100;1988;244104.8;999;i
CS;anninci999;p0p100;1989;245299;999;i
CS;anninci999;p0p100;1990;241984.7;999;i
CS;aptfrpi992;p0p100;1970;12.6;992;i
CS;aptfrpi992;p0p100;1971;18.3;992;i
CS;aptfrpi992;p0p100;1972;26.2;992;i
CS;aptfrpi992;p0p100;1973;34.7;992;i
CS;aptfrpi992;p0p100;1974;39.9;992;i
CS;aptfrpi992;p0p100;1975;44.8;992;i
CS;aptfrpi992;p0p100;1976;54.8;992;i
CS;aptfrpi992;p0p100;1977;57.5;992;i
CS;aptfrpi992;p0p100;1978;69.8;992;i
CS;aptfrpi992;p0p100;1979;84.4;992;i
CS;aptfrpi992;p0p100;1980;75.2;992;i
CS;aptfrpi992;p0p100;1981;73.6;992;i
CS;aptfrpi992;p0p100;1982;71.3;992;i
CS;aptfrpi992;p0p100;1983;75.1;992;i
CS;aptfrpi992;p0p100;1984;98.2;992;i
CS;aptfrpi992;p0p100;1985;117.5;992;i
CS;aptfrpi992;p0p100;1986;145.3;992;i
CS;aptfrpi992;p0p100;1987;168.3;992;i
CS;aptfrpi992;p0p100;1988;189.1;992;i
CS;aptfrpi992;p0p100;1989;224.7;992;i
CS;aptfrpi992;p0p100;1990;283.3;992;i
CS;aptfrri992;p0p100;1970;0;992;i
CS;aptfrri992;p0p100;1971;0;992;i
CS;aptfrri992;p0p100;1972;0;992;i
CS;aptfrri992;p0p100;1973;0;992;i
CS;aptfrri992;p0p100;1974;0;992;i
CS;aptfrri992;p0p100;1975;0;992;i
CS;aptfrri992;p0p100;1976;0;992;i
CS;aptfrri992;p0p100;1977;0;992;i
CS;aptfrri992;p0p100;1978;0;992;i
CS;aptfrri992;p0p100;1979;0;992;i
CS;aptfrri992;p0p100;1980;0;992;i
CS;aptfrri992;p0p100;1981;0;992;i
CS;aptfrri992;p0p100;1982;0;992;i
CS;aptfrri992;p0p100;1983;0;992;i
CS;aptfrri992;p0p100;1984;0;992;i
CS;aptfrri992;p0p100;1985;0;992;i
CS;aptfrri992;p0p100;1986;0;992;i
CS;aptfrri992;p0p100;1987;0;992;i
CS;aptfrri992;p0p100;1988;0;992;i
CS;aptfrri992;p0p100;1989;0;992;i
CS;aptfrri992;p0p100;1990;0;992;i
CS;mptfrni999;p0p100;1970;-121995136;999;i
CS;mptfrni999;p0p100;1971;-180169088;999;i
CS;mptfrni999;p0p100;1972;-259661856;999;i
CS;mptfrni999;p0p100;1973;-347906784;999;i
CS;mptfrni999;p0p100;1974;-403864064;999;i
CS;mptfrni999;p0p100;1975;-457874304;999;i
CS;mptfrni999;p0p100;1976;-562973440;999;i
CS;mptfrni999;p0p100;1977;-595487040;999;i
CS;mptfrni999;p0p100;1978;-727063808;999;i
CS;mptfrni999;p0p100;1979;-884346304;999;i
CS;mptfrni999;p0p100;1980;-791231680;999;i
CS;mptfrni999;p0p100;1981;-776898496;999;i
CS;mptfrni999;p0p100;1982;-754892544;999;i
CS;mptfrni999;p0p100;1983;-796830720;999;i
CS;mptfrni999;p0p100;1984;-1043740544;999;i
CS;mptfrni999;p0p100;1985;-1251164928;999;i
CS;mptfrni999;p0p100;1986;-1552046848;999;i
CS;mptfrni999;p0p100;1987;-1800497792;999;i
CS;mptfrni999;p0p100;1988;-2024437632;999;i
CS;mptfrni999;p0p100;1989;-2411698432;999;i
CS;mptfrni999;p0p100;1990;-3053995520;999;i
CS;mptfrri999;p0p100;1970;0;999;i
CS;mptfrri999;p0p100;1971;0;999;i
CS;mptfrri999;p0p100;1972;0;999;i
CS;mptfrri999;p0p100;1973;0;999;i
CS;mptfrri999;p0p100;1974;0;999;i
CS;mptfrri999;p0p100;1975;0;999;i
CS;mptfrri999;p0p100;1976;0;999;i
CS;mptfrri999;p0p100;1977;0;999;i
CS;mptfrri999;p0p100;1978;0;999;i
CS;mptfrri999;p0p100;1979;0;999;i
CS;mptfrri999;p0p100;1980;0;999;i
CS;mptfrri999;p0p100;1981;0;999;i
CS;mptfrri999;p0p100;1982;0;999;i
CS;mptfrri999;p0p100;1983;0;999;i
CS;mptfrri999;p0p100;1984;0;999;i
CS;mptfrri999;p0p100;1985;0;999;i
CS;mptfrri999;p0p100;1986;0;999;i
CS;mptfrri999;p0p100;1987;0;999;i
CS;mptfrri999;p0p100;1988;0;999;i
CS;mptfrri999;p0p100;1989;0;999;i
CS;mptfrri999;p0p100;1990;0;999;i
CS;aconfci992;p0p100;1950;14742.1;992;i
CS;aconfci992;p0p100;1951;14973.6;992;i
CS;aconfci992;p0p100;1952;15254.6;992;i
CS;aconfci992;p0p100;1953;15654.5;992;i
CS;aconfci992;p0p100;1954;16276.6;992;i
CS;aconfci992;p0p100;1955;17157.1;992;i
CS;aconfci992;p0p100;1956;18257.9;992;i
CS;aconfci992;p0p100;1957;19517.4;992;i
CS;aconfci992;p0p100;1958;20848.6;992;i
CS;aconfci992;p0p100;1959;22124.4;992;i
CS;aconfci992;p0p100;1960;23240.2;992;i
CS;aconfci992;p0p100;1961;24050.7;992;i
CS;aconfci992;p0p100;1962;24610.7;992;i
CS;aconfci992;p0p100;1963;25051.8;992;i
CS;aconfci992;p0p100;1964;25571.7;992;i
CS;aconfci992;p0p100;1965;26226.2;992;i
CS;aconfci992;p0p100;1966;27092.6;992;i
CS;aconfci992;p0p100;1967;28019.8;992;i
CS;aconfci992;p0p100;1968;28946.2;992;i
CS;aconfci992;p0p100;1969;29847.3;992;i
CS;aconfci992;p0p100;1970;30793.1;992;i
CS;aconfci992;p0p100;1971;31820.1;992;i
CS;aconfci992;p0p100;1972;33032.4;992;i
CS;aconfci992;p0p100;1973;34416.2;992;i
CS;aconfci992;p0p100;1974;35940.3;992;i
CS;aconfci992;p0p100;1975;37503.3;992;i
CS;aconfci992;p0p100;1976;39069.4;992;i
CS;aconfci992;p0p100;1977;40452.1;992;i
CS;aconfci992;p0p100;1978;41549.8;992;i
CS;aconfci992;p0p100;1979;42312.7;992;i
CS;aconfci992;p0p100;1980;42798.7;992;i
CS;aconfci992;p0p100;1981;43100;992;i
CS;aconfci992;p0p100;1982;43354.6;992;i
CS;aconfci992;p0p100;1983;43850;992;i
CS;aconfci992;p0p100;1984;44692.1;992;i
CS;aconfci992;p0p100;1985;45796;992;i
CS;aconfci992;p0p100;1986;46902.2;992;i
CS;aconfci992;p0p100;1987;48105.1;992;i
CS;aconfci992;p0p100;1988;49220.6;992;i
CS;aconfci992;p0p100;1989;50069.5;992;i
CS;aconfci992;p0p100;1990;50671.5;992;i
CS;aconfci999;p0p100;1950;9865.7;999;i
CS;aconfci999;p0p100;1951;9996.5;999;i
CS;aconfci999;p0p100;1952;10155.5;999;i
CS;aconfci999;p0p100;1953;10388.1;999;i
CS;aconfci999;p0p100;1954;10764.3;999;i
CS;aconfci999;p0p100;1955;11309.1;999;i
CS;aconfci999;p0p100;1956;11989.5;999;i
CS;aconfci999;p0p100;1957;12767.3;999;i
CS;aconfci999;p0p100;1958;13590;999;i
CS;aconfci999;p0p100;1959;14382.5;999;i
CS;aconfci999;p0p100;1960;15084.2;999;i
CS;aconfci999;p0p100;1961;15625.1;999;i
CS;aconfci999;p0p100;1962;16008.4;999;i
CS;aconfci999;p0p100;1963;16328.3;999;i
CS;aconfci999;p0p100;1964;16725.3;999;i
CS;aconfci999;p0p100;1965;17242.2;999;i
CS;aconfci999;p0p100;1966;17878.7;999;i
CS;aconfci999;p0p100;1967;18596.8;999;i
CS;aconfci999;p0p100;1968;19344.4;999;i
CS;aconfci999;p0p100;1969;20080.7;999;i
CS;aconfci999;p0p100;1970;20834.8;999;i
CS;aconfci999;p0p100;1971;21663.6;999;i
CS;aconfci999;p0p100;1972;22591.8;999;i
CS;aconfci999;p0p100;1973;23612.6;999;i
