country;variable;percentile;year;value;age;pop
CW;ahougoi999;p0p100;2000;0;999;i
CW;ahougoi999;p0p100;2001;0;999;i
CW;ahougoi999;p0p100;2002;0;999;i
CW;ahougoi999;p0p100;2003;0;999;i
CW;ahougoi999;p0p100;2004;0;999;i
CW;ahougoi999;p0p100;2005;0;999;i
CW;ahougoi999;p0p100;2006;0;999;i
CW;ahougoi999;p0p100;2007;0;999;i
CW;ahougoi999;p0p100;2008;0;999;i
CW;ahougoi999;p0p100;2009;0;999;i
CW;ahougoi999;p0p100;2010;0;999;i
CW;ahougoi999;p0p100;2011;71.1;999;i
CW;ahougoi999;p0p100;2012;70.7;999;i
CW;ahougoi999;p0p100;2013;61.7;999;i
CW;ahougoi999;p0p100;2014;70.1;999;i
CW;ahougoi999;p0p100;2015;64.5;999;i
CW;ahougoi999;p0p100;2016;63;999;i
CW;acomrxi992;p0p100;2000;181.5;992;i
CW;acomrxi992;p0p100;2001;239.2;992;i
CW;acomrxi992;p0p100;2002;148.8;992;i
CW;acomrxi992;p0p100;2003;170.8;992;i
CW;acomrxi992;p0p100;2004;111.5;992;i
CW;acomrxi992;p0p100;2005;197.5;992;i
CW;acomrxi992;p0p100;2006;361.7;992;i
CW;acomrxi992;p0p100;2007;374.8;992;i
CW;acomrxi992;p0p100;2008;310.9;992;i
CW;acomrxi992;p0p100;2009;408.7;992;i
CW;acomrxi992;p0p100;2010;567.4;992;i
CW;acomrxi992;p0p100;2011;657.5;992;i
CW;acomrxi992;p0p100;2012;592.5;992;i
CW;acomrxi992;p0p100;2013;599.2;992;i
CW;acomrxi992;p0p100;2014;874.2;992;i
CW;acomrxi992;p0p100;2015;887.1;992;i
CW;acomrxi992;p0p100;2016;957.7;992;i
CW;acomrxi992;p0p100;2017;1099.9;992;i
CW;acomrxi992;p0p100;2018;1201.5;992;i
CW;acomrxi999;p0p100;2000;122;999;i
CW;acomrxi999;p0p100;2001;163;999;i
CW;acomrxi999;p0p100;2002;102.7;999;i
CW;acomrxi999;p0p100;2003;118.9;999;i
CW;acomrxi999;p0p100;2004;78.2;999;i
CW;acomrxi999;p0p100;2005;139.5;999;i
CW;acomrxi999;p0p100;2006;256.6;999;i
CW;acomrxi999;p0p100;2007;267.3;999;i
CW;acomrxi999;p0p100;2008;222.6;999;i
CW;acomrxi999;p0p100;2009;293;999;i
CW;acomrxi999;p0p100;2010;406.8;999;i
CW;acomrxi999;p0p100;2011;475.3;999;i
CW;acomrxi999;p0p100;2012;431.3;999;i
CW;acomrxi999;p0p100;2013;438.2;999;i
CW;acomrxi999;p0p100;2014;641.6;999;i
CW;acomrxi999;p0p100;2015;653.2;999;i
CW;acomrxi999;p0p100;2016;707.4;999;i
CW;acomrxi999;p0p100;2017;816.1;999;i
CW;acomrxi999;p0p100;2018;895.6;999;i
CW;adefgoi992;p0p100;2000;240.3;992;i
CW;adefgoi992;p0p100;2001;253.8;992;i
CW;adefgoi992;p0p100;2002;267.9;992;i
CW;adefgoi992;p0p100;2003;227.8;992;i
CW;adefgoi992;p0p100;2004;253;992;i
CW;adefgoi992;p0p100;2005;255.8;992;i
CW;adefgoi992;p0p100;2006;290.9;992;i
CW;adefgoi992;p0p100;2007;297.6;992;i
CW;adefgoi992;p0p100;2008;232.6;992;i
CW;adefgoi992;p0p100;2009;273.6;992;i
CW;adefgoi992;p0p100;2010;270.4;992;i
CW;adefgoi992;p0p100;2011;204.8;992;i
CW;adefgoi992;p0p100;2012;209.5;992;i
CW;adefgoi992;p0p100;2013;235.1;992;i
CW;adefgoi992;p0p100;2014;208.4;992;i
CW;adefgoi992;p0p100;2015;207.5;992;i
CW;adefgoi992;p0p100;2016;216.9;992;i
CW;afdinxi992;p0p100;2011;-639.3;992;i
CW;afdinxi992;p0p100;2012;-767.4;992;i
CW;afdinxi992;p0p100;2013;-865;992;i
CW;afdinxi992;p0p100;2014;-723.2;992;i
CW;afdinxi992;p0p100;2015;-770;992;i
CW;afdinxi992;p0p100;2016;-880.5;992;i
CW;afdinxi992;p0p100;2017;-776.7;992;i
CW;afdinxi992;p0p100;2018;-376.9;992;i
