country;variable;percentile;year;value;age;pop
DM;acomnxi999;p0p100;1976;0;999;i
DM;acomnxi999;p0p100;1977;0;999;i
DM;acomnxi999;p0p100;1978;0;999;i
DM;acomnxi999;p0p100;1979;0;999;i
DM;acomnxi999;p0p100;1980;0;999;i
DM;acomnxi999;p0p100;1981;0;999;i
DM;acomnxi999;p0p100;1982;0;999;i
DM;acomnxi999;p0p100;1983;0;999;i
DM;acomnxi999;p0p100;1984;0;999;i
DM;acomnxi999;p0p100;1985;0;999;i
DM;acomnxi999;p0p100;1986;29.3;999;i
DM;acomnxi999;p0p100;1987;28.1;999;i
DM;acomnxi999;p0p100;1988;26.4;999;i
DM;acomnxi999;p0p100;1989;24.1;999;i
DM;acomnxi999;p0p100;1990;19.5;999;i
DM;acomnxi999;p0p100;1991;14;999;i
DM;acomnxi999;p0p100;1992;8.1;999;i
DM;acomnxi999;p0p100;1993;1;999;i
DM;acomnxi999;p0p100;1994;-20.5;999;i
DM;acomnxi999;p0p100;1995;-4;999;i
DM;acomnxi999;p0p100;1996;1.3;999;i
DM;acomnxi999;p0p100;1997;-2.1;999;i
DM;acomnxi999;p0p100;1998;13.8;999;i
DM;acomnxi999;p0p100;1999;38.4;999;i
DM;acomnxi999;p0p100;2000;36;999;i
DM;acomnxi999;p0p100;2001;76.1;999;i
DM;acomnxi999;p0p100;2002;30.4;999;i
DM;acomnxi999;p0p100;2003;33.9;999;i
DM;acomnxi999;p0p100;2004;79.4;999;i
DM;acomnxi999;p0p100;2005;70.7;999;i
DM;acomnxi999;p0p100;2006;54.4;999;i
DM;acomnxi999;p0p100;2007;45.8;999;i
DM;acomnxi999;p0p100;2008;44.2;999;i
DM;acomnxi999;p0p100;2009;47.4;999;i
DM;acomnxi999;p0p100;2010;51.6;999;i
DM;acomnxi999;p0p100;2011;36.2;999;i
DM;acomnxi999;p0p100;2012;42.2;999;i
DM;acomnxi999;p0p100;2013;40.3;999;i
DM;acomnxi999;p0p100;2014;-455.9;999;i
DM;acomnxi999;p0p100;2015;-326.1;999;i
DM;acomnxi999;p0p100;2016;-262.2;999;i
DM;acomnxi999;p0p100;2017;-342.6;999;i
DM;acomnxi999;p0p100;2018;33.8;999;i
DM;acompxi999;p0p100;1976;0;999;i
DM;acompxi999;p0p100;1977;0;999;i
DM;acompxi999;p0p100;1978;0;999;i
DM;acompxi999;p0p100;1979;0;999;i
DM;acompxi999;p0p100;1980;0;999;i
DM;acompxi999;p0p100;1981;0;999;i
DM;acompxi999;p0p100;1982;0;999;i
DM;acompxi999;p0p100;1983;0;999;i
DM;acompxi999;p0p100;1984;0;999;i
DM;acompxi999;p0p100;1985;0;999;i
DM;acompxi999;p0p100;1986;29.3;999;i
DM;acompxi999;p0p100;1987;28.1;999;i
DM;acompxi999;p0p100;1988;26.4;999;i
DM;acompxi999;p0p100;1989;33.4;999;i
DM;acompxi999;p0p100;1990;11.9;999;i
DM;acompxi999;p0p100;1991;14;999;i
DM;acompxi999;p0p100;1992;8.1;999;i
DM;acompxi999;p0p100;1993;1.2;999;i
DM;acompxi999;p0p100;1994;22.1;999;i
DM;acompxi999;p0p100;1995;5.8;999;i
DM;acompxi999;p0p100;1996;0.2;999;i
DM;acompxi999;p0p100;1997;3.6;999;i
DM;acompxi999;p0p100;1998;0;999;i
DM;acompxi999;p0p100;1999;0;999;i
DM;acompxi999;p0p100;2000;0.2;999;i
DM;acompxi999;p0p100;2001;0;999;i
DM;acompxi999;p0p100;2002;0;999;i
DM;acompxi999;p0p100;2003;0;999;i
DM;acompxi999;p0p100;2004;0;999;i
DM;acompxi999;p0p100;2005;0;999;i
DM;acompxi999;p0p100;2006;0;999;i
DM;acompxi999;p0p100;2007;0;999;i
DM;acompxi999;p0p100;2008;0;999;i
DM;acompxi999;p0p100;2009;0;999;i
DM;acompxi999;p0p100;2010;0;999;i
DM;acompxi999;p0p100;2011;0;999;i
DM;acompxi999;p0p100;2012;0;999;i
DM;acompxi999;p0p100;2013;0;999;i
DM;acompxi999;p0p100;2014;558.7;999;i
DM;acompxi999;p0p100;2015;524.9;999;i
DM;acompxi999;p0p100;2016;453.4;999;i
DM;acompxi999;p0p100;2017;471.6;999;i
DM;acompxi999;p0p100;2018;92;999;i
DM;acomrxi999;p0p100;1976;0;999;i
DM;acomrxi999;p0p100;1977;0;999;i
DM;acomrxi999;p0p100;1978;0;999;i
DM;acomrxi999;p0p100;1979;0;999;i
DM;acomrxi999;p0p100;1980;0;999;i
DM;acomrxi999;p0p100;1981;0;999;i
DM;acomrxi999;p0p100;1982;0;999;i
DM;acomrxi999;p0p100;1983;0;999;i
DM;acomrxi999;p0p100;1984;0;999;i
DM;acomrxi999;p0p100;1985;0;999;i
DM;acomrxi999;p0p100;1986;58.7;999;i
DM;acomrxi999;p0p100;1987;56.2;999;i
DM;acomrxi999;p0p100;1988;52.7;999;i
DM;acomrxi999;p0p100;1989;57.5;999;i
DM;acomrxi999;p0p100;1990;31.5;999;i
DM;acomrxi999;p0p100;1991;28;999;i
DM;acomrxi999;p0p100;1992;16.1;999;i
DM;acomrxi999;p0p100;1993;2.1;999;i
DM;acomrxi999;p0p100;1994;1.5;999;i
DM;acomrxi999;p0p100;1995;1.8;999;i
DM;acomrxi999;p0p100;1996;1.5;999;i
DM;acomrxi999;p0p100;1997;1.5;999;i
DM;acomrxi999;p0p100;1998;13.8;999;i
DM;acomrxi999;p0p100;1999;38.4;999;i
DM;acomrxi999;p0p100;2000;36.2;999;i
DM;acomrxi999;p0p100;2001;76.1;999;i
DM;acomrxi999;p0p100;2002;30.4;999;i
DM;acomrxi999;p0p100;2003;33.9;999;i
DM;acomrxi999;p0p100;2004;79.4;999;i
DM;acomrxi999;p0p100;2005;70.7;999;i
DM;acomrxi999;p0p100;2006;54.4;999;i
DM;acomrxi999;p0p100;2007;45.8;999;i
DM;acomrxi999;p0p100;2008;44.2;999;i
DM;acomrxi999;p0p100;2009;47.4;999;i
DM;acomrxi999;p0p100;2010;51.6;999;i
DM;acomrxi999;p0p100;2011;36.2;999;i
DM;acomrxi999;p0p100;2012;42.2;999;i
DM;acomrxi999;p0p100;2013;40.3;999;i
DM;acomrxi999;p0p100;2014;102.8;999;i
DM;acomrxi999;p0p100;2015;198.8;999;i
DM;acomrxi999;p0p100;2016;191.2;999;i
DM;acomrxi999;p0p100;2017;128.9;999;i
DM;acomrxi999;p0p100;2018;125.8;999;i
DM;aconfci999;p0p100;1970;242.3;999;i
DM;aconfci999;p0p100;1971;264.6;999;i
DM;aconfci999;p0p100;1972;248.3;999;i
DM;aconfci999;p0p100;1973;230.6;999;i
DM;aconfci999;p0p100;1974;253.4;999;i
DM;aconfci999;p0p100;1975;273.5;999;i
DM;aconfci999;p0p100;1976;289.7;999;i
DM;aconfci999;p0p100;1977;301.4;999;i
DM;aconfci999;p0p100;1978;309.3;999;i
DM;aconfci999;p0p100;1979;316;999;i
DM;aconfci999;p0p100;1980;329.1;999;i
DM;aconfci999;p0p100;1981;349;999;i
DM;aconfci999;p0p100;1982;372.7;999;i
DM;aconfci999;p0p100;1983;398.9;999;i
DM;aconfci999;p0p100;1984;427.4;999;i
DM;aconfci999;p0p100;1985;458.6;999;i
DM;aconfci999;p0p100;1986;493.9;999;i
DM;aconfci999;p0p100;1987;532.2;999;i
DM;aconfci999;p0p100;1988;570.1;999;i
DM;aconfci999;p0p100;1989;603.5;999;i
DM;aconfci999;p0p100;1990;631.9;999;i
DM;aconfci999;p0p100;1991;653.6;999;i
DM;aconfci999;p0p100;1992;670.1;999;i
DM;aconfci999;p0p100;1993;683.6;999;i
DM;aconfci999;p0p100;1994;697.9;999;i
