country;variable;percentile;year;value;age;pop
EH;iqualii999;p0p100;2021;0;999;i
EH;npopuli001;p0p100;1950;2382;001;i
EH;npopuli001;p0p100;1951;2703;001;i
EH;npopuli001;p0p100;1952;2877;001;i
EH;npopuli001;p0p100;1953;2979;001;i
EH;npopuli001;p0p100;1954;3087;001;i
EH;npopuli001;p0p100;1955;3265;001;i
EH;npopuli001;p0p100;1956;3510;001;i
EH;npopuli001;p0p100;1957;3853;001;i
EH;npopuli001;p0p100;1958;4296;001;i
EH;npopuli001;p0p100;1959;4817;001;i
EH;npopuli001;p0p100;1960;5395;001;i
EH;npopuli001;p0p100;1961;5992;001;i
EH;npopuli001;p0p100;1962;6554;001;i
EH;npopuli001;p0p100;1963;7141;001;i
EH;npopuli001;p0p100;1964;7847;001;i
EH;npopuli001;p0p100;1965;8745;001;i
EH;npopuli001;p0p100;1966;9879;001;i
EH;npopuli001;p0p100;1967;11152;001;i
EH;npopuli001;p0p100;1968;12364;001;i
EH;npopuli001;p0p100;1969;13128;001;i
EH;npopuli001;p0p100;1970;13180;001;i
EH;npopuli001;p0p100;1971;13532;001;i
EH;npopuli001;p0p100;1972;13002;001;i
EH;npopuli001;p0p100;1973;12172;001;i
EH;npopuli001;p0p100;1974;11996;001;i
EH;npopuli001;p0p100;1975;13258;001;i
EH;npopuli001;p0p100;1976;13827;001;i
EH;npopuli001;p0p100;1977;15736;001;i
EH;npopuli001;p0p100;1978;18479;001;i
EH;npopuli001;p0p100;1979;21151;001;i
EH;npopuli001;p0p100;1980;22975;001;i
EH;npopuli001;p0p100;1981;25619;001;i
EH;npopuli001;p0p100;1982;27296;001;i
EH;npopuli001;p0p100;1983;28150;001;i
EH;npopuli001;p0p100;1984;28657;001;i
EH;npopuli001;p0p100;1985;29228;001;i
EH;npopuli001;p0p100;1986;29964;001;i
EH;npopuli001;p0p100;1987;30523;001;i
EH;npopuli001;p0p100;1988;30987;001;i
EH;npopuli001;p0p100;1989;31398;001;i
EH;npopuli001;p0p100;1990;31814;001;i
EH;npopuli001;p0p100;1991;32164;001;i
EH;npopuli001;p0p100;1992;32679;001;i
EH;npopuli001;p0p100;1993;33314;001;i
EH;npopuli001;p0p100;1994;33968;001;i
EH;npopuli001;p0p100;1995;34603;001;i
EH;npopuli001;p0p100;1996;35195;001;i
EH;npopuli001;p0p100;1997;35436;001;i
EH;npopuli001;p0p100;1998;35659;001;i
EH;npopuli001;p0p100;1999;36376;001;i
EH;npopuli001;p0p100;2000;37982;001;i
EH;npopuli001;p0p100;2001;39308;001;i
EH;npopuli001;p0p100;2002;41343;001;i
