country;variable;percentile;year;value;age;pop
ER;egfcari999;p0p100;1990;0.185133374810302;999;i
ER;egfcari999;p0p100;1991;0.176148880732091;999;i
ER;egfcari999;p0p100;1992;0.167308689516656;999;i
ER;egfcari999;p0p100;1993;0.206477447756567;999;i
ER;egfcari999;p0p100;1994;0.201374657419965;999;i
ER;egfcari999;p0p100;1995;0.228304527877179;999;i
ER;egfcari999;p0p100;1996;0.227354721754693;999;i
ER;egfcari999;p0p100;1997;0.172937370254054;999;i
ER;egfcari999;p0p100;1998;0.17270651249031;999;i
ER;egfcari999;p0p100;1999;0.176015239467367;999;i
ER;egfcari999;p0p100;2000;0.153881703288097;999;i
ER;egfcari999;p0p100;2001;0.173924204418885;999;i
ER;egfcari999;p0p100;2002;0.172114410956366;999;i
ER;egfcari999;p0p100;2003;0.20638631592028;999;i
ER;egfcari999;p0p100;2004;0.196642064720451;999;i
ER;egfcari999;p0p100;2005;0.19271627878323;999;i
ER;egfcari999;p0p100;2006;0.13660654591452;999;i
ER;egfcari999;p0p100;2007;0.134678970774483;999;i
ER;egfcari999;p0p100;2008;0.104530289669019;999;i
ER;egfcari999;p0p100;2009;0.120871179986285;999;i
ER;egfcari999;p0p100;2010;0.122174799228493;999;i
ER;egfcari999;p0p100;2011;0.135152274771589;999;i
ER;egfcari999;p0p100;2012;0.141996835256818;999;i
ER;egfcari999;p0p100;2013;0.147464159674997;999;i
ER;egfcari999;p0p100;2014;0.145726683776564;999;i
ER;egfcari999;p0p100;2015;0.134368532120367;999;i
ER;egfcari999;p0p100;2016;0.134588808402531;999;i
ER;egfcari999;p0p100;2017;0.143179583406948;999;i
ER;egfcari999;p0p100;2018;0.149567595589719;999;i
ER;egfcari999;p0p100;2019;0.155055954385215;999;i
ER;egfcari999;p0p100;2020;0.151179555525585;999;i
ER;egfghgi999;p0p100;1980;0.876856018066406;999;i
ER;egfghgi999;p0p100;1981;0.875087463378906;999;i
ER;egfghgi999;p0p100;1982;0.883600646972656;999;i
ER;egfghgi999;p0p100;1983;0.912105285644531;999;i
ER;egfghgi999;p0p100;1984;0.892620239257813;999;i
ER;egfghgi999;p0p100;1985;0.93221923828125;999;i
ER;egfghgi999;p0p100;1986;0.977629047269593;999;i
ER;egfghgi999;p0p100;1987;0.950282891433028;999;i
ER;egfghgi999;p0p100;1988;0.921426824485525;999;i
ER;egfghgi999;p0p100;1989;0.959030190570976;999;i
ER;egfghgi999;p0p100;1990;0.82785562803281;999;i
ER;egfghgi999;p0p100;1991;0.827367905695053;999;i
ER;egfghgi999;p0p100;1992;0.852091894531274;999;i
ER;egfghgi999;p0p100;1993;0.882526212553315;999;i
ER;egfghgi999;p0p100;1994;0.883434012721781;999;i
ER;egfghgi999;p0p100;1995;0.974353863605228;999;i
ER;egfghgi999;p0p100;1996;0.995774327508089;999;i
ER;egfghgi999;p0p100;1997;0.940658332994678;999;i
ER;egfghgi999;p0p100;1998;1.23067946960884;999;i
ER;egfghgi999;p0p100;1999;1.25196456379655;999;i
ER;egfghgi999;p0p100;2000;1.15608940198767;999;i
ER;egfghgi999;p0p100;2001;1.20260580706099;999;i
ER;egfghgi999;p0p100;2002;1.22242925772309;999;i
ER;egfghgi999;p0p100;2003;1.29779798861875;999;i
ER;egfghgi999;p0p100;2004;1.18047940778322;999;i
ER;egfghgi999;p0p100;2005;1.1839914038453;999;i
ER;egfghgi999;p0p100;2006;1.02008861592719;999;i
ER;egfghgi999;p0p100;2007;1.0563628716594;999;i
ER;egfghgi999;p0p100;2008;1.04577649302924;999;i
ER;egfghgi999;p0p100;2009;1.03318938666986;999;i
ER;egfghgi999;p0p100;2010;1.00880081828919;999;i
ER;egfghgi999;p0p100;2011;1.02127237399432;999;i
ER;egfghgi999;p0p100;2012;1.03198197863229;999;i
ER;egfghgi999;p0p100;2013;1.05016932577223;999;i
ER;egfghgi999;p0p100;2014;1.01758180393474;999;i
ER;egfghgi999;p0p100;2015;0.966309016228793;999;i
ER;egfghgi999;p0p100;2016;0.979323279073625;999;i
ER;egfghgi999;p0p100;2017;0.985830410496042;999;i
ER;egfghgi999;p0p100;2018;0.998844673340874;999;i
ER;egfghgi999;p0p100;2019;1.03549711751937;999;i
ER;egfghgi999;p0p100;2020;1.00960968958139;999;i
ER;egfghoi999;p0p100;1990;0.642722253222509;999;i
ER;egfghoi999;p0p100;1991;0.651219024962962;999;i
ER;egfghoi999;p0p100;1992;0.684783205014618;999;i
ER;egfghoi999;p0p100;1993;0.676048764796748;999;i
ER;egfghoi999;p0p100;1994;0.682059355301816;999;i
ER;egfghoi999;p0p100;1995;0.746049335728049;999;i
ER;egfghoi999;p0p100;1996;0.768419605753396;999;i
ER;egfghoi999;p0p100;1997;0.767720962740624;999;i
ER;egfghoi999;p0p100;1998;1.05797295711853;999;i
ER;egfghoi999;p0p100;1999;1.07594932432918;999;i
ER;egfghoi999;p0p100;2000;1.00220769869957;999;i
ER;egfghoi999;p0p100;2001;1.0286816026421;999;i
ER;egfghoi999;p0p100;2002;1.05031484676672;999;i
ER;egfghoi999;p0p100;2003;1.09141167269848;999;i
ER;egfghoi999;p0p100;2004;0.983837343062766;999;i
ER;egfghoi999;p0p100;2005;0.991275125062065;999;i
ER;egfghoi999;p0p100;2006;0.883482070012667;999;i
ER;egfghoi999;p0p100;2007;0.921683900884918;999;i
ER;egfghoi999;p0p100;2008;0.941246203360216;999;i
ER;egfghoi999;p0p100;2009;0.912318206683574;999;i
ER;egfghoi999;p0p100;2010;0.886626019060701;999;i
ER;egfghoi999;p0p100;2011;0.886120099222726;999;i
ER;egfghoi999;p0p100;2012;0.889985143375468;999;i
ER;egfghoi999;p0p100;2013;0.902705166097237;999;i
ER;egfghoi999;p0p100;2014;0.871855120158177;999;i
ER;egfghoi999;p0p100;2015;0.831940484108427;999;i
ER;egfghoi999;p0p100;2016;0.844734470671094;999;i
ER;egfghoi999;p0p100;2017;0.842650827089094;999;i
ER;egfghoi999;p0p100;2018;0.849277077751154;999;i
ER;egfghoi999;p0p100;2019;0.880441163134159;999;i
ER;egfghoi999;p0p100;2020;0.858430134055805;999;i
ER;ehfghgi999;p0p100;1980;2.07003564453125;999;i
ER;ehfghgi999;p0p100;1981;2.0670224609375;999;i
ER;ehfghgi999;p0p100;1982;2.08734350585938;999;i
ER;ehfghgi999;p0p100;1983;2.13095751953125;999;i
ER;ehfghgi999;p0p100;1984;2.11134106445312;999;i
ER;ehfghgi999;p0p100;1985;2.19645263671875;999;i
ER;ehfghgi999;p0p100;1986;2.30451832519931;999;i
ER;ehfghgi999;p0p100;1987;2.19799401593479;999;i
ER;ehfghgi999;p0p100;1988;2.1656891660626;999;i
ER;ehfghgi999;p0p100;1989;2.28668305003267;999;i
ER;ehfghgi999;p0p100;1990;3.36914112450967;999;i
ER;ehfghgi999;p0p100;1991;3.46541269340746;999;i
ER;ehfghgi999;p0p100;1992;3.57052265251494;999;i
ER;ehfghgi999;p0p100;1993;2.80479921622161;999;i
ER;ehfghgi999;p0p100;1994;2.9568871959883;999;i
ER;ehfghgi999;p0p100;1995;2.98275234858377;999;i
ER;ehfghgi999;p0p100;1996;3.37746116931474;999;i
ER;ehfghgi999;p0p100;1997;3.64493448411556;999;i
ER;ehfghgi999;p0p100;1998;3.19610653970251;999;i
ER;ehfghgi999;p0p100;1999;3.28467013996376;999;i
ER;ehfghgi999;p0p100;2000;3.48633149996047;999;i
ER;ehfghgi999;p0p100;2001;3.2571572543174;999;i
ER;ehfghgi999;p0p100;2002;3.2033135621783;999;i
ER;ehfghgi999;p0p100;2003;3.49703741012592;999;i
ER;ehfghgi999;p0p100;2004;3.76161134164425;999;i
ER;ehfghgi999;p0p100;2005;3.78473831070878;999;i
ER;ehfghgi999;p0p100;2006;3.60989556672535;999;i
ER;ehfghgi999;p0p100;2007;3.8188677182127;999;i
ER;ehfghgi999;p0p100;2008;3.70228559605052;999;i
ER;ehfghgi999;p0p100;2009;3.88304758455514;999;i
ER;ehfghgi999;p0p100;2010;3.80755117480204;999;i
ER;ehfghgi999;p0p100;2011;3.8834080586197;999;i
ER;ehfghgi999;p0p100;2012;3.99644217183243;999;i
ER;ehfghgi999;p0p100;2013;4.08597688759004;999;i
ER;ehfghgi999;p0p100;2014;4.15182290908267;999;i
ER;ehfghgi999;p0p100;2015;4.26297570889988;999;i
ER;ehfghgi999;p0p100;2016;4.32038952316116;999;i
ER;ehfghgi999;p0p100;2017;4.3490964302918;999;i
ER;ehfghgi999;p0p100;2018;4.40651024455308;999;i
ER;ehfghgi999;p0p100;2019;4.56820642722407;999;i
ER;ehfghgi999;p0p100;2020;4.45400126654347;999;i
ER;ehfghoi999;p0p100;1990;2.66864373982208;999;i
ER;ehfghoi999;p0p100;1991;2.78203162361283;999;i
ER;ehfghoi999;p0p100;1992;2.9059919050428;999;i
ER;ehfghoi999;p0p100;1993;2.16646954883059;999;i
ER;ehfghoi999;p0p100;1994;2.29839924122856;999;i
ER;ehfghoi999;p0p100;1995;2.29611042883776;999;i
ER;ehfghoi999;p0p100;1996;2.62139601149386;999;i
ER;ehfghoi999;p0p100;1997;2.98745550672925;999;i
ER;ehfghoi999;p0p100;1998;2.75661874467039;999;i
ER;ehfghoi999;p0p100;1999;2.83134835203232;999;i
ER;ehfghoi999;p0p100;2000;3.03422819500272;999;i
ER;ehfghoi999;p0p100;2001;2.79532732086111;999;i
ER;ehfghoi999;p0p100;2002;2.76064366948587;999;i
ER;ehfghoi999;p0p100;2003;2.95086190312626;999;i
ER;ehfghoi999;p0p100;2004;3.14865599186936;999;i
ER;ehfghoi999;p0p100;2005;3.18217764775571;999;i
ER;ehfghoi999;p0p100;2006;3.14117467508213;999;i
ER;ehfghoi999;p0p100;2007;3.3457575878892;999;i
ER;ehfghoi999;p0p100;2008;3.34551667485391;999;i
ER;ehfghoi999;p0p100;2009;3.44346578331565;999;i
ER;ehfghoi999;p0p100;2010;3.36215025459943;999;i
ER;ehfghoi999;p0p100;2011;3.39106562228023;999;i
ER;ehfghoi999;p0p100;2012;3.46529112006135;999;i
ER;ehfghoi999;p0p100;2013;3.53400777295482;999;i
ER;ehfghoi999;p0p100;2014;3.58131572358251;999;i
ER;ehfghoi999;p0p100;2015;3.69622489090703;999;i
ER;ehfghoi999;p0p100;2016;3.75270960546668;999;i
ER;ehfghoi999;p0p100;2017;3.74518162423384;999;i
ER;ehfghoi999;p0p100;2018;3.77565154714791;999;i
ER;ehfghoi999;p0p100;2019;3.91419847167267;999;i
ER;ehfghoi999;p0p100;2020;3.81634350988085;999;i
ER;eifcari999;p0p100;1990;0.100500021497208;999;i
ER;eifcari999;p0p100;1991;0.100784669343864;999;i
ER;eifcari999;p0p100;1992;0.0933233921097517;999;i
ER;eifcari999;p0p100;1993;0.125922875690299;999;i
ER;eifcari999;p0p100;1994;0.132741966597459;999;i
ER;eifcari999;p0p100;1995;0.131339304014645;999;i
ER;eifcari999;p0p100;1996;0.143371155364156;999;i
ER;eifcari999;p0p100;1997;0.128366647837429;999;i
ER;eifcari999;p0p100;1998;0.105491890262615;999;i
ER;eifcari999;p0p100;1999;0.108555156620361;999;i
ER;eifcari999;p0p100;2000;0.0839444233593953;999;i
ER;eifcari999;p0p100;2001;0.104556685874837;999;i
ER;eifcari999;p0p100;2002;0.101461018976449;999;i
ER;eifcari999;p0p100;2003;0.112072410248226;999;i
ER;eifcari999;p0p100;2004;0.115914683723858;999;i
ER;eifcari999;p0p100;2005;0.11286840375306;999;i
ER;eifcari999;p0p100;2006;0.0952541304643704;999;i
ER;eifcari999;p0p100;2007;0.0933324837593018;999;i
ER;eifcari999;p0p100;2008;0.0758938581640667;999;i
ER;eifcari999;p0p100;2009;0.0877627350658691;999;i
ER;eifcari999;p0p100;2010;0.0910867271314621;999;i
ER;eifcari999;p0p100;2011;0.108377796267579;999;i
ER;eifcari999;p0p100;2012;0.109764622532094;999;i
ER;eifcari999;p0p100;2013;0.115151700390337;999;i
ER;eifcari999;p0p100;2014;0.11569913773793;999;i
ER;eifcari999;p0p100;2015;0.11094974878393;999;i
ER;eifcari999;p0p100;2016;0.111131633618002;999;i
ER;eifcari999;p0p100;2017;0.118225142146811;999;i
ER;eifcari999;p0p100;2018;0.123499802334899;999;i
ER;eifcari999;p0p100;2019;0.128031607661543;999;i
ER;eifcari999;p0p100;2020;0.124830817470004;999;i
ER;eifghgi999;p0p100;1980;0.634651245117188;999;i
ER;eifghgi999;p0p100;1981;0.635529846191406;999;i
ER;eifghgi999;p0p100;1982;0.646717712402344;999;i
ER;eifghgi999;p0p100;1983;0.658433227539063;999;i
ER;eifghgi999;p0p100;1984;0.649248962402344;999;i
ER;eifghgi999;p0p100;1985;0.682479370117188;999;i
ER;eifghgi999;p0p100;1986;0.71579262714193;999;i
ER;eifghgi999;p0p100;1987;0.675035140917185;999;i
ER;eifghgi999;p0p100;1988;0.660013913779569;999;i
ER;eifghgi999;p0p100;1989;0.715688920622713;999;i
ER;eifghgi999;p0p100;1990;0.311953582733836;999;i
ER;eifghgi999;p0p100;1991;0.320295817710349;999;i
ER;eifghgi999;p0p100;1992;0.348728489221707;999;i
ER;eifghgi999;p0p100;1993;0.437090294552229;999;i
ER;eifghgi999;p0p100;1994;0.479633713319621;999;i
ER;eifghgi999;p0p100;1995;0.467733917940185;999;i
ER;eifghgi999;p0p100;1996;0.528302385929614;999;i
ER;eifghgi999;p0p100;1997;0.574970312818192;999;i
ER;eifghgi999;p0p100;1998;0.571429498070768;999;i
ER;eifghgi999;p0p100;1999;0.607985294774619;999;i
ER;eifghgi999;p0p100;2000;0.497881836647062;999;i
ER;eifghgi999;p0p100;2001;0.572064137941342;999;i
ER;eifghgi999;p0p100;2002;0.564676257758872;999;i
ER;eifghgi999;p0p100;2003;0.55597259909283;999;i
ER;eifghgi999;p0p100;2004;0.546463198007757;999;i
ER;eifghgi999;p0p100;2005;0.54547962243066;999;i
ER;eifghgi999;p0p100;2006;0.528880687265628;999;i
ER;eifghgi999;p0p100;2007;0.55500339072896;999;i
ER;eifghgi999;p0p100;2008;0.532148772678715;999;i
ER;eifghgi999;p0p100;2009;0.552095100092653;999;i
ER;eifghgi999;p0p100;2010;0.543531025679858;999;i
ER;eifghgi999;p0p100;2011;0.586707917965262;999;i
ER;eifghgi999;p0p100;2012;0.581553954078257;999;i
ER;eifghgi999;p0p100;2013;0.58915441066616;999;i
ER;eifghgi999;p0p100;2014;0.5837557221113;999;i
ER;eifghgi999;p0p100;2015;0.575135987535985;999;i
ER;eifghgi999;p0p100;2016;0.582881926762059;999;i
ER;eifghgi999;p0p100;2017;0.586754896375096;999;i
ER;eifghgi999;p0p100;2018;0.59450083560117;999;i
ER;eifghgi999;p0p100;2019;0.616315947872893;999;i
ER;eifghgi999;p0p100;2020;0.600908049176071;999;i
ER;eifghoi999;p0p100;1990;0.211453561236628;999;i
ER;eifghoi999;p0p100;1991;0.219511148366485;999;i
ER;eifghoi999;p0p100;1992;0.255405097111955;999;i
ER;eifghoi999;p0p100;1993;0.31116741886193;999;i
ER;eifghoi999;p0p100;1994;0.346891746722162;999;i
ER;eifghoi999;p0p100;1995;0.33639461392554;999;i
ER;eifghoi999;p0p100;1996;0.384931230565458;999;i
ER;eifghoi999;p0p100;1997;0.446603664980763;999;i
ER;eifghoi999;p0p100;1998;0.465937607808153;999;i
ER;eifghoi999;p0p100;1999;0.499430138154258;999;i
ER;eifghoi999;p0p100;2000;0.413937413287667;999;i
ER;eifghoi999;p0p100;2001;0.467507452066505;999;i
ER;eifghoi999;p0p100;2002;0.463215238782423;999;i
ER;eifghoi999;p0p100;2003;0.443900188844604;999;i
ER;eifghoi999;p0p100;2004;0.430548514283899;999;i
ER;eifghoi999;p0p100;2005;0.4326112186776;999;i
ER;eifghoi999;p0p100;2006;0.433626556801258;999;i
ER;eifghoi999;p0p100;2007;0.461670906969658;999;i
ER;eifghoi999;p0p100;2008;0.456254914514648;999;i
ER;eifghoi999;p0p100;2009;0.464332365026784;999;i
ER;eifghoi999;p0p100;2010;0.452444298548396;999;i
