country;variable;percentile;year;value;age;pop
ET;egfcari999;p0p100;1994;0.0631446546621137;999;i
ET;egfcari999;p0p100;1995;0.0656997055823629;999;i
ET;egfcari999;p0p100;1996;0.0645390910219184;999;i
ET;egfcari999;p0p100;1997;0.0741999928093627;999;i
ET;egfcari999;p0p100;1998;0.112489133870384;999;i
ET;egfcari999;p0p100;1999;0.115391710520894;999;i
ET;egfcari999;p0p100;2000;0.171449852494662;999;i
ET;egfcari999;p0p100;2001;0.142979005520123;999;i
ET;egfcari999;p0p100;2002;0.142573688340919;999;i
ET;egfcari999;p0p100;2003;0.132510274548035;999;i
ET;egfcari999;p0p100;2004;0.128540279164907;999;i
ET;egfcari999;p0p100;2005;0.144633145565688;999;i
ET;egfcari999;p0p100;2006;0.152399990175884;999;i
ET;egfcari999;p0p100;2007;0.150443278101102;999;i
ET;egfcari999;p0p100;2008;0.163883741445855;999;i
ET;egfcari999;p0p100;2009;0.184771712233872;999;i
ET;egfcari999;p0p100;2010;0.154385556496206;999;i
ET;egfcari999;p0p100;2011;0.150363247058267;999;i
ET;egfcari999;p0p100;2012;0.195611016165431;999;i
ET;egfcari999;p0p100;2013;0.230756512046614;999;i
ET;egfcari999;p0p100;2014;0.234739453185717;999;i
ET;egfcari999;p0p100;2015;0.232429503615087;999;i
ET;egfcari999;p0p100;2016;0.252662788316259;999;i
ET;egfcari999;p0p100;2017;0.269194827826765;999;i
ET;egfcari999;p0p100;2018;0.27799243201193;999;i
ET;egfcari999;p0p100;2019;0.279198035678443;999;i
ET;egfcari999;p0p100;2020;0.272218084786482;999;i
ET;egfghgi999;p0p100;1994;0.156976503395398;999;i
ET;egfghgi999;p0p100;1995;0.157782005275046;999;i
ET;egfghgi999;p0p100;1996;0.156902723634162;999;i
ET;egfghgi999;p0p100;1997;0.201057905935016;999;i
ET;egfghgi999;p0p100;1998;0.318015851609686;999;i
ET;egfghgi999;p0p100;1999;0.338790683663804;999;i
ET;egfghgi999;p0p100;2000;0.48610839596605;999;i
ET;egfghgi999;p0p100;2001;0.413966682844699;999;i
ET;egfghgi999;p0p100;2002;0.425632541432592;999;i
ET;egfghgi999;p0p100;2003;0.368235308770733;999;i
ET;egfghgi999;p0p100;2004;0.339551055382462;999;i
ET;egfghgi999;p0p100;2005;0.34688028083429;999;i
ET;egfghgi999;p0p100;2006;0.382790535728117;999;i
ET;egfghgi999;p0p100;2007;0.373125463419548;999;i
ET;egfghgi999;p0p100;2008;0.416422759642997;999;i
ET;egfghgi999;p0p100;2009;0.491481983224053;999;i
ET;egfghgi999;p0p100;2010;0.377601049638209;999;i
ET;egfghgi999;p0p100;2011;0.331524398097307;999;i
ET;egfghgi999;p0p100;2012;0.433043712300607;999;i
ET;egfghgi999;p0p100;2013;0.504120114679281;999;i
ET;egfghgi999;p0p100;2014;0.413212348791214;999;i
ET;egfghgi999;p0p100;2015;0.397875163233057;999;i
ET;egfghgi999;p0p100;2016;0.432510703592646;999;i
ET;egfghgi999;p0p100;2017;0.460810415189118;999;i
ET;egfghgi999;p0p100;2018;0.475870242563826;999;i
ET;egfghgi999;p0p100;2019;0.477934007052188;999;i
ET;egfghgi999;p0p100;2020;0.465985656875883;999;i
ET;egfghoi999;p0p100;1994;0.0938318487332841;999;i
ET;egfghoi999;p0p100;1995;0.092082299692683;999;i
ET;egfghoi999;p0p100;1996;0.0923636326122438;999;i
ET;egfghoi999;p0p100;1997;0.126857913125653;999;i
ET;egfghoi999;p0p100;1998;0.205526717739302;999;i
ET;egfghoi999;p0p100;1999;0.22339897314291;999;i
ET;egfghoi999;p0p100;2000;0.314658543471388;999;i
ET;egfghoi999;p0p100;2001;0.270987677324575;999;i
ET;egfghoi999;p0p100;2002;0.283058853091673;999;i
ET;egfghoi999;p0p100;2003;0.235725034222698;999;i
ET;egfghoi999;p0p100;2004;0.211010776217556;999;i
ET;egfghoi999;p0p100;2005;0.202247135268601;999;i
ET;egfghoi999;p0p100;2006;0.230390545552233;999;i
ET;egfghoi999;p0p100;2007;0.222682185318446;999;i
ET;egfghoi999;p0p100;2008;0.252539018197142;999;i
