country;variable;percentile;year;value;age;pop
FJ;egfcari999;p0p100;1990;0.182285955898768;999;i
FJ;egfcari999;p0p100;1991;0.179638572163529;999;i
FJ;egfcari999;p0p100;1992;0.179826660589518;999;i
FJ;egfcari999;p0p100;1993;0.178393983785817;999;i
FJ;egfcari999;p0p100;1994;0.17192825126966;999;i
FJ;egfcari999;p0p100;1995;0.170956180225256;999;i
FJ;egfcari999;p0p100;1996;0.173726156328596;999;i
FJ;egfcari999;p0p100;1997;0.166205501707034;999;i
FJ;egfcari999;p0p100;1998;0.159923274304287;999;i
FJ;egfcari999;p0p100;1999;0.160064472781936;999;i
FJ;egfcari999;p0p100;2000;0.156721118667652;999;i
FJ;egfcari999;p0p100;2001;0.167412690030018;999;i
FJ;egfcari999;p0p100;2002;0.172233850911874;999;i
FJ;egfcari999;p0p100;2003;0.177358166795009;999;i
FJ;egfcari999;p0p100;2004;0.173699506625419;999;i
FJ;egfcari999;p0p100;2005;0.17272771065324;999;i
FJ;egfcari999;p0p100;2006;0.174519483297239;999;i
FJ;egfcari999;p0p100;2007;0.176001554345763;999;i
FJ;egfcari999;p0p100;2008;0.167381262061077;999;i
FJ;egfcari999;p0p100;2009;0.182149211764049;999;i
FJ;egfcari999;p0p100;2010;0.175206210026677;999;i
FJ;egfcari999;p0p100;2011;0.169646242385729;999;i
FJ;egfcari999;p0p100;2012;0.183248565883169;999;i
FJ;egfcari999;p0p100;2013;0.184625001277378;999;i
FJ;egfcari999;p0p100;2014;0.185031416361021;999;i
FJ;egfcari999;p0p100;2015;0.18323573735833;999;i
FJ;egfcari999;p0p100;2016;0.185118210149342;999;i
FJ;egfcari999;p0p100;2017;0.187000682940353;999;i
FJ;egfcari999;p0p100;2018;0.188883155731364;999;i
FJ;egfcari999;p0p100;2019;0.190765628522376;999;i
FJ;egfcari999;p0p100;2020;0.177412034525809;999;i
FJ;egfghgi999;p0p100;1980;0.270372443041028;999;i
FJ;egfghgi999;p0p100;1981;0.279496331984392;999;i
FJ;egfghgi999;p0p100;1982;0.312199193186287;999;i
FJ;egfghgi999;p0p100;1983;0.327323762228074;999;i
FJ;egfghgi999;p0p100;1984;0.323684043916271;999;i
