country;variable;percentile;year;value;age;pop
FK;npopuli999;p0p100;1950;2259;999;i
FK;npopuli999;p0p100;1951;2249;999;i
FK;npopuli999;p0p100;1952;2240;999;i
FK;npopuli999;p0p100;1953;2219;999;i
FK;npopuli999;p0p100;1954;2210;999;i
FK;npopuli999;p0p100;1955;2204;999;i
FK;npopuli999;p0p100;1956;2185;999;i
FK;npopuli999;p0p100;1957;2180;999;i
FK;npopuli999;p0p100;1958;2165;999;i
FK;npopuli999;p0p100;1959;2152;999;i
FK;npopuli999;p0p100;1960;2150;999;i
FK;npopuli999;p0p100;1961;2126;999;i
FK;npopuli999;p0p100;1962;2116;999;i
FK;npopuli999;p0p100;1963;2109;999;i
FK;npopuli999;p0p100;1964;2087;999;i
FK;npopuli999;p0p100;1965;2078;999;i
FK;npopuli999;p0p100;1966;2058;999;i
FK;npopuli999;p0p100;1967;2033;999;i
FK;npopuli999;p0p100;1968;2021;999;i
FK;npopuli999;p0p100;1969;2004;999;i
FK;npopuli999;p0p100;1970;1992;999;i
FK;npopuli999;p0p100;1971;1961;999;i
FK;npopuli999;p0p100;1972;1957;999;i
FK;npopuli999;p0p100;1973;1928;999;i
FK;npopuli999;p0p100;1974;1924;999;i
FK;npopuli999;p0p100;1975;1903;999;i
FK;npopuli999;p0p100;1976;1889;999;i
FK;npopuli999;p0p100;1977;1877;999;i
FK;npopuli999;p0p100;1978;1873;999;i
FK;npopuli999;p0p100;1979;1859;999;i
FK;npopuli999;p0p100;1980;1854;999;i
FK;npopuli999;p0p100;1981;1846;999;i
FK;npopuli999;p0p100;1982;1847;999;i
FK;npopuli999;p0p100;1983;1841;999;i
FK;npopuli999;p0p100;1984;1846;999;i
FK;npopuli999;p0p100;1985;1850;999;i
FK;npopuli999;p0p100;1986;1855;999;i
FK;npopuli999;p0p100;1987;1869;999;i
FK;npopuli999;p0p100;1988;1891;999;i
FK;npopuli999;p0p100;1989;1929;999;i
FK;npopuli999;p0p100;1990;1982;999;i
FK;npopuli999;p0p100;1991;2063;999;i
FK;npopuli999;p0p100;1992;2160;999;i
FK;npopuli999;p0p100;1993;2276;999;i
FK;npopuli999;p0p100;1994;2389;999;i
FK;npopuli999;p0p100;1995;2490;999;i
FK;npopuli999;p0p100;1996;2596;999;i
FK;npopuli999;p0p100;1997;2693;999;i
FK;npopuli999;p0p100;1998;2763;999;i
FK;npopuli999;p0p100;1999;2841;999;i
FK;npopuli999;p0p100;2000;2892;999;i
FK;npopuli999;p0p100;2001;2931;999;i
FK;npopuli999;p0p100;2002;2947;999;i
FK;npopuli999;p0p100;2003;2957;999;i
FK;npopuli999;p0p100;2004;2949;999;i
FK;npopuli999;p0p100;2005;2935;999;i
FK;npopuli999;p0p100;2006;2934;999;i
FK;npopuli999;p0p100;2007;2937;999;i
FK;npopuli999;p0p100;2008;2932;999;i
FK;npopuli999;p0p100;2009;2917;999;i
FK;npopuli999;p0p100;2010;2901;999;i
FK;npopuli999;p0p100;2011;2873;999;i
FK;npopuli999;p0p100;2012;2823;999;i
FK;npopuli999;p0p100;2013;2794;999;i
FK;npopuli999;p0p100;2014;2792;999;i
FK;npopuli999;p0p100;2015;2834;999;i
FK;npopuli999;p0p100;2016;2928;999;i
FK;npopuli999;p0p100;2017;3068;999;i
FK;npopuli999;p0p100;2018;3234;999;i
FK;npopuli999;p0p100;2019;3377;999;i
FK;npopuli999;p0p100;2020;3480;999;i
FK;npopuli999;p0p100;2021;3533;999;i
