country;variable;percentile;year;value;age;pop
FM;acomhni992;p0p100;2009;3296.3;992;i
FM;acomhni992;p0p100;2010;3366.3;992;i
FM;acomhni992;p0p100;2011;3315.4;992;i
FM;acomhni992;p0p100;2012;3064;992;i
FM;acomhni992;p0p100;2013;2959;992;i
FM;acomhni992;p0p100;2014;2817;992;i
FM;accshoi992;p0p100;1995;3.4;992;i
FM;accshoi992;p0p100;1996;4.4;992;i
FM;accshoi992;p0p100;1997;5;992;i
FM;accshoi992;p0p100;1998;3;992;i
FM;accshoi992;p0p100;1999;4.4;992;i
FM;accshoi992;p0p100;2000;3.3;992;i
FM;accshoi992;p0p100;2001;2.6;992;i
FM;accshoi992;p0p100;2002;2.4;992;i
FM;accshoi992;p0p100;2003;1.4;992;i
FM;accshoi992;p0p100;2004;0;992;i
FM;accshoi992;p0p100;2005;0;992;i
FM;accshoi992;p0p100;2006;0;992;i
FM;accshoi992;p0p100;2007;0;992;i
FM;accshoi992;p0p100;2008;0;992;i
FM;accshoi992;p0p100;2009;0;992;i
FM;accshoi992;p0p100;2010;0;992;i
FM;accshoi992;p0p100;2011;0;992;i
FM;accshoi992;p0p100;2012;0;992;i
FM;accshoi992;p0p100;2013;0;992;i
FM;accshoi992;p0p100;2014;0;992;i
FM;accshoi992;p0p100;2015;0;992;i
FM;accshoi992;p0p100;2016;0;992;i
FM;accshoi992;p0p100;2017;0;992;i
FM;accshoi992;p0p100;2018;0;992;i
FM;acomrxi999;p0p100;2009;6.7;999;i
FM;acomrxi999;p0p100;2010;8;999;i
FM;acomrxi999;p0p100;2011;11.3;999;i
FM;acomrxi999;p0p100;2012;11.9;999;i
FM;acomrxi999;p0p100;2013;12.9;999;i
FM;acomrxi999;p0p100;2014;13.9;999;i
FM;afdinxi999;p0p100;2009;-74.5;999;i
FM;afdinxi999;p0p100;2010;-88.9;999;i
FM;afdinxi999;p0p100;2011;-95.8;999;i
FM;afdinxi999;p0p100;2012;-105.8;999;i
FM;afdinxi999;p0p100;2013;-88;999;i
FM;afdinxi999;p0p100;2014;-205.1;999;i
FM;afinrxi992;p0p100;1995;1158.8;992;i
FM;afinrxi992;p0p100;1996;1071.7;992;i
FM;afinrxi992;p0p100;1997;731.9;992;i
FM;afinrxi992;p0p100;1998;682;992;i
FM;afinrxi992;p0p100;1999;810.3;992;i
FM;afinrxi992;p0p100;2000;738.3;992;i
FM;afinrxi992;p0p100;2001;671.2;992;i
FM;afinrxi992;p0p100;2002;640;992;i
FM;afinrxi992;p0p100;2003;627.5;992;i
FM;afinrxi992;p0p100;2004;645.3;992;i
FM;afinrxi992;p0p100;2005;703;992;i
FM;afinrxi992;p0p100;2006;714.7;992;i
