country;variable;percentile;year;value;age;pop
GA;egfcari999;p0p100;1990;0.973958397844074;999;i
GA;egfcari999;p0p100;1991;0.995411708154375;999;i
GA;egfcari999;p0p100;1992;0.971641575647225;999;i
GA;egfcari999;p0p100;1993;0.933205892404813;999;i
GA;egfcari999;p0p100;1994;0.851332984888096;999;i
GA;egfcari999;p0p100;1995;0.806811614061954;999;i
GA;egfcari999;p0p100;1996;0.761696605703179;999;i
GA;egfcari999;p0p100;1997;0.682400117368668;999;i
GA;egfcari999;p0p100;1998;0.635513674599666;999;i
GA;egfcari999;p0p100;1999;0.620913831302609;999;i
GA;egfcari999;p0p100;2000;0.553149045921555;999;i
GA;egfcari999;p0p100;2001;0.577562848790385;999;i
GA;egfcari999;p0p100;2002;0.571277028827029;999;i
GA;egfcari999;p0p100;2003;0.592440085449844;999;i
GA;egfcari999;p0p100;2004;0.570177855011459;999;i
GA;egfcari999;p0p100;2005;0.564611707696638;999;i
GA;egfcari999;p0p100;2006;0.519503714986145;999;i
GA;egfcari999;p0p100;2007;0.499011299431038;999;i
GA;egfcari999;p0p100;2008;0.486892114133345;999;i
GA;egfcari999;p0p100;2009;0.5065151309725;999;i
GA;egfcari999;p0p100;2010;0.478345047471575;999;i
GA;egfcari999;p0p100;2011;0.55278593560493;999;i
GA;egfcari999;p0p100;2012;0.50288039665443;999;i
GA;egfcari999;p0p100;2013;0.462500439976404;999;i
GA;egfcari999;p0p100;2014;0.451604665524777;999;i
GA;egfcari999;p0p100;2015;0.45175429907859;999;i
GA;egfcari999;p0p100;2016;0.44134886352952;999;i
GA;egfcari999;p0p100;2017;0.43094342798045;999;i
GA;egfcari999;p0p100;2018;0.420537992431381;999;i
GA;egfcari999;p0p100;2019;0.410132556882311;999;i
GA;egfcari999;p0p100;2020;0.399879242960253;999;i
GA;egfghgi999;p0p100;1980;3.5827324382879;999;i
GA;egfghgi999;p0p100;1981;3.55370288676699;999;i
GA;egfghgi999;p0p100;1982;3.68896752972231;999;i
GA;egfghgi999;p0p100;1983;3.60782431729179;999;i
GA;egfghgi999;p0p100;1984;3.51837264006456;999;i
GA;egfghgi999;p0p100;1985;3.42842103553914;999;i
GA;egfghgi999;p0p100;1986;3.36889733163084;999;i
GA;egfghgi999;p0p100;1987;3.1820110635067;999;i
GA;egfghgi999;p0p100;1988;2.81116553771296;999;i
GA;egfghgi999;p0p100;1989;2.59214993870731;999;i
GA;egfghgi999;p0p100;1990;2.54797723898414;999;i
GA;egfghgi999;p0p100;1991;2.5981261852836;999;i
GA;egfghgi999;p0p100;1992;2.52380613461381;999;i
GA;egfghgi999;p0p100;1993;2.41802075448857;999;i
GA;egfghgi999;p0p100;1994;2.21526169957224;999;i
GA;egfghgi999;p0p100;1995;2.0973860174579;999;i
GA;egfghgi999;p0p100;1996;1.97923276148791;999;i
GA;egfghgi999;p0p100;1997;1.75860915081239;999;i
GA;egfghgi999;p0p100;1998;1.63603000278814;999;i
GA;egfghgi999;p0p100;1999;1.59516968899905;999;i
GA;egfghgi999;p0p100;2000;1.41941711221928;999;i
GA;egfghgi999;p0p100;2001;1.48542341561973;999;i
GA;egfghgi999;p0p100;2002;1.47297375043024;999;i
GA;egfghgi999;p0p100;2003;1.53366660565257;999;i
GA;egfghgi999;p0p100;2004;1.47581804276393;999;i
GA;egfghgi999;p0p100;2005;1.46107209531659;999;i
GA;egfghgi999;p0p100;2006;1.35627637825842;999;i
GA;egfghgi999;p0p100;2007;1.30354661291862;999;i
