country;variable;percentile;year;value;age;pop
GD;anweali999;p0p100;1995;9789.9;999;i
GD;anweali999;p0p100;1996;10124.1;999;i
GD;anweali999;p0p100;1997;10143.9;999;i
GD;anweali999;p0p100;1998;12802;999;i
GD;anweali999;p0p100;1999;13785.4;999;i
GD;anweali999;p0p100;2000;12841.6;999;i
GD;anweali999;p0p100;2001;11209.7;999;i
GD;anweali999;p0p100;2002;10384.4;999;i
GD;anweali999;p0p100;2003;10758.5;999;i
GD;anweali999;p0p100;2004;10026.7;999;i
GD;anweali999;p0p100;2005;16217.9;999;i
GD;anweali999;p0p100;2006;13047;999;i
GD;anweali999;p0p100;2007;12738.5;999;i
GD;anweali999;p0p100;2008;12883.8;999;i
GD;anweali999;p0p100;2009;6943.1;999;i
GD;anweali999;p0p100;2010;5509.2;999;i
GD;anweali999;p0p100;2011;2996.1;999;i
GD;anweali999;p0p100;2012;1206;999;i
GD;anweali999;p0p100;2013;1490.5;999;i
GD;anweali999;p0p100;2014;1538.4;999;i
GD;anweali999;p0p100;2015;4527;999;i
GD;anweali999;p0p100;2016;15673.8;999;i
GD;anweali999;p0p100;2017;25742.5;999;i
GD;anweali999;p0p100;2018;27901.8;999;i
GD;anweali999;p0p100;2019;29420.1;999;i
GD;anweali999;p0p100;2020;25711.9;999;i
GD;anweali999;p0p100;2021;26244.4;999;i
GD;acomnxi992;p0p100;1977;0;992;i
GD;acomnxi992;p0p100;1978;0;992;i
GD;acomnxi992;p0p100;1979;0;992;i
GD;acomnxi992;p0p100;1980;-674.3;992;i
GD;acomnxi992;p0p100;1981;-1234.6;992;i
GD;acomnxi992;p0p100;1982;-1095.3;992;i
GD;acomnxi992;p0p100;1983;-868.4;992;i
GD;acomnxi992;p0p100;1984;0;992;i
GD;acomnxi992;p0p100;1985;0;992;i
GD;acomnxi992;p0p100;1986;17.6;992;i
GD;acomnxi992;p0p100;1987;27.7;992;i
GD;acomnxi992;p0p100;1988;20.9;992;i
GD;acomnxi992;p0p100;1989;5;992;i
GD;acomnxi992;p0p100;1990;7.7;992;i
GD;acomnxi992;p0p100;1991;6.9;992;i
GD;acomnxi992;p0p100;1992;7;992;i
GD;acomnxi992;p0p100;1993;6.7;992;i
GD;acomnxi992;p0p100;1994;6.4;992;i
GD;acomnxi992;p0p100;1995;6.1;992;i
GD;acomnxi992;p0p100;1996;0.7;992;i
GD;acomnxi992;p0p100;1997;2.1;992;i
GD;acomnxi992;p0p100;1998;2.5;992;i
GD;acomnxi992;p0p100;1999;3.5;992;i
GD;acomnxi992;p0p100;2000;1;992;i
GD;acomnxi992;p0p100;2001;2;992;i
