country;variable;percentile;year;value;age;pop
GL;acomrxi999;p0p100;1979;0;999;i
GL;acomrxi999;p0p100;1980;0;999;i
GL;acomrxi999;p0p100;1981;0;999;i
GL;acomrxi999;p0p100;1982;0;999;i
GL;acomrxi999;p0p100;1983;0;999;i
GL;acomrxi999;p0p100;1984;0;999;i
GL;acomrxi999;p0p100;1985;0;999;i
GL;acomrxi999;p0p100;1986;0;999;i
GL;acomrxi999;p0p100;1987;0;999;i
GL;acomrxi999;p0p100;1988;0;999;i
GL;acomrxi999;p0p100;1989;0;999;i
GL;acomrxi999;p0p100;1990;0;999;i
GL;acomrxi999;p0p100;1991;0;999;i
GL;acomrxi999;p0p100;1992;0;999;i
GL;acomrxi999;p0p100;1993;0;999;i
GL;acomrxi999;p0p100;1994;0;999;i
GL;acomrxi999;p0p100;1995;0;999;i
GL;acomrxi999;p0p100;1996;0;999;i
GL;acomrxi999;p0p100;1997;0;999;i
GL;acomrxi999;p0p100;1998;0;999;i
GL;acomrxi999;p0p100;1999;0;999;i
GL;acomrxi999;p0p100;2000;0;999;i
GL;acomrxi999;p0p100;2001;0;999;i
GL;acomrxi999;p0p100;2002;0;999;i
GL;acomrxi999;p0p100;2003;0;999;i
GL;acomrxi999;p0p100;2004;0;999;i
GL;acomrxi999;p0p100;2005;0;999;i
GL;mecogoi999;p0p100;1997;1007542144;999;i
GL;mecogoi999;p0p100;1998;1045624448;999;i
GL;mecogoi999;p0p100;1999;1073229696;999;i
GL;mecogoi999;p0p100;2000;1127684992;999;i
GL;mecogoi999;p0p100;2001;964218432;999;i
GL;mecogoi999;p0p100;2002;975091648;999;i
GL;mecogoi999;p0p100;2003;1090579712;999;i
GL;mecogoi999;p0p100;2004;1139398656;999;i
GL;mecogoi999;p0p100;2005;1346876288;999;i
GL;mecogoi999;p0p100;2006;1476716672;999;i
GL;mecogoi999;p0p100;2007;1706220800;999;i
GL;mecogoi999;p0p100;2008;1680883584;999;i
GL;mecogoi999;p0p100;2009;1623065984;999;i
GL;mecogoi999;p0p100;2010;1411308928;999;i
GL;mecogoi999;p0p100;2011;1269783680;999;i
GL;mecogoi999;p0p100;2012;1525792000;999;i
GL;mecogoi999;p0p100;2013;1498098688;999;i
GL;mecogoi999;p0p100;2014;1385846272;999;i
GL;mecogoi999;p0p100;2015;1238246272;999;i
GL;mecogoi999;p0p100;2016;997988096;999;i
GL;mecogoi999;p0p100;2017;882464128;999;i
GL;mecogoi999;p0p100;2018;384574848;999;i
GL;mecogoi999;p0p100;2019;372805120;999;i
GL;mprpgoi999;p0p100;1996;487886240;999;i
GL;mprpgoi999;p0p100;1997;458035168;999;i
GL;mprpgoi999;p0p100;1998;424099712;999;i
GL;mprpgoi999;p0p100;1999;518977440;999;i
GL;mprpgoi999;p0p100;2000;400137728;999;i
GL;mprpgoi999;p0p100;2001;516203456;999;i
GL;mprpgoi999;p0p100;2002;517119520;999;i
GL;mprpgoi999;p0p100;2003;479874592;999;i
GL;mprpgoi999;p0p100;2004;571633024;999;i
GL;mprpgoi999;p0p100;2005;644115264;999;i
GL;mprpgoi999;p0p100;2006;606159680;999;i
GL;mprpgoi999;p0p100;2007;595094464;999;i
GL;mprpgoi999;p0p100;2008;556604544;999;i
GL;mprpgoi999;p0p100;2009;563712128;999;i
GL;mprpgoi999;p0p100;2010;538950016;999;i
GL;mprpgoi999;p0p100;2011;446372960;999;i
GL;mprpgoi999;p0p100;2012;523996992;999;i
GL;mprpgoi999;p0p100;2013;624516800;999;i
GL;mprpgoi999;p0p100;2014;622454528;999;i
GL;mprpgoi999;p0p100;2015;458206304;999;i
GL;mprpgoi999;p0p100;2016;493314592;999;i
GL;mprpgoi999;p0p100;2017;466798688;999;i
GL;msprgoi999;p0p100;1996;917288384;999;i
GL;msprgoi999;p0p100;1997;970137856;999;i
GL;msprgoi999;p0p100;1998;1057559104;999;i
GL;msprgoi999;p0p100;1999;1101229696;999;i
GL;msprgoi999;p0p100;2000;981845504;999;i
GL;msprgoi999;p0p100;2001;989850624;999;i
GL;msprgoi999;p0p100;2002;969309504;999;i
GL;msprgoi999;p0p100;2003;930052864;999;i
GL;msprgoi999;p0p100;2004;920875456;999;i
GL;msprgoi999;p0p100;2005;958254080;999;i
GL;msprgoi999;p0p100;2006;830529024;999;i
GL;msprgoi999;p0p100;2007;820563328;999;i
GL;msprgoi999;p0p100;2008;766520576;999;i
GL;msprgoi999;p0p100;2009;720903040;999;i
GL;msprgoi999;p0p100;2010;720861248;999;i
GL;msprgoi999;p0p100;2011;658094464;999;i
GL;msprgoi999;p0p100;2012;642056448;999;i
GL;msprgoi999;p0p100;2013;593153536;999;i
GL;msprgoi999;p0p100;2014;590929216;999;i
GL;msprgoi999;p0p100;2015;554343552;999;i
GL;msprgoi999;p0p100;2016;503018432;999;i
GL;msprgoi999;p0p100;2017;512786240;999;i
GL;mtiwgoi999;p0p100;1996;2778766592;999;i
GL;mtiwgoi999;p0p100;1997;3032193280;999;i
GL;mtiwgoi999;p0p100;1998;3033346816;999;i
GL;mtiwgoi999;p0p100;1999;3252124672;999;i
GL;mtiwgoi999;p0p100;2000;3384909568;999;i
GL;mtiwgoi999;p0p100;2001;3529000960;999;i
GL;mtiwgoi999;p0p100;2002;3523945728;999;i
GL;mtiwgoi999;p0p100;2003;3751652864;999;i
GL;mtiwgoi999;p0p100;2004;3992346880;999;i
GL;mtiwgoi999;p0p100;2005;3905603584;999;i
GL;mtiwgoi999;p0p100;2006;3986792704;999;i
GL;mtiwgoi999;p0p100;2007;4228451840;999;i
GL;mtiwgoi999;p0p100;2008;4405329408;999;i
GL;mtiwgoi999;p0p100;2009;4231374336;999;i
GL;mtiwgoi999;p0p100;2010;4718010368;999;i
GL;mtiwgoi999;p0p100;2011;4728900608;999;i
GL;mtiwgoi999;p0p100;2012;4673538048;999;i
GL;mtiwgoi999;p0p100;2013;4564153856;999;i
GL;mtiwgoi999;p0p100;2014;4733114368;999;i
GL;mtiwgoi999;p0p100;2015;4524082688;999;i
GL;mtiwgoi999;p0p100;2016;4566114304;999;i
GL;mtiwgoi999;p0p100;2017;4520053248;999;i
GL;acolgoi999;p0p100;1996;49274.6;999;i
