country;variable;percentile;year;value;age;pop
GU;ahweali992;p0p100;2002;46120;992;i
GU;ahweali992;p0p100;2003;49047.6;992;i
GU;ahweali992;p0p100;2004;55620.7;992;i
GU;ahweali992;p0p100;2005;61160.2;992;i
GU;ahweali992;p0p100;2006;61758.5;992;i
GU;ahweali992;p0p100;2007;65348;992;i
GU;ahweali992;p0p100;2008;69752.1;992;i
GU;ahweali992;p0p100;2009;72643.7;992;i
GU;ahweali992;p0p100;2010;76802.4;992;i
GU;ahweali992;p0p100;2011;78836.9;992;i
GU;ahweali992;p0p100;2012;82701.8;992;i
GU;ahweali992;p0p100;2013;86259.7;992;i
GU;ahweali992;p0p100;2014;90046.9;992;i
GU;ahweali992;p0p100;2015;92973.3;992;i
GU;ahweali992;p0p100;2016;95350.1;992;i
GU;ahweali992;p0p100;2017;98632.3;992;i
GU;ahweali992;p0p100;2018;100339;992;i
GU;ahweali992;p0p100;2019;106334.8;992;i
GU;ahweali992;p0p100;2020;95102;992;i
GU;ahweali992;p0p100;2021;85100.6;992;i
GU;agninci999;p0p100;2002;35352.5;999;i
GU;agninci999;p0p100;2003;35541;999;i
GU;agninci999;p0p100;2004;37757;999;i
GU;agninci999;p0p100;2005;39057.9;999;i
GU;agninci999;p0p100;2006;37573;999;i
GU;agninci999;p0p100;2007;37795;999;i
GU;agninci999;p0p100;2008;38518.2;999;i
GU;agninci999;p0p100;2009;38641;999;i
GU;agninci999;p0p100;2010;39461.5;999;i
GU;agninci999;p0p100;2011;39430.8;999;i
GU;agninci999;p0p100;2012;40195.7;999;i
GU;agninci999;p0p100;2013;40770.4;999;i
GU;agninci999;p0p100;2014;41344.5;999;i
GU;agninci999;p0p100;2015;41470.3;999;i
GU;agninci999;p0p100;2016;41265.8;999;i
GU;agninci999;p0p100;2017;41296.1;999;i
GU;agninci999;p0p100;2018;40630.9;999;i
GU;agninci999;p0p100;2019;41282.4;999;i
GU;agninci999;p0p100;2020;36071.2;999;i
GU;agninci999;p0p100;2021;31534.4;999;i
GU;agweali992;p0p100;2002;13437.8;992;i
GU;agweali992;p0p100;2003;15172.6;992;i
GU;agweali992;p0p100;2004;18151.5;992;i
GU;agweali992;p0p100;2005;20870.3;992;i
GU;agweali992;p0p100;2006;21790;992;i
GU;agweali992;p0p100;2007;23524.3;992;i
GU;agweali992;p0p100;2008;25261.4;992;i
GU;agweali992;p0p100;2009;26104.6;992;i
GU;agweali992;p0p100;2010;27053;992;i
GU;agweali992;p0p100;2011;26918.3;992;i
GU;agweali992;p0p100;2012;27085.6;992;i
GU;agweali992;p0p100;2013;26837.6;992;i
GU;agweali992;p0p100;2014;26382.9;992;i
GU;agweali992;p0p100;2015;25465.5;992;i
GU;agweali992;p0p100;2016;24284.7;992;i
GU;agweali992;p0p100;2017;23267.5;992;i
GU;agweali992;p0p100;2018;21854.7;992;i
GU;agweali992;p0p100;2019;21320.4;992;i
GU;agweali992;p0p100;2020;17520.5;992;i
GU;agweali992;p0p100;2021;14381.3;992;i
GU;ahweali999;p0p100;2002;28433.6;999;i
GU;ahweali999;p0p100;2003;30275;999;i
GU;ahweali999;p0p100;2004;34393.1;999;i
GU;ahweali999;p0p100;2005;37925.4;999;i
GU;ahweali999;p0p100;2006;38433.6;999;i
GU;ahweali999;p0p100;2007;40858.8;999;i
GU;ahweali999;p0p100;2008;43854.1;999;i
GU;ahweali999;p0p100;2009;45945.1;999;i
GU;ahweali999;p0p100;2010;48870.2;999;i
GU;ahweali999;p0p100;2011;50504.6;999;i
GU;ahweali999;p0p100;2012;53330.6;999;i
GU;ahweali999;p0p100;2013;55987.3;999;i
GU;ahweali999;p0p100;2014;58830;999;i
GU;ahweali999;p0p100;2015;61147.6;999;i
GU;ahweali999;p0p100;2016;63101;999;i
GU;ahweali999;p0p100;2017;65711.2;999;i
GU;ahweali999;p0p100;2018;67306.1;999;i
GU;ahweali999;p0p100;2019;71791.6;999;i
GU;ahweali999;p0p100;2020;64595;999;i
GU;ahweali999;p0p100;2021;58146.6;999;i
GU;anweali992;p0p100;2002;68639.4;992;i
GU;anweali992;p0p100;2003;73342.7;992;i
GU;anweali992;p0p100;2004;83546.2;992;i
GU;anweali992;p0p100;2005;92189.5;992;i
GU;anweali992;p0p100;2006;93260.4;992;i
GU;anweali992;p0p100;2007;98629.8;992;i
GU;anweali992;p0p100;2008;104937.1;992;i
GU;anweali992;p0p100;2009;108625.6;992;i
GU;anweali992;p0p100;2010;113859.1;992;i
GU;anweali992;p0p100;2011;115597.3;992;i
GU;anweali992;p0p100;2012;119671.7;992;i
GU;anweali992;p0p100;2013;122945.2;992;i
GU;anweali992;p0p100;2014;126221.7;992;i
GU;anweali992;p0p100;2015;128041.4;992;i
GU;anweali992;p0p100;2016;128967;992;i
GU;anweali992;p0p100;2017;131029.9;992;i
GU;anweali992;p0p100;2018;130964.5;992;i
GU;anweali992;p0p100;2019;136422.2;992;i
GU;anweali992;p0p100;2020;120015.7;992;i
GU;anweali992;p0p100;2021;105724.9;992;i
GU;apweali992;p0p100;2002;55201.6;992;i
GU;apweali992;p0p100;2003;58170.1;992;i
GU;apweali992;p0p100;2004;65394.7;992;i
GU;apweali992;p0p100;2005;71319.2;992;i
GU;apweali992;p0p100;2006;71470.4;992;i
GU;apweali992;p0p100;2007;75105.5;992;i
GU;apweali992;p0p100;2008;79675.7;992;i
GU;apweali992;p0p100;2009;82521;992;i
GU;apweali992;p0p100;2010;86806;992;i
GU;apweali992;p0p100;2011;88679;992;i
GU;apweali992;p0p100;2012;92586.1;992;i
GU;apweali992;p0p100;2013;96107.6;992;i
GU;apweali992;p0p100;2014;99838.8;992;i
GU;apweali992;p0p100;2015;102575.9;992;i
GU;apweali992;p0p100;2016;104682.3;992;i
GU;apweali992;p0p100;2017;107762.5;992;i
GU;apweali992;p0p100;2018;109109.8;992;i
GU;apweali992;p0p100;2019;115101.8;992;i
GU;apweali992;p0p100;2020;102495.2;992;i
GU;apweali992;p0p100;2021;91343.6;992;i
GU;apweali999;p0p100;2002;34032.5;999;i
GU;apweali999;p0p100;2003;35905.9;999;i
GU;apweali999;p0p100;2004;40436.9;999;i
GU;apweali999;p0p100;2005;44225;999;i
GU;apweali999;p0p100;2006;44477.5;999;i
GU;apweali999;p0p100;2007;46959.6;999;i
GU;apweali999;p0p100;2008;50093.2;999;i
GU;apweali999;p0p100;2009;52192.2;999;i
GU;apweali999;p0p100;2010;55235.7;999;i
GU;apweali999;p0p100;2011;56809.6;999;i
GU;apweali999;p0p100;2012;59704.5;999;i
GU;apweali999;p0p100;2013;62379.1;999;i
GU;apweali999;p0p100;2014;65227.3;999;i
GU;apweali999;p0p100;2015;67463.1;999;i
GU;apweali999;p0p100;2016;69276.8;999;i
GU;apweali999;p0p100;2017;71794;999;i
GU;apweali999;p0p100;2018;73189.4;999;i
GU;apweali999;p0p100;2019;77710.6;999;i
GU;apweali999;p0p100;2020;69616.6;999;i
GU;apweali999;p0p100;2021;62412.3;999;i
GU;mnweali999;p0p100;2002;6651227387;999;i
GU;mnweali999;p0p100;2003;7140058628;999;i
GU;mnweali999;p0p100;2004;8167641938;999;i
GU;mnweali999;p0p100;2005;9055317664;999;i
GU;mnweali999;p0p100;2006;9207597661;999;i
GU;mnweali999;p0p100;2007;9795811525;999;i
GU;mnweali999;p0p100;2008;10492454253;999;i
GU;mnweali999;p0p100;2009;10939248072;999;i
GU;mnweali999;p0p100;2010;11551684359;999;i
GU;mnweali999;p0p100;2011;11825836319;999;i
GU;mnweali999;p0p100;2012;12347003729;999;i
GU;mnweali999;p0p100;2013;12800189605;999;i
GU;mnweali999;p0p100;2014;13278015644;999;i
GU;mnweali999;p0p100;2015;13629876833;999;i
GU;mnweali999;p0p100;2016;13907542109;999;i
GU;mnweali999;p0p100;2017;14340963044;999;i
GU;mnweali999;p0p100;2018;14562594998;999;i
GU;mnweali999;p0p100;2019;15408613582;999;i
GU;mnweali999;p0p100;2020;13757995837;999;i
GU;mnweali999;p0p100;2021;12293480695;999;i
GU;aconfci992;p0p100;2002;7831.4;992;i
GU;aconfci992;p0p100;2003;8005.6;992;i
GU;aconfci992;p0p100;2004;8179;992;i
GU;aconfci992;p0p100;2005;8301.3;992;i
GU;aconfci992;p0p100;2006;8357.6;992;i
GU;aconfci992;p0p100;2007;8385.7;992;i
GU;aconfci992;p0p100;2008;8412;992;i
GU;aconfci992;p0p100;2009;8446.8;992;i
GU;aconfci992;p0p100;2010;8498.5;992;i
GU;aconfci992;p0p100;2011;8558.6;992;i
GU;aconfci992;p0p100;2012;8635.8;992;i
