country;variable;percentile;year;value;age;pop
GW;aecogoi992;p0p100;1986;29228.4;992;i
GW;aecogoi992;p0p100;1987;25268.4;992;i
GW;aptincj992;p0p1;1980;0;992;j
GW;aptincj992;p0p1;1981;0;992;j
GW;aptincj992;p0p1;1982;0;992;j
GW;aptincj992;p0p1;1983;0;992;j
GW;aptincj992;p0p1;1984;0;992;j
GW;aptincj992;p0p1;1985;0;992;j
GW;aptincj992;p0p1;1986;0;992;j
GW;aptincj992;p0p1;1987;0;992;j
GW;aptincj992;p0p1;1988;0;992;j
GW;aptincj992;p0p1;1989;0;992;j
GW;aptincj992;p0p1;1990;0;992;j
GW;aptincj992;p0p1;1991;0;992;j
GW;aptincj992;p0p1;1992;0;992;j
GW;aptincj992;p0p1;1993;0;992;j
GW;aptincj992;p0p1;1994;0;992;j
GW;aptincj992;p0p1;1995;0;992;j
GW;aptincj992;p0p1;1996;0;992;j
GW;aptincj992;p0p1;1997;0;992;j
GW;aptincj992;p0p1;1998;0;992;j
GW;aptincj992;p0p1;1999;0;992;j
GW;aptincj992;p0p1;2000;0;992;j
GW;aptincj992;p0p1;2001;0;992;j
GW;aptincj992;p0p1;2002;0;992;j
GW;aptincj992;p0p1;2003;0;992;j
GW;aptincj992;p0p1;2004;0;992;j
GW;aptincj992;p0p1;2005;0;992;j
GW;aptincj992;p0p1;2006;0;992;j
GW;aptincj992;p0p1;2007;0;992;j
GW;aptincj992;p0p1;2008;0;992;j
GW;aptincj992;p0p1;2009;0;992;j
GW;aptincj992;p0p1;2010;0;992;j
GW;aptincj992;p0p1;2011;0;992;j
GW;aptincj992;p0p1;2012;0;992;j
GW;aptincj992;p0p1;2013;0;992;j
GW;aptincj992;p0p1;2014;0;992;j
GW;aptincj992;p0p1;2015;0;992;j
GW;aptincj992;p0p1;2016;0;992;j
GW;aptincj992;p0p1;2017;0;992;j
GW;aptincj992;p0p1;2018;0;992;j
GW;aptincj992;p0p1;2019;0;992;j
GW;aptincj992;p0p1;2020;0;992;j
GW;aptincj992;p0p1;2021;0;992;j
GW;aptincj992;p0p10;1980;6391.5;992;j
GW;aptincj992;p0p10;1981;7585.8;992;j
GW;aptincj992;p0p10;1982;7661.7;992;j
GW;aptincj992;p0p10;1983;7295.5;992;j
GW;aptincj992;p0p10;1984;7862.8;992;j
GW;aptincj992;p0p10;1985;8021.5;992;j
GW;aptincj992;p0p10;1986;7648.3;992;j
GW;aptincj992;p0p10;1987;7753.9;992;j
GW;aptincj992;p0p10;1988;7927.4;992;j
GW;aptincj992;p0p10;1989;8212;992;j
GW;aptincj992;p0p10;1990;8684.8;992;j
GW;aptincj992;p0p10;1991;8822;992;j
GW;aptincj992;p0p10;1992;13154;992;j
GW;aptincj992;p0p10;1993;17508.8;992;j
GW;aptincj992;p0p10;1994;18527.8;992;j
GW;aptincj992;p0p10;1995;19856.3;992;j
GW;aptincj992;p0p10;1996;22630.3;992;j
GW;aptincj992;p0p10;1997;24816.1;992;j
GW;aptincj992;p0p10;1998;17737.6;992;j
GW;aptincj992;p0p10;1999;18232.4;992;j
GW;aptincj992;p0p10;2000;19537.8;992;j
GW;aptincj992;p0p10;2001;20216.1;992;j
GW;aptincj992;p0p10;2002;20283.5;992;j
GW;aptincj992;p0p10;2003;18803.1;992;j
GW;aptincj992;p0p10;2004;17761.7;992;j
GW;aptincj992;p0p10;2005;17031.8;992;j
GW;aptincj992;p0p10;2006;15921.7;992;j
GW;aptincj992;p0p10;2007;14951.2;992;j
GW;aptincj992;p0p10;2008;13882.6;992;j
GW;aptincj992;p0p10;2009;12919.3;992;j
GW;aptincj992;p0p10;2010;12218.1;992;j
GW;aptincj992;p0p10;2011;13785.1;992;j
GW;aptincj992;p0p10;2012;13920.5;992;j
GW;aptincj992;p0p10;2013;15471.3;992;j
GW;aptincj992;p0p10;2014;16973.2;992;j
GW;aptincj992;p0p10;2015;18456.3;992;j
GW;aptincj992;p0p10;2016;20020.1;992;j
GW;aptincj992;p0p10;2017;21741.5;992;j
GW;aptincj992;p0p10;2018;21450.6;992;j
GW;aptincj992;p0p10;2019;21679.1;992;j
GW;aptincj992;p0p10;2020;20523.1;992;j
GW;aptincj992;p0p10;2021;20578;992;j
GW;aptincj992;p0p100;1980;699810.5;992;j
GW;aptincj992;p0p100;1981;830569.3;992;j
GW;aptincj992;p0p100;1982;838883.8;992;j
GW;aptincj992;p0p100;1983;798791.3;992;j
GW;aptincj992;p0p100;1984;860902.5;992;j
GW;aptincj992;p0p100;1985;878274.3;992;j
GW;aptincj992;p0p100;1986;837411.9;992;j
GW;aptincj992;p0p100;1987;848972.9;992;j
GW;aptincj992;p0p100;1988;867977.2;992;j
GW;aptincj992;p0p100;1989;899134.1;992;j
GW;aptincj992;p0p100;1990;950901.8;992;j
GW;aptincj992;p0p100;1991;965925.6;992;j
GW;aptincj992;p0p100;1992;965553.2;992;j
GW;aptincj992;p0p100;1993;964501.3;992;j
GW;aptincj992;p0p100;1994;981328.4;992;j
GW;aptincj992;p0p100;1995;1012654.1;992;j
