country;variable;percentile;year;value;age;pop
KI;aedugoi992;p0p100;1972;351.3;992;i
KI;aedugoi992;p0p100;1973;306.3;992;i
KI;aedugoi992;p0p100;1974;314.5;992;i
KI;aheagoi999;p0p100;1972;107.3;999;i
KI;aheagoi999;p0p100;1973;116.3;999;i
KI;aheagoi999;p0p100;1974;101.5;999;i
KI;aecogoi992;p0p100;1972;374.7;992;i
KI;aecogoi992;p0p100;1973;411;992;i
KI;aecogoi992;p0p100;1974;415.3;992;i
KI;xlceuxi999;p0p100;1999;1.651900185608;999;i
KI;xlceuxi999;p0p100;2000;1.59307149253352;999;i
KI;xlceuxi999;p0p100;2001;1.73164823826376;999;i
KI;xlceuxi999;p0p100;2002;1.74038747676817;999;i
KI;xlceuxi999;p0p100;2003;1.74415230237766;999;i
KI;xlceuxi999;p0p100;2004;1.69139934578268;999;i
KI;xlceuxi999;p0p100;2005;1.62910301850228;999;i
KI;xlceuxi999;p0p100;2006;1.66740194002002;999;i
KI;xlceuxi999;p0p100;2007;1.63782072201218;999;i
KI;xlceuxi999;p0p100;2008;1.75340280401606;999;i
KI;xlceuxi999;p0p100;2009;1.78837439645696;999;i
KI;xlceuxi999;p0p100;2010;1.44524264917084;999;i
KI;xlceuxi999;p0p100;2011;1.34944945173333;999;i
KI;xlceuxi999;p0p100;2012;1.24085023931436;999;i
KI;xlceuxi999;p0p100;2013;1.37572194757845;999;i
KI;xlceuxi999;p0p100;2014;1.47378998476801;999;i
KI;xlceuxi999;p0p100;2015;1.47686172666338;999;i
KI;xlceuxi999;p0p100;2016;1.48902153257359;999;i
KI;xlceuxi999;p0p100;2017;1.47396063532284;999;i
KI;xlceuxi999;p0p100;2018;1.58060387620079;999;i
KI;xlceuxi999;p0p100;2019;1.61038637978721;999;i
KI;xlceuxi999;p0p100;2020;1.65919933378089;999;i
KI;xlceuxi999;p0p100;2021;1.58169261173437;999;i
KI;agpsgoi999;p0p100;1972;242.8;999;i
KI;agpsgoi999;p0p100;1973;261.9;999;i
KI;agpsgoi999;p0p100;1974;213.3;999;i
KI;aheagoi992;p0p100;1972;238.1;992;i
KI;aheagoi992;p0p100;1973;255.2;992;i
KI;aheagoi992;p0p100;1974;220;992;i
KI;aothgoi999;p0p100;1972;347.9;999;i
KI;aothgoi999;p0p100;1973;299.4;999;i
KI;aothgoi999;p0p100;1974;315.6;999;i
KI;asopgoi999;p0p100;1972;4;999;i
KI;asopgoi999;p0p100;1973;2.8;999;i
KI;asopgoi999;p0p100;1974;3.3;999;i
KI;arecgoi992;p0p100;1972;19.5;992;i
KI;arecgoi992;p0p100;1973;111.6;992;i
KI;arecgoi992;p0p100;1974;95.5;992;i
KI;arecgoi999;p0p100;1972;8.8;999;i
KI;arecgoi999;p0p100;1973;50.9;999;i
KI;arecgoi999;p0p100;1974;44.1;999;i
KI;medugoi999;p0p100;1972;8356948;999;i
KI;medugoi999;p0p100;1973;7477970;999;i
KI;medugoi999;p0p100;1974;7879903;999;i
KI;mothgoi999;p0p100;1972;18362072;999;i
KI;mothgoi999;p0p100;1973;16034205;999;i
KI;mothgoi999;p0p100;1974;17146738;999;i
KI;msopgoi999;p0p100;1972;208924;999;i
KI;msopgoi999;p0p100;1973;149759;999;i
KI;msopgoi999;p0p100;1974;176679;999;i
KI;acomnxi992;p0p100;1972;-28.5;992;i
KI;acomnxi992;p0p100;1973;-12.2;992;i
KI;acomnxi992;p0p100;1974;-6.4;992;i
KI;acomnxi992;p0p100;1979;194.7;992;i
KI;acomnxi992;p0p100;1980;293.1;992;i
KI;acomnxi992;p0p100;1981;290.3;992;i
KI;acomnxi992;p0p100;1982;401.9;992;i
KI;acomnxi992;p0p100;1983;368.9;992;i
KI;acomnxi992;p0p100;1984;337.3;992;i
KI;acomnxi992;p0p100;1985;395.7;992;i
KI;acomnxi992;p0p100;1986;400.7;992;i
KI;acomnxi992;p0p100;1987;365.6;992;i
KI;acomnxi992;p0p100;1988;261.4;992;i
KI;acomnxi992;p0p100;1989;276.3;992;i
KI;acomnxi992;p0p100;1990;291.9;992;i
KI;acomnxi992;p0p100;1991;345.5;992;i
KI;acomnxi992;p0p100;1992;321;992;i
KI;acomnxi992;p0p100;1993;330.7;992;i
KI;acomnxi992;p0p100;1994;333;992;i
KI;acomnxi992;p0p100;2005;1309.7;992;i
KI;acomnxi992;p0p100;2006;855.4;992;i
KI;acomnxi992;p0p100;2007;688.7;992;i
KI;acomnxi992;p0p100;2008;682.3;992;i
KI;acomnxi992;p0p100;2009;747.9;992;i
KI;acomnxi992;p0p100;2010;851.1;992;i
KI;acomnxi992;p0p100;2011;618.4;992;i
KI;acomnxi992;p0p100;2012;1047.9;992;i
KI;acomnxi992;p0p100;2013;1549.6;992;i
KI;acomnxi992;p0p100;2014;2382.3;992;i
KI;acomnxi992;p0p100;2015;3214.8;992;i
KI;acomnxi992;p0p100;2016;2132.8;992;i
KI;acomnxi992;p0p100;2017;2315.7;992;i
KI;acomnxi992;p0p100;2018;2252.3;992;i
KI;acomnxi992;p0p100;2019;453.1;992;i
KI;acomnxi999;p0p100;1972;-12.8;999;i
KI;acomnxi999;p0p100;1973;-5.5;999;i
KI;acomnxi999;p0p100;1974;-3;999;i
KI;acomnxi999;p0p100;1979;93.7;999;i
KI;acomnxi999;p0p100;1980;142;999;i
KI;acomnxi999;p0p100;1981;140.9;999;i
KI;acomnxi999;p0p100;1982;195.7;999;i
KI;acomnxi999;p0p100;1983;180.2;999;i
KI;acomnxi999;p0p100;1984;164.9;999;i
KI;acomnxi999;p0p100;1985;193.4;999;i
KI;acomnxi999;p0p100;1986;197.9;999;i
KI;acomnxi999;p0p100;1987;182.4;999;i
KI;acomnxi999;p0p100;1988;131.5;999;i
KI;acomnxi999;p0p100;1989;139.9;999;i
KI;acomnxi999;p0p100;1990;148.3;999;i
KI;acomnxi999;p0p100;1991;174.9;999;i
KI;acomnxi999;p0p100;1992;161.5;999;i
KI;acomnxi999;p0p100;1993;165.2;999;i
KI;acomnxi999;p0p100;1994;165.2;999;i
KI;acomnxi999;p0p100;2005;672.9;999;i
KI;acomnxi999;p0p100;2006;446.6;999;i
KI;acomnxi999;p0p100;2007;362.5;999;i
KI;acomnxi999;p0p100;2008;360.3;999;i
KI;acomnxi999;p0p100;2009;396.3;999;i
KI;acomnxi999;p0p100;2010;453.6;999;i
KI;acomnxi999;p0p100;2011;329.3;999;i
KI;acomnxi999;p0p100;2012;560.2;999;i
KI;acomnxi999;p0p100;2013;833.9;999;i
KI;acomnxi999;p0p100;2014;1289.9;999;i
KI;acomnxi999;p0p100;2015;1748.2;999;i
KI;acomnxi999;p0p100;2016;1170.2;999;i
KI;acomnxi999;p0p100;2017;1278.2;999;i
KI;acomnxi999;p0p100;2018;1247.8;999;i
KI;acomnxi999;p0p100;2019;251.5;999;i
KI;acompxi992;p0p100;1972;0;992;i
KI;acompxi992;p0p100;1973;0;992;i
KI;acompxi992;p0p100;1974;0;992;i
KI;acompxi992;p0p100;1979;0;992;i
KI;acompxi992;p0p100;1980;0;992;i
KI;acompxi992;p0p100;1981;0;992;i
KI;acompxi992;p0p100;1982;0;992;i
KI;acompxi992;p0p100;1983;0;992;i
KI;acompxi992;p0p100;1984;0;992;i
KI;acompxi992;p0p100;1985;0;992;i
KI;acompxi992;p0p100;1986;0;992;i
KI;acompxi992;p0p100;1987;0;992;i
KI;acompxi992;p0p100;1988;0;992;i
KI;acompxi992;p0p100;1989;0;992;i
KI;acompxi992;p0p100;1990;0;992;i
KI;acompxi992;p0p100;1991;0;992;i
KI;acompxi992;p0p100;1992;0;992;i
KI;acompxi992;p0p100;1993;0;992;i
KI;acompxi992;p0p100;1994;0;992;i
KI;acompxi992;p0p100;2006;-90.5;992;i
KI;acompxi992;p0p100;2007;-107.6;992;i
KI;acompxi992;p0p100;2008;-168.4;992;i
KI;acompxi992;p0p100;2009;-139.5;992;i
KI;acompxi992;p0p100;2010;-177.6;992;i
KI;acompxi992;p0p100;2011;-110.3;992;i
KI;acompxi992;p0p100;2012;-227.6;992;i
KI;acompxi992;p0p100;2013;-419.5;992;i
KI;acompxi992;p0p100;2014;-727.5;992;i
KI;acompxi992;p0p100;2015;-397.8;992;i
KI;acompxi992;p0p100;2016;-620.7;992;i
KI;acompxi992;p0p100;2017;-592.1;992;i
KI;acompxi992;p0p100;2018;-463.8;992;i
KI;acompxi999;p0p100;1972;0;999;i
KI;acompxi999;p0p100;1973;0;999;i
KI;acompxi999;p0p100;1974;0;999;i
KI;acompxi999;p0p100;1979;0;999;i
KI;acompxi999;p0p100;1980;0;999;i
KI;acompxi999;p0p100;1981;0;999;i
KI;acompxi999;p0p100;1982;0;999;i
KI;acompxi999;p0p100;1983;0;999;i
KI;acompxi999;p0p100;1984;0;999;i
KI;acompxi999;p0p100;1985;0;999;i
KI;acompxi999;p0p100;1986;0;999;i
KI;acompxi999;p0p100;1987;0;999;i
KI;acompxi999;p0p100;1988;0;999;i
KI;acompxi999;p0p100;1989;0;999;i
KI;acompxi999;p0p100;1990;0;999;i
KI;acompxi999;p0p100;1991;0;999;i
KI;acompxi999;p0p100;1992;0;999;i
KI;acompxi999;p0p100;1993;0;999;i
KI;acompxi999;p0p100;1994;0;999;i
KI;acompxi999;p0p100;2006;-47.2;999;i
KI;acompxi999;p0p100;2007;-56.6;999;i
KI;acompxi999;p0p100;2008;-88.9;999;i
KI;acompxi999;p0p100;2009;-73.9;999;i
KI;acompxi999;p0p100;2010;-94.6;999;i
KI;acompxi999;p0p100;2011;-58.8;999;i
KI;acompxi999;p0p100;2012;-121.7;999;i
KI;acompxi999;p0p100;2013;-225.7;999;i
KI;acompxi999;p0p100;2014;-393.9;999;i
KI;acompxi999;p0p100;2015;-216.3;999;i
KI;acompxi999;p0p100;2016;-340.6;999;i
KI;acompxi999;p0p100;2017;-326.8;999;i
KI;acompxi999;p0p100;2018;-257;999;i
KI;acomrxi992;p0p100;1972;-28.5;992;i
KI;acomrxi992;p0p100;1973;-12.2;992;i
KI;acomrxi992;p0p100;1974;-6.4;992;i
KI;acomrxi992;p0p100;1979;194.7;992;i
KI;acomrxi992;p0p100;1980;293.1;992;i
KI;acomrxi992;p0p100;1981;290.3;992;i
KI;acomrxi992;p0p100;1982;401.9;992;i
KI;acomrxi992;p0p100;1983;368.9;992;i
KI;acomrxi992;p0p100;1984;337.3;992;i
KI;acomrxi992;p0p100;1985;395.7;992;i
KI;acomrxi992;p0p100;1986;400.7;992;i
KI;acomrxi992;p0p100;1987;365.6;992;i
KI;acomrxi992;p0p100;1988;261.4;992;i
KI;acomrxi992;p0p100;1989;276.3;992;i
KI;acomrxi992;p0p100;1990;291.9;992;i
KI;acomrxi992;p0p100;1991;345.5;992;i
KI;acomrxi992;p0p100;1992;321;992;i
KI;acomrxi992;p0p100;1993;330.7;992;i
KI;acomrxi992;p0p100;1994;333;992;i
KI;acomrxi992;p0p100;2006;764.9;992;i
KI;acomrxi992;p0p100;2007;581.1;992;i
KI;acomrxi992;p0p100;2008;513.8;992;i
KI;acomrxi992;p0p100;2009;608.5;992;i
KI;acomrxi992;p0p100;2010;673.6;992;i
KI;acomrxi992;p0p100;2011;508.1;992;i
KI;acomrxi992;p0p100;2012;820.3;992;i
KI;acomrxi992;p0p100;2013;1130.2;992;i
KI;acomrxi992;p0p100;2014;1654.8;992;i
KI;acomrxi992;p0p100;2015;2817;992;i
KI;acomrxi992;p0p100;2016;1512.1;992;i
KI;acomrxi992;p0p100;2017;1723.6;992;i
KI;acomrxi992;p0p100;2018;1788.6;992;i
KI;acomrxi999;p0p100;1972;-12.8;999;i
KI;acomrxi999;p0p100;1973;-5.5;999;i
KI;acomrxi999;p0p100;1974;-3;999;i
KI;acomrxi999;p0p100;1979;93.7;999;i
KI;acomrxi999;p0p100;1980;142;999;i
KI;acomrxi999;p0p100;1981;140.9;999;i
KI;acomrxi999;p0p100;1982;195.7;999;i
KI;acomrxi999;p0p100;1983;180.2;999;i
KI;acomrxi999;p0p100;1984;164.9;999;i
KI;acomrxi999;p0p100;1985;193.4;999;i
KI;acomrxi999;p0p100;1986;197.9;999;i
KI;acomrxi999;p0p100;1987;182.4;999;i
KI;acomrxi999;p0p100;1988;131.5;999;i
KI;acomrxi999;p0p100;1989;139.9;999;i
KI;acomrxi999;p0p100;1990;148.3;999;i
KI;acomrxi999;p0p100;1991;174.9;999;i
KI;acomrxi999;p0p100;1992;161.5;999;i
KI;acomrxi999;p0p100;1993;165.2;999;i
KI;acomrxi999;p0p100;1994;165.2;999;i
KI;acomrxi999;p0p100;2006;399.3;999;i
KI;acomrxi999;p0p100;2007;305.8;999;i
KI;acomrxi999;p0p100;2008;271.3;999;i
KI;acomrxi999;p0p100;2009;322.4;999;i
KI;acomrxi999;p0p100;2010;359;999;i
KI;acomrxi999;p0p100;2011;270.6;999;i
KI;acomrxi999;p0p100;2012;438.6;999;i
KI;acomrxi999;p0p100;2013;608.2;999;i
KI;acomrxi999;p0p100;2014;896;999;i
KI;acomrxi999;p0p100;2015;1531.9;999;i
KI;acomrxi999;p0p100;2016;829.6;999;i
KI;acomrxi999;p0p100;2017;951.4;999;i
KI;acomrxi999;p0p100;2018;990.9;999;i
KI;aconfci992;p0p100;1970;619.7;992;i
KI;aconfci992;p0p100;1971;717.9;992;i
KI;aconfci992;p0p100;1972;840.7;992;i
KI;aconfci992;p0p100;1973;712.4;992;i
KI;aconfci992;p0p100;1974;578.2;992;i
KI;aconfci992;p0p100;1975;615.2;992;i
KI;aconfci992;p0p100;1976;599.5;992;i
KI;aconfci992;p0p100;1977;557.5;992;i
KI;aconfci992;p0p100;1978;506.2;992;i
KI;aconfci992;p0p100;1979;454.3;992;i
KI;aconfci992;p0p100;1980;410.9;992;i
KI;aconfci992;p0p100;1981;385.4;992;i
KI;aconfci992;p0p100;1982;372.4;992;i
KI;aconfci992;p0p100;1983;365.2;992;i
KI;aconfci992;p0p100;1984;358.8;992;i
