country;variable;percentile;year;value;age;pop
KM;xlceuxi999;p0p100;1999;492.168095370167;999;i
KM;xlceuxi999;p0p100;2000;491.967744609926;999;i
KM;xlceuxi999;p0p100;2001;491.96777760956;999;i
KM;xlceuxi999;p0p100;2002;491.96773469224;999;i
KM;xlceuxi999;p0p100;2003;491.967745926456;999;i
KM;xlceuxi999;p0p100;2004;491.967736508742;999;i
KM;xlceuxi999;p0p100;2005;491.967784430259;999;i
KM;xlceuxi999;p0p100;2006;491.967742370036;999;i
KM;xlceuxi999;p0p100;2007;491.967757542944;999;i
KM;xlceuxi999;p0p100;2008;491.967734792294;999;i
KM;xlceuxi999;p0p100;2009;491.967752067289;999;i
KM;xlceuxi999;p0p100;2010;491.967753031263;999;i
KM;xlceuxi999;p0p100;2011;491.967746744893;999;i
KM;xlceuxi999;p0p100;2012;491.967757940572;999;i
KM;xlceuxi999;p0p100;2013;491.96774211679;999;i
KM;xlceuxi999;p0p100;2014;491.967726803521;999;i
KM;xlceuxi999;p0p100;2015;491.967753184344;999;i
KM;xlceuxi999;p0p100;2016;491.967749863313;999;i
KM;xlceuxi999;p0p100;2017;491.967740971084;999;i
KM;xlceuxi999;p0p100;2018;491.967742062641;999;i
KM;xlceuxi999;p0p100;2019;491.972296759428;999;i
KM;xlceuxi999;p0p100;2020;491.816945464881;999;i
KM;xlceuxi999;p0p100;2021;492.829059983715;999;i
KM;aptincj992;p0p1;1980;0;992;j
KM;aptincj992;p0p1;1981;0;992;j
KM;aptincj992;p0p1;1982;0;992;j
KM;aptincj992;p0p1;1983;0;992;j
KM;aptincj992;p0p1;1984;0;992;j
KM;aptincj992;p0p1;1985;0;992;j
KM;aptincj992;p0p1;1986;0;992;j
KM;aptincj992;p0p1;1987;0;992;j
KM;aptincj992;p0p1;1988;0;992;j
KM;aptincj992;p0p1;1989;0;992;j
KM;aptincj992;p0p1;1990;0;992;j
KM;aptincj992;p0p1;1991;0;992;j
KM;aptincj992;p0p1;1992;0;992;j
KM;aptincj992;p0p1;1993;0;992;j
KM;aptincj992;p0p1;1994;0;992;j
KM;aptincj992;p0p1;1995;0;992;j
KM;aptincj992;p0p1;1996;0;992;j
KM;aptincj992;p0p1;1997;0;992;j
KM;aptincj992;p0p1;1998;0;992;j
KM;aptincj992;p0p1;1999;0;992;j
KM;aptincj992;p0p1;2000;0;992;j
KM;aptincj992;p0p1;2001;0;992;j
KM;aptincj992;p0p1;2002;0;992;j
KM;aptincj992;p0p1;2003;0;992;j
KM;aptincj992;p0p1;2004;0;992;j
KM;aptincj992;p0p1;2005;0;992;j
KM;aptincj992;p0p1;2006;0;992;j
KM;aptincj992;p0p1;2007;0;992;j
KM;aptincj992;p0p1;2008;0;992;j
KM;aptincj992;p0p1;2009;0;992;j
KM;aptincj992;p0p1;2010;0;992;j
KM;aptincj992;p0p1;2011;0;992;j
KM;aptincj992;p0p1;2012;0;992;j
KM;aptincj992;p0p1;2013;0;992;j
KM;aptincj992;p0p1;2014;0;992;j
KM;aptincj992;p0p1;2015;0;992;j
KM;aptincj992;p0p1;2016;0;992;j
KM;aptincj992;p0p1;2017;0;992;j
KM;aptincj992;p0p1;2018;0;992;j
KM;aptincj992;p0p1;2019;0;992;j
KM;aptincj992;p0p1;2020;0;992;j
KM;aptincj992;p0p1;2021;0;992;j
KM;aptincj992;p0p10;1980;15207.9;992;j
KM;aptincj992;p0p10;1981;15291.3;992;j
KM;aptincj992;p0p10;1982;15871.3;992;j
KM;aptincj992;p0p10;1983;16134.3;992;j
KM;aptincj992;p0p10;1984;16358.6;992;j
KM;aptincj992;p0p10;1985;16218.5;992;j
KM;aptincj992;p0p10;1986;16118.2;992;j
KM;aptincj992;p0p10;1987;15984.1;992;j
KM;aptincj992;p0p10;1988;15945.7;992;j
KM;aptincj992;p0p10;1989;15085.4;992;j
KM;aptincj992;p0p10;1990;15385.2;992;j
KM;aptincj992;p0p10;1991;14059.5;992;j
KM;aptincj992;p0p10;1992;15069;992;j
KM;aptincj992;p0p10;1993;15039.9;992;j
KM;aptincj992;p0p10;1994;13693.7;992;j
KM;aptincj992;p0p10;1995;13836.6;992;j
KM;aptincj992;p0p10;1996;13226.7;992;j
KM;aptincj992;p0p10;1997;13382.7;992;j
KM;aptincj992;p0p10;1998;13135.5;992;j
KM;aptincj992;p0p10;1999;12963.7;992;j
KM;aptincj992;p0p10;2000;14006.4;992;j
KM;aptincj992;p0p10;2001;13883.7;992;j
KM;aptincj992;p0p10;2002;13760.9;992;j
KM;aptincj992;p0p10;2003;13512.7;992;j
KM;aptincj992;p0p10;2004;13326.1;992;j
KM;aptincj992;p0p10;2005;13849.3;992;j
KM;aptincj992;p0p10;2006;14369.7;992;j
KM;aptincj992;p0p10;2007;14614.8;992;j
KM;aptincj992;p0p10;2008;15236;992;j
KM;aptincj992;p0p10;2009;15780.4;992;j
KM;aptincj992;p0p10;2010;16426;992;j
KM;aptincj992;p0p10;2011;17178.2;992;j
KM;aptincj992;p0p10;2012;17733.9;992;j
KM;aptincj992;p0p10;2013;18577.9;992;j
KM;aptincj992;p0p10;2014;19085;992;j
KM;aptincj992;p0p10;2015;18742.1;992;j
KM;aptincj992;p0p10;2016;18852.3;992;j
KM;aptincj992;p0p10;2017;19038.9;992;j
KM;aptincj992;p0p10;2018;19227.8;992;j
KM;aptincj992;p0p10;2019;19032.3;992;j
KM;aptincj992;p0p10;2020;18551;992;j
KM;aptincj992;p0p10;2021;18043.2;992;j
KM;aptincj992;p0p100;1980;1295358.1;992;j
KM;aptincj992;p0p100;1981;1302393.5;992;j
KM;aptincj992;p0p100;1982;1351790.4;992;j
KM;aptincj992;p0p100;1983;1374189.6;992;j
KM;aptincj992;p0p100;1984;1393300;992;j
KM;aptincj992;p0p100;1985;1381362.6;992;j
