country;variable;percentile;year;value;age;pop
KN;acomnxi999;p0p100;1980;-384.4;999;i
KN;acomnxi999;p0p100;1981;-390.9;999;i
KN;acomnxi999;p0p100;1982;-55.7;999;i
KN;acomnxi999;p0p100;1983;-56.2;999;i
KN;acomnxi999;p0p100;1984;-54.2;999;i
KN;acomnxi999;p0p100;1985;-123;999;i
KN;acomnxi999;p0p100;1986;12.4;999;i
KN;acomnxi999;p0p100;1987;-10.6;999;i
KN;acomnxi999;p0p100;1988;-27.2;999;i
KN;acomnxi999;p0p100;1989;-421.2;999;i
KN;acomnxi999;p0p100;1990;13.3;999;i
KN;acomnxi999;p0p100;1991;0;999;i
KN;acomnxi999;p0p100;1992;0;999;i
KN;acomnxi999;p0p100;1993;0;999;i
KN;acomnxi999;p0p100;1994;-82.5;999;i
KN;acomnxi999;p0p100;1995;-84.1;999;i
KN;acomnxi999;p0p100;1996;-168;999;i
KN;acomnxi999;p0p100;1997;-236.5;999;i
KN;acomnxi999;p0p100;1998;-28.5;999;i
KN;acomnxi999;p0p100;1999;-0.3;999;i
KN;acomnxi999;p0p100;2000;-207.3;999;i
KN;acomnxi999;p0p100;2001;-250.2;999;i
KN;acomnxi999;p0p100;2002;-243.9;999;i
KN;acomnxi999;p0p100;2003;-285.1;999;i
KN;acomnxi999;p0p100;2004;-234.7;999;i
KN;acomnxi999;p0p100;2005;-193.3;999;i
KN;acomnxi999;p0p100;2006;-57.1;999;i
KN;acomnxi999;p0p100;2007;-33.8;999;i
KN;acomnxi999;p0p100;2008;-35.2;999;i
KN;acomnxi999;p0p100;2009;-33.1;999;i
KN;acomnxi999;p0p100;2010;-24.7;999;i
KN;acomnxi999;p0p100;2011;-2.6;999;i
KN;acomnxi999;p0p100;2012;2.7;999;i
KN;acomnxi999;p0p100;2013;2.4;999;i
KN;acomnxi999;p0p100;2014;487.7;999;i
KN;acomnxi999;p0p100;2015;476.8;999;i
KN;acomnxi999;p0p100;2016;534.4;999;i
KN;acomnxi999;p0p100;2017;507.8;999;i
KN;acomnxi999;p0p100;2018;535.1;999;i
KN;acompxi999;p0p100;1980;384.4;999;i
KN;acompxi999;p0p100;1981;390.9;999;i
KN;acompxi999;p0p100;1982;55.7;999;i
KN;acompxi999;p0p100;1983;56.2;999;i
KN;acompxi999;p0p100;1984;54.2;999;i
KN;acompxi999;p0p100;1985;123;999;i
KN;acompxi999;p0p100;1986;12.4;999;i
KN;acompxi999;p0p100;1987;34.2;999;i
KN;acompxi999;p0p100;1988;60.6;999;i
KN;acompxi999;p0p100;1989;446.6;999;i
KN;acompxi999;p0p100;1990;16.3;999;i
KN;acompxi999;p0p100;1991;0;999;i
KN;acompxi999;p0p100;1992;0;999;i
KN;acompxi999;p0p100;1993;0;999;i
KN;acompxi999;p0p100;1994;95;999;i
KN;acompxi999;p0p100;1995;91.7;999;i
KN;acompxi999;p0p100;1996;176.9;999;i
KN;acompxi999;p0p100;1997;244.7;999;i
KN;acompxi999;p0p100;1998;100.7;999;i
KN;acompxi999;p0p100;1999;113.6;999;i
KN;acompxi999;p0p100;2000;300.3;999;i
KN;acompxi999;p0p100;2001;338.4;999;i
KN;acompxi999;p0p100;2002;283.8;999;i
KN;acompxi999;p0p100;2003;309.8;999;i
KN;acompxi999;p0p100;2004;254.2;999;i
KN;acompxi999;p0p100;2005;216.8;999;i
KN;acompxi999;p0p100;2006;75.4;999;i
KN;acompxi999;p0p100;2007;52.7;999;i
KN;acompxi999;p0p100;2008;49.9;999;i
KN;acompxi999;p0p100;2009;46.7;999;i
KN;acompxi999;p0p100;2010;38;999;i
KN;acompxi999;p0p100;2011;22.8;999;i
KN;acompxi999;p0p100;2012;17;999;i
KN;acompxi999;p0p100;2013;17.6;999;i
KN;acompxi999;p0p100;2014;57.5;999;i
KN;acompxi999;p0p100;2015;65.4;999;i
KN;acompxi999;p0p100;2016;66.6;999;i
KN;acompxi999;p0p100;2017;101.2;999;i
KN;acompxi999;p0p100;2018;106.6;999;i
KN;acomrxi999;p0p100;1980;0;999;i
KN;acomrxi999;p0p100;1981;0;999;i
KN;acomrxi999;p0p100;1982;0;999;i
KN;acomrxi999;p0p100;1983;0;999;i
KN;acomrxi999;p0p100;1984;0;999;i
KN;acomrxi999;p0p100;1985;0;999;i
