country;variable;percentile;year;value;age;pop
KP;egfcari999;p0p100;1990;13.1803716445021;999;i
KP;egfcari999;p0p100;1991;12.4759043189309;999;i
KP;egfcari999;p0p100;1992;10.9602245805512;999;i
KP;egfcari999;p0p100;1993;10.0109519656161;999;i
KP;egfcari999;p0p100;1994;8.84454719578547;999;i
KP;egfcari999;p0p100;1995;7.20367210126081;999;i
KP;egfcari999;p0p100;1996;6.31677608879236;999;i
KP;egfcari999;p0p100;1997;5.08521585096312;999;i
KP;egfcari999;p0p100;1998;4.14137603666937;999;i
KP;egfcari999;p0p100;1999;4.16545688417373;999;i
KP;egfcari999;p0p100;2000;3.78046405027338;999;i
KP;egfcari999;p0p100;2001;4.08779177315869;999;i
KP;egfcari999;p0p100;2002;4.06239551635519;999;i
KP;egfcari999;p0p100;2003;4.31343019605493;999;i
KP;egfcari999;p0p100;2004;4.30609432950472;999;i
KP;egfcari999;p0p100;2005;4.50031636436155;999;i
KP;egfcari999;p0p100;2006;4.64012718645914;999;i
KP;egfcari999;p0p100;2007;3.79899150734559;999;i
KP;egfcari999;p0p100;2008;4.00977046911316;999;i
KP;egfcari999;p0p100;2009;4.08427066071059;999;i
KP;egfcari999;p0p100;2010;3.54193286059128;999;i
KP;egfcari999;p0p100;2011;2.41946529752604;999;i
KP;egfcari999;p0p100;2012;2.45254623063883;999;i
KP;egfcari999;p0p100;2013;1.8170312272324;999;i
KP;egfcari999;p0p100;2014;1.93957062511451;999;i
KP;egfcari999;p0p100;2015;2.16444551987896;999;i
KP;egfcari999;p0p100;2016;2.34360543986894;999;i
KP;egfcari999;p0p100;2017;2.40655351986541;999;i
KP;egfcari999;p0p100;2018;3.33140607981369;999;i
KP;egfcari999;p0p100;2019;3.87991030696023;999;i
KP;egfcari999;p0p100;2020;3.60831658547301;999;i
KP;egfghgi999;p0p100;1980;15.375986328125;999;i
KP;egfghgi999;p0p100;1981;15.359447265625;999;i
KP;egfghgi999;p0p100;1982;15.9027529296875;999;i
KP;egfghgi999;p0p100;1983;16.884009765625;999;i
KP;egfghgi999;p0p100;1984;17.869150390625;999;i
KP;egfghgi999;p0p100;1985;19.00709765625;999;i
KP;egfghgi999;p0p100;1986;20.2594229898494;999;i
KP;egfghgi999;p0p100;1987;21.9338076490237;999;i
KP;egfghgi999;p0p100;1988;23.8692306361431;999;i
KP;egfghgi999;p0p100;1989;24.9794554513656;999;i
KP;egfghgi999;p0p100;1990;15.7157625378163;999;i
KP;egfghgi999;p0p100;1991;14.8731079713101;999;i
KP;egfghgi999;p0p100;1992;13.2199760567443;999;i
KP;egfghgi999;p0p100;1993;12.1476271865918;999;i
KP;egfghgi999;p0p100;1994;10.6296966662327;999;i
KP;egfghgi999;p0p100;1995;8.5971764269951;999;i
KP;egfghgi999;p0p100;1996;7.67304355494051;999;i
KP;egfghgi999;p0p100;1997;6.24872525968595;999;i
KP;egfghgi999;p0p100;1998;5.1652020510965;999;i
KP;egfghgi999;p0p100;1999;5.20967963241308;999;i
KP;egfghgi999;p0p100;2000;4.75356288663602;999;i
KP;egfghgi999;p0p100;2001;5.12420846517135;999;i
KP;egfghgi999;p0p100;2002;5.0397364134241;999;i
KP;egfghgi999;p0p100;2003;5.33769306631337;999;i
KP;egfghgi999;p0p100;2004;5.33889906396673;999;i
KP;egfghgi999;p0p100;2005;5.59657789237409;999;i
KP;egfghgi999;p0p100;2006;5.78366283432707;999;i
KP;egfghgi999;p0p100;2007;4.82759326791551;999;i
KP;egfghgi999;p0p100;2008;5.05679399378854;999;i
KP;egfghgi999;p0p100;2009;5.18398331581856;999;i
KP;egfghgi999;p0p100;2010;4.56346037165395;999;i
KP;egfghgi999;p0p100;2011;3.36875469515985;999;i
KP;egfghgi999;p0p100;2012;3.41968059629693;999;i
KP;egfghgi999;p0p100;2013;2.80224236190465;999;i
KP;egfghgi999;p0p100;2014;2.89063336756093;999;i
KP;egfghgi999;p0p100;2015;3.1993741144188;999;i
KP;egfghgi999;p0p100;2016;3.36221650946407;999;i
KP;egfghgi999;p0p100;2017;3.42926926036506;999;i
KP;egfghgi999;p0p100;2018;4.3488498441501;999;i
KP;egfghgi999;p0p100;2019;5.06487258817874;999;i
KP;egfghgi999;p0p100;2020;4.71033150700623;999;i
KP;egfghoi999;p0p100;1990;2.53539089331426;999;i
KP;egfghoi999;p0p100;1991;2.39720365237913;999;i
KP;egfghoi999;p0p100;1992;2.25975147619311;999;i
KP;egfghoi999;p0p100;1993;2.13667522097568;999;i
KP;egfghoi999;p0p100;1994;1.78514947044728;999;i
KP;egfghoi999;p0p100;1995;1.39350432573429;999;i
KP;egfghoi999;p0p100;1996;1.35626746614815;999;i
KP;egfghoi999;p0p100;1997;1.16350940872283;999;i
KP;egfghoi999;p0p100;1998;1.02382601442713;999;i
KP;egfghoi999;p0p100;1999;1.04422274823935;999;i
KP;egfghoi999;p0p100;2000;0.973098836362642;999;i
KP;egfghoi999;p0p100;2001;1.03641669201266;999;i
KP;egfghoi999;p0p100;2002;0.97734089706891;999;i
KP;egfghoi999;p0p100;2003;1.02426287025844;999;i
KP;egfghoi999;p0p100;2004;1.03280473446202;999;i
KP;egfghoi999;p0p100;2005;1.09626152801254;999;i
KP;egfghoi999;p0p100;2006;1.14353564786793;999;i
