country;variable;percentile;year;value;age;pop
LB;egfcari999;p0p100;1990;1.07559986084054;999;i
LB;egfcari999;p0p100;1991;0.965532297054627;999;i
LB;egfcari999;p0p100;1992;0.951225338345757;999;i
LB;egfcari999;p0p100;1993;1.04160175317283;999;i
LB;egfcari999;p0p100;1994;1.10210191781173;999;i
LB;egfcari999;p0p100;1995;1.23531290727257;999;i
LB;egfcari999;p0p100;1996;1.37726985196436;999;i
LB;egfcari999;p0p100;1997;1.98496915706138;999;i
LB;egfcari999;p0p100;1998;1.84929018871841;999;i
LB;egfcari999;p0p100;1999;1.78637090786602;999;i
LB;egfcari999;p0p100;2000;1.65737945987117;999;i
LB;egfcari999;p0p100;2001;1.82939889611175;999;i
LB;egfcari999;p0p100;2002;1.81337450352517;999;i
LB;egfcari999;p0p100;2003;2.05717244312625;999;i
LB;egfcari999;p0p100;2004;1.78052547052425;999;i
LB;egfcari999;p0p100;2005;1.72632461963443;999;i
LB;egfcari999;p0p100;2006;1.57374400037562;999;i
LB;egfcari999;p0p100;2007;1.39926330454886;999;i
LB;egfcari999;p0p100;2008;1.69069932124124;999;i
LB;egfcari999;p0p100;2009;1.97606047042439;999;i
LB;egfcari999;p0p100;2010;1.92022720906279;999;i
LB;egfcari999;p0p100;2011;1.82074206730366;999;i
LB;egfcari999;p0p100;2012;1.90277219162784;999;i
LB;egfcari999;p0p100;2013;1.9187390378891;999;i
LB;egfcari999;p0p100;2014;1.93100667368208;999;i
LB;egfcari999;p0p100;2015;1.40956379039585;999;i
LB;egfcari999;p0p100;2016;1.37752824970503;999;i
LB;egfcari999;p0p100;2017;1.40155490522315;999;i
LB;egfcari999;p0p100;2018;1.36951936453233;999;i
LB;egfcari999;p0p100;2019;1.35667210646456;999;i
LB;egfcari999;p0p100;2020;1.32275530380295;999;i
LB;egfghgi999;p0p100;1980;2.21600170898438;999;i
LB;egfghgi999;p0p100;1981;2.563779296875;999;i
LB;egfghgi999;p0p100;1982;2.60260034179688;999;i
LB;egfghgi999;p0p100;1983;3.13529565429688;999;i
LB;egfghgi999;p0p100;1984;2.50982373046875;999;i
LB;egfghgi999;p0p100;1985;2.11972729492188;999;i
LB;egfghgi999;p0p100;1986;1.92868320027373;999;i
LB;egfghgi999;p0p100;1987;2.10700978811079;999;i
LB;egfghgi999;p0p100;1988;2.1243621440368;999;i
LB;egfghgi999;p0p100;1989;1.84933043936589;999;i
LB;egfghgi999;p0p100;1990;1.35191521674951;999;i
LB;egfghgi999;p0p100;1991;1.22091053310038;999;i
LB;egfghgi999;p0p100;1992;1.1854854621618;999;i
LB;egfghgi999;p0p100;1993;1.29513052274246;999;i
LB;egfghgi999;p0p100;1994;1.36760352116841;999;i
LB;egfghgi999;p0p100;1995;1.52336894717812;999;i
LB;egfghgi999;p0p100;1996;1.70010303879327;999;i
LB;egfghgi999;p0p100;1997;2.43022221131333;999;i
LB;egfghgi999;p0p100;1998;2.24610576364817;999;i
LB;egfghgi999;p0p100;1999;2.1886249278326;999;i
LB;egfghgi999;p0p100;2000;2.0590054171704;999;i
LB;egfghgi999;p0p100;2001;2.26032939595749;999;i
LB;egfghgi999;p0p100;2002;2.24068355424227;999;i
LB;egfghgi999;p0p100;2003;2.50859939687096;999;i
LB;egfghgi999;p0p100;2004;2.20039254941833;999;i
LB;egfghgi999;p0p100;2005;2.13704577019842;999;i
LB;egfghgi999;p0p100;2006;1.97734142218289;999;i
LB;egfghgi999;p0p100;2007;1.77325632377769;999;i
LB;egfghgi999;p0p100;2008;2.07991574498371;999;i
LB;egfghgi999;p0p100;2009;2.38160398079172;999;i
LB;egfghgi999;p0p100;2010;2.33428412920747;999;i
LB;egfghgi999;p0p100;2011;2.24059500675144;999;i
LB;egfghgi999;p0p100;2012;2.32000745368965;999;i
LB;egfghgi999;p0p100;2013;2.2820458108473;999;i
LB;egfghgi999;p0p100;2014;2.33010653675846;999;i
LB;egfghgi999;p0p100;2015;1.76970768121082;999;i
LB;egfghgi999;p0p100;2016;1.78601835108373;999;i
LB;egfghgi999;p0p100;2017;1.8104843558931;999;i
LB;egfghgi999;p0p100;2018;1.78601835108373;999;i
