country;variable;percentile;year;value;age;pop
LC;acomnxi992;p0p100;1976;0;992;i
LC;acomnxi992;p0p100;1977;0;992;i
LC;acomnxi992;p0p100;1978;0;992;i
LC;acomnxi992;p0p100;1979;0;992;i
LC;acomnxi992;p0p100;1980;0;992;i
LC;acomnxi992;p0p100;1981;0;992;i
LC;acomnxi992;p0p100;1982;-80.1;992;i
LC;acomnxi992;p0p100;1983;103.7;992;i
LC;acomnxi992;p0p100;1984;-228;992;i
LC;acomnxi992;p0p100;1985;-216.6;992;i
LC;acomnxi992;p0p100;1986;18.1;992;i
LC;acomnxi992;p0p100;1987;32.9;992;i
LC;acomnxi992;p0p100;1988;181.6;992;i
LC;acomnxi992;p0p100;1989;168.9;992;i
LC;acomnxi992;p0p100;1990;53.8;992;i
LC;acomnxi992;p0p100;1991;19.9;992;i
LC;acomnxi992;p0p100;1992;22.2;992;i
LC;acomnxi992;p0p100;1993;24;992;i
LC;acomnxi992;p0p100;1994;28.7;992;i
LC;acomnxi992;p0p100;1995;17.4;992;i
LC;acomnxi992;p0p100;1996;10.8;992;i
LC;acomnxi992;p0p100;1997;10.6;992;i
LC;acomnxi992;p0p100;1998;9.8;992;i
LC;acomnxi992;p0p100;1999;12.1;992;i
LC;acomnxi992;p0p100;2000;2.4;992;i
LC;acomnxi992;p0p100;2001;3.7;992;i
LC;acomnxi992;p0p100;2002;3.2;992;i
LC;acomnxi992;p0p100;2003;5;992;i
LC;acomnxi992;p0p100;2004;6.8;992;i
LC;acomnxi992;p0p100;2005;8.1;992;i
LC;acomnxi992;p0p100;2006;4.4;992;i
LC;acomnxi992;p0p100;2007;6.5;992;i
LC;acomnxi992;p0p100;2008;7.1;992;i
LC;acomnxi992;p0p100;2009;6.5;992;i
LC;acomnxi992;p0p100;2010;11.1;992;i
LC;acomnxi992;p0p100;2011;10.9;992;i
LC;acomnxi992;p0p100;2012;10.6;992;i
LC;acomnxi992;p0p100;2013;9.9;992;i
LC;acomnxi992;p0p100;2014;-2;992;i
LC;acomnxi992;p0p100;2015;-4;992;i
LC;acomnxi992;p0p100;2016;-19.2;992;i
LC;acomnxi992;p0p100;2017;6.4;992;i
LC;acomnxi992;p0p100;2018;6.4;992;i
LC;acomnxi999;p0p100;1976;0;999;i
LC;acomnxi999;p0p100;1977;0;999;i
LC;acomnxi999;p0p100;1978;0;999;i
LC;acomnxi999;p0p100;1979;0;999;i
LC;acomnxi999;p0p100;1980;0;999;i
LC;acomnxi999;p0p100;1981;0;999;i
LC;acomnxi999;p0p100;1982;-36.5;999;i
LC;acomnxi999;p0p100;1983;48;999;i
LC;acomnxi999;p0p100;1984;-107;999;i
LC;acomnxi999;p0p100;1985;-102.7;999;i
LC;acomnxi999;p0p100;1986;8.8;999;i
LC;acomnxi999;p0p100;1987;16.4;999;i
LC;acomnxi999;p0p100;1988;92.6;999;i
LC;acomnxi999;p0p100;1989;87.6;999;i
LC;acomnxi999;p0p100;1990;28.3;999;i
LC;acomnxi999;p0p100;1991;10.6;999;i
