country;variable;percentile;year;value;age;pop
LI;egfcari999;p0p100;1990;0.044153186909608;999;i
LI;egfcari999;p0p100;1991;0.0436532252241088;999;i
LI;egfcari999;p0p100;1992;0.0433462057169686;999;i
LI;egfcari999;p0p100;1993;0.0431997963596868;999;i
LI;egfcari999;p0p100;1994;0.0422272325552733;999;i
LI;egfcari999;p0p100;1995;0.0412539075527513;999;i
LI;egfcari999;p0p100;1996;0.0410473615275075;999;i
LI;egfcari999;p0p100;1997;0.038330076115308;999;i
LI;egfcari999;p0p100;1998;0.0368951263564637;999;i
LI;egfcari999;p0p100;1999;0.0369566399584238;999;i
LI;egfcari999;p0p100;2000;0.0374840947445437;999;i
LI;egfcari999;p0p100;2001;0.036806490857518;999;i
LI;egfcari999;p0p100;2002;0.0369289809690614;999;i
LI;egfcari999;p0p100;2003;0.0375136994535086;999;i
LI;egfcari999;p0p100;2004;0.0367175671128682;999;i
LI;egfcari999;p0p100;2005;0.0365691791589292;999;i
LI;egfcari999;p0p100;2006;0.0359363142036256;999;i
LI;egfcari999;p0p100;2007;0.0357101772712974;999;i
LI;egfcari999;p0p100;2008;0.0353449214212264;999;i
LI;egfcari999;p0p100;2009;0.0358536904686673;999;i
LI;egfcari999;p0p100;2010;0.0349687054796942;999;i
LI;egfcari999;p0p100;2011;0.034712169098443;999;i
LI;egfcari999;p0p100;2012;0.0340406255222021;999;i
LI;egfcari999;p0p100;2013;0.0341025352005429;999;i
LI;egfcari999;p0p100;2014;0.033067345742292;999;i
LI;egfcari999;p0p100;2015;0.0324542022488497;999;i
LI;egfcari999;p0p100;2016;0.0322078541587772;999;i
LI;egfcari999;p0p100;2017;0.0319615060687048;999;i
LI;egfcari999;p0p100;2018;0.0317151579786324;999;i
LI;egfcari999;p0p100;2019;0.0314688098885601;999;i
LI;egfcari999;p0p100;2020;0.028321928899704;999;i
LI;egfghgi999;p0p100;1980;0.0695479987618143;999;i
LI;egfghgi999;p0p100;1981;0.0690283784835714;999;i
LI;egfghgi999;p0p100;1982;0.0699995417222073;999;i
LI;egfghgi999;p0p100;1983;0.0690792238575262;999;i
LI;egfghgi999;p0p100;1984;0.0679650361792582;999;i
LI;egfghgi999;p0p100;1985;0.0677256286514007;999;i
LI;egfghgi999;p0p100;1986;0.0672159970843789;999;i
LI;egfghgi999;p0p100;1987;0.067120066308367;999;i
LI;egfghgi999;p0p100;1988;0.0661011853188517;999;i
LI;egfghgi999;p0p100;1989;0.0658217470359766;999;i
LI;egfghgi999;p0p100;1990;0.0670297360986045;999;i
LI;egfghgi999;p0p100;1991;0.0663013455494336;999;i
LI;egfghgi999;p0p100;1992;0.0659304058286315;999;i
LI;egfghgi999;p0p100;1993;0.0658357780172154;999;i
LI;egfghgi999;p0p100;1994;0.0648491305926252;999;i
LI;egfghgi999;p0p100;1995;0.0634379729180242;999;i
LI;egfghgi999;p0p100;1996;0.0632745847392112;999;i
LI;egfghgi999;p0p100;1997;0.0596149570456699;999;i
LI;egfghgi999;p0p100;1998;0.0578656698742502;999;i
LI;egfghgi999;p0p100;1999;0.0580540408993658;999;i
LI;egfghgi999;p0p100;2000;0.0588780145710561;999;i
LI;egfghgi999;p0p100;2001;0.0577447559160335;999;i
LI;egfghgi999;p0p100;2002;0.0578961744358075;999;i
LI;egfghgi999;p0p100;2003;0.0584449835666485;999;i
LI;egfghgi999;p0p100;2004;0.0571075256931063;999;i
LI;egfghgi999;p0p100;2005;0.0566668736012;999;i
LI;egfghgi999;p0p100;2006;0.0555817610458662;999;i
LI;egfghgi999;p0p100;2007;0.0551160260056872;999;i
LI;egfghgi999;p0p100;2008;0.0544585777848563;999;i
LI;egfghgi999;p0p100;2009;0.0552925116203397;999;i
LI;egfghgi999;p0p100;2010;0.0539269479012632;999;i
LI;egfghgi999;p0p100;2011;0.0535993620413697;999;i
LI;egfghgi999;p0p100;2012;0.0525734418722366;999;i
LI;egfghgi999;p0p100;2013;0.0525678417575134;999;i
LI;egfghgi999;p0p100;2014;0.0507357970696463;999;i
LI;egfghgi999;p0p100;2015;0.0498071241486424;999;i
LI;egfghgi999;p0p100;2016;0.0494290563159488;999;i
