country;variable;percentile;year;value;age;pop
LS;egfcari999;p0p100;1990;0.215019570804226;999;i
LS;egfcari999;p0p100;1991;0.228098686515483;999;i
LS;egfcari999;p0p100;1992;0.222759413316404;999;i
LS;egfcari999;p0p100;1993;0.209724875616279;999;i
LS;egfcari999;p0p100;1994;0.204429077289157;999;i
LS;egfcari999;p0p100;1995;0.209792385310772;999;i
LS;egfcari999;p0p100;1996;0.22028287364039;999;i
LS;egfcari999;p0p100;1997;0.21170109409448;999;i
LS;egfcari999;p0p100;1998;0.25251316673212;999;i
LS;egfcari999;p0p100;1999;0.248816198167231;999;i
LS;egfcari999;p0p100;2000;0.223026334815184;999;i
LS;egfcari999;p0p100;2001;0.241948961669501;999;i
LS;egfcari999;p0p100;2002;0.252527794950867;999;i
LS;egfcari999;p0p100;2003;0.292460647102817;999;i
LS;egfcari999;p0p100;2004;0.316849130276888;999;i
LS;egfcari999;p0p100;2005;0.329255963025094;999;i
LS;egfcari999;p0p100;2006;0.340555726645767;999;i
LS;egfcari999;p0p100;2007;0.364064764164251;999;i
LS;egfcari999;p0p100;2008;0.3969655683798;999;i
LS;egfcari999;p0p100;2009;0.479213739475962;999;i
LS;egfcari999;p0p100;2010;0.550818481902367;999;i
LS;egfcari999;p0p100;2011;0.553277933414946;999;i
LS;egfcari999;p0p100;2012;0.575773383659256;999;i
LS;egfcari999;p0p100;2013;0.595628827151516;999;i
LS;egfcari999;p0p100;2014;0.596151760332294;999;i
LS;egfcari999;p0p100;2015;0.588365864730965;999;i
LS;egfcari999;p0p100;2016;0.597631468899957;999;i
LS;egfcari999;p0p100;2017;0.639326687660419;999;i
LS;egfcari999;p0p100;2018;0.625428281406932;999;i
LS;egfcari999;p0p100;2019;0.638724124256254;999;i
LS;egfcari999;p0p100;2020;0.622756021149848;999;i
LS;egfghgi999;p0p100;1980;0.350773315429687;999;i
LS;egfghgi999;p0p100;1981;0.335835754394531;999;i
LS;egfghgi999;p0p100;1982;0.318959197998047;999;i
LS;egfghgi999;p0p100;1983;0.315310302734375;999;i
LS;egfghgi999;p0p100;1984;0.304782531738281;999;i
LS;egfghgi999;p0p100;1985;0.324959533691406;999;i
LS;egfghgi999;p0p100;1986;0.341010975084476;999;i
LS;egfghgi999;p0p100;1987;0.358828747759887;999;i
LS;egfghgi999;p0p100;1988;0.364245051599705;999;i
LS;egfghgi999;p0p100;1989;0.356130570718093;999;i
LS;egfghgi999;p0p100;1990;0.397679045937618;999;i
LS;egfghgi999;p0p100;1991;0.417240052094268;999;i
LS;egfghgi999;p0p100;1992;0.420551013440424;999;i
LS;egfghgi999;p0p100;1993;0.399770904214115;999;i
LS;egfghgi999;p0p100;1994;0.400230004041574;999;i
LS;egfghgi999;p0p100;1995;0.403652479064712;999;i
LS;egfghgi999;p0p100;1996;0.42064529273745;999;i
LS;egfghgi999;p0p100;1997;0.434818012198371;999;i
LS;egfghgi999;p0p100;1998;0.479350808956617;999;i
LS;egfghgi999;p0p100;1999;0.532955935713058;999;i
LS;egfghgi999;p0p100;2000;0.47207724726594;999;i
LS;egfghgi999;p0p100;2001;0.507493394374643;999;i
LS;egfghgi999;p0p100;2002;0.502536987208182;999;i
LS;egfghgi999;p0p100;2003;0.572203159955798;999;i
LS;egfghgi999;p0p100;2004;0.602440659150042;999;i
