country;variable;percentile;year;value;age;pop
LY;egfcari999;p0p100;1990;4.16828604935856;999;i
LY;egfcari999;p0p100;1991;5.22570407138072;999;i
LY;egfcari999;p0p100;1992;4.59753812112116;999;i
LY;egfcari999;p0p100;1993;4.45374243628299;999;i
LY;egfcari999;p0p100;1994;4.81657076917825;999;i
LY;egfcari999;p0p100;1995;4.66497346258723;999;i
LY;egfcari999;p0p100;1996;4.66616820399117;999;i
LY;egfcari999;p0p100;1997;4.41611754437464;999;i
LY;egfcari999;p0p100;1998;4.27567108827399;999;i
LY;egfcari999;p0p100;1999;4.0883452482085;999;i
LY;egfcari999;p0p100;2000;3.76514641853005;999;i
LY;egfcari999;p0p100;2001;3.90981663138442;999;i
LY;egfcari999;p0p100;2002;3.55698219046167;999;i
LY;egfcari999;p0p100;2003;2.3879630981288;999;i
LY;egfcari999;p0p100;2004;1.92836663925381;999;i
LY;egfcari999;p0p100;2005;1.99011149597964;999;i
LY;egfcari999;p0p100;2006;2.16715031856735;999;i
LY;egfcari999;p0p100;2007;1.87134680784019;999;i
LY;egfcari999;p0p100;2008;2.24150306303087;999;i
LY;egfcari999;p0p100;2009;2.36547499860382;999;i
LY;egfcari999;p0p100;2010;2.55142258678089;999;i
LY;egfcari999;p0p100;2011;2.41632455229846;999;i
LY;egfcari999;p0p100;2012;2.93918372927277;999;i
LY;egfcari999;p0p100;2013;4.34789098359849;999;i
LY;egfcari999;p0p100;2014;4.5229732734948;999;i
LY;egfcari999;p0p100;2015;4.24438913607985;999;i
LY;egfcari999;p0p100;2016;4.01672075330162;999;i
LY;egfcari999;p0p100;2017;4.42327143683417;999;i
LY;egfcari999;p0p100;2018;3.78905237052339;999;i
LY;egfcari999;p0p100;2019;3.66804566792058;999;i
LY;egfcari999;p0p100;2020;3.57634452622256;999;i
LY;egfghgi999;p0p100;1980;11.6535322265625;999;i
LY;egfghgi999;p0p100;1981;9.7586279296875;999;i
LY;egfghgi999;p0p100;1982;10.4025732421875;999;i
LY;egfghgi999;p0p100;1983;8.8995068359375;999;i
LY;egfghgi999;p0p100;1984;7.30606640625;999;i
LY;egfghgi999;p0p100;1985;6.7850244140625;999;i
LY;egfghgi999;p0p100;1986;9.64871059324656;999;i
LY;egfghgi999;p0p100;1987;7.93601629742642;999;i
LY;egfghgi999;p0p100;1988;8.98625720543471;999;i
LY;egfghgi999;p0p100;1989;8.14477539497517;999;i
LY;egfghgi999;p0p100;1990;8.12889005014468;999;i
LY;egfghgi999;p0p100;1991;9.52790994938017;999;i
LY;egfghgi999;p0p100;1992;9.31504160525625;999;i
LY;egfghgi999;p0p100;1993;9.22871757123741;999;i
LY;egfghgi999;p0p100;1994;9.55851212080031;999;i
LY;egfghgi999;p0p100;1995;9.1720504753759;999;i
LY;egfghgi999;p0p100;1996;9.1966303905316;999;i
LY;egfghgi999;p0p100;1997;7.71258191178544;999;i
LY;egfghgi999;p0p100;1998;6.88857416955686;999;i
LY;egfghgi999;p0p100;1999;6.28563613251287;999;i
LY;egfghgi999;p0p100;2000;5.6211955175333;999;i
LY;egfghgi999;p0p100;2001;5.65416549299345;999;i
LY;egfghgi999;p0p100;2002;5.12283687445368;999;i
LY;egfghgi999;p0p100;2003;3.57057260121204;999;i
LY;egfghgi999;p0p100;2004;2.84561546351224;999;i
LY;egfghgi999;p0p100;2005;2.9896130890719;999;i
LY;egfghgi999;p0p100;2006;3.25452836338785;999;i
LY;egfghgi999;p0p100;2007;2.82164560826688;999;i
LY;egfghgi999;p0p100;2008;3.29667524423432;999;i
LY;egfghgi999;p0p100;2009;3.37496674736719;999;i
LY;egfghgi999;p0p100;2010;3.6379096194786;999;i
LY;egfghgi999;p0p100;2011;3.38773991247856;999;i
LY;egfghgi999;p0p100;2012;4.20209305378638;999;i
LY;egfghgi999;p0p100;2013;6.13784231371201;999;i
LY;egfghgi999;p0p100;2014;6.34093793868569;999;i
LY;egfghgi999;p0p100;2015;6.11447549210016;999;i
LY;egfghgi999;p0p100;2016;6.26446984039121;999;i
LY;egfghgi999;p0p100;2017;6.63504411263971;999;i
LY;egfghgi999;p0p100;2018;5.87624917422612;999;i
LY;egfghgi999;p0p100;2019;5.68858601554897;999;i
LY;egfghgi999;p0p100;2020;5.54637136516025;999;i
LY;egfghoi999;p0p100;1990;3.96060400078612;999;i
LY;egfghoi999;p0p100;1991;4.30220587799945;999;i
LY;egfghoi999;p0p100;1992;4.71750348413509;999;i
LY;egfghoi999;p0p100;1993;4.77497513495442;999;i
LY;egfghoi999;p0p100;1994;4.74194135162207;999;i
LY;egfghoi999;p0p100;1995;4.50707701278868;999;i
LY;egfghoi999;p0p100;1996;4.53046218654043;999;i
LY;egfghoi999;p0p100;1997;3.2964643674108;999;i
LY;egfghoi999;p0p100;1998;2.61290308128287;999;i
LY;egfghoi999;p0p100;1999;2.19729088430437;999;i
LY;egfghoi999;p0p100;2000;1.85604909900325;999;i
LY;egfghoi999;p0p100;2001;1.74434886160903;999;i
LY;egfghoi999;p0p100;2002;1.565854683992;999;i
LY;egfghoi999;p0p100;2003;1.18260950308324;999;i
LY;egfghoi999;p0p100;2004;0.917248824258431;999;i
LY;egfghoi999;p0p100;2005;0.999501593092264;999;i
LY;egfghoi999;p0p100;2006;1.0873780448205;999;i
LY;egfghoi999;p0p100;2007;0.950298800426687;999;i
LY;egfghoi999;p0p100;2008;1.05517218120345;999;i
LY;egfghoi999;p0p100;2009;1.00949174876337;999;i
LY;egfghoi999;p0p100;2010;1.08648703269771;999;i
LY;egfghoi999;p0p100;2011;0.971415360180102;999;i
LY;egfghoi999;p0p100;2012;1.26290932451362;999;i
LY;egfghoi999;p0p100;2013;1.78995133011352;999;i
LY;egfghoi999;p0p100;2014;1.8179646651909;999;i
LY;egfghoi999;p0p100;2015;1.87008635602031;999;i
LY;egfghoi999;p0p100;2016;2.2477490870896;999;i
LY;egfghoi999;p0p100;2017;2.21177267580554;999;i
LY;egfghoi999;p0p100;2018;2.08719680370274;999;i
LY;egfghoi999;p0p100;2019;2.02054034762839;999;i
LY;egfghoi999;p0p100;2020;1.97002683893768;999;i
LY;ehfghgi999;p0p100;1980;36.9863671875;999;i
LY;ehfghgi999;p0p100;1981;31.749072265625;999;i
LY;ehfghgi999;p0p100;1982;33.01266015625;999;i
LY;ehfghgi999;p0p100;1983;29.467109375;999;i
LY;ehfghgi999;p0p100;1984;25.94124609375;999;i
