country;variable;percentile;year;value;age;pop
ML;egfcari999;p0p100;1990;0.188881694515254;999;i
ML;egfcari999;p0p100;1991;0.190507720240572;999;i
ML;egfcari999;p0p100;1992;0.194571006578134;999;i
ML;egfcari999;p0p100;1993;0.222970258962731;999;i
ML;egfcari999;p0p100;1994;0.207086085244152;999;i
ML;egfcari999;p0p100;1995;0.204336753381241;999;i
ML;egfcari999;p0p100;1996;0.203889262767944;999;i
ML;egfcari999;p0p100;1997;0.185477258969774;999;i
ML;egfcari999;p0p100;1998;0.211969150197608;999;i
ML;egfcari999;p0p100;1999;0.213031328879009;999;i
ML;egfcari999;p0p100;2000;0.194297895495905;999;i
ML;egfcari999;p0p100;2001;0.231729630063448;999;i
ML;egfcari999;p0p100;2002;0.248795177220906;999;i
ML;egfcari999;p0p100;2003;0.302418148940778;999;i
ML;egfcari999;p0p100;2004;0.33530793599267;999;i
ML;egfcari999;p0p100;2005;0.354559166673714;999;i
ML;egfcari999;p0p100;2006;0.386329956408631;999;i
ML;egfcari999;p0p100;2007;0.425729429888707;999;i
ML;egfcari999;p0p100;2008;0.4657689291075;999;i
ML;egfcari999;p0p100;2009;0.39934732611482;999;i
ML;egfcari999;p0p100;2010;0.477729343535003;999;i
ML;egfcari999;p0p100;2011;0.512655277798743;999;i
ML;egfcari999;p0p100;2012;0.484248635608788;999;i
ML;egfcari999;p0p100;2013;0.509085717652511;999;i
ML;egfcari999;p0p100;2014;0.630020140967953;999;i
ML;egfcari999;p0p100;2015;0.60265029196708;999;i
ML;egfcari999;p0p100;2016;0.635631153716522;999;i
ML;egfcari999;p0p100;2017;0.694097226817806;999;i
ML;egfcari999;p0p100;2018;0.727078088567248;999;i
ML;egfcari999;p0p100;2019;0.774150020493537;999;i
ML;egfcari999;p0p100;2020;0.754796269981199;999;i
ML;egfghgi999;p0p100;1980;1.04925378417969;999;i
ML;egfghgi999;p0p100;1981;1.16652319335937;999;i
ML;egfghgi999;p0p100;1982;1.25276293945313;999;i
ML;egfghgi999;p0p100;1983;1.1537041015625;999;i
ML;egfghgi999;p0p100;1984;1.09895349121094;999;i
ML;egfghgi999;p0p100;1985;1.10194873046875;999;i
ML;egfghgi999;p0p100;1986;1.10704202433458;999;i
ML;egfghgi999;p0p100;1987;1.08724263882036;999;i
ML;egfghgi999;p0p100;1988;1.07703688531376;999;i
ML;egfghgi999;p0p100;1989;1.10374184491202;999;i
ML;egfghgi999;p0p100;1990;1.17608877866941;999;i
ML;egfghgi999;p0p100;1991;1.15263378490509;999;i
ML;egfghgi999;p0p100;1992;1.19457704061631;999;i
ML;egfghgi999;p0p100;1993;1.41181467349662;999;i
ML;egfghgi999;p0p100;1994;1.34997949640446;999;i
ML;egfghgi999;p0p100;1995;1.3260634453913;999;i
ML;egfghgi999;p0p100;1996;1.36620817913132;999;i
ML;egfghgi999;p0p100;1997;1.30762690733572;999;i
ML;egfghgi999;p0p100;1998;1.26204244417377;999;i
ML;egfghgi999;p0p100;1999;1.34243783114287;999;i
ML;egfghgi999;p0p100;2000;1.26198136502299;999;i
ML;egfghgi999;p0p100;2001;1.85858105353501;999;i
ML;egfghgi999;p0p100;2002;2.32557313417894;999;i
ML;egfghgi999;p0p100;2003;3.0292358150806;999;i
ML;egfghgi999;p0p100;2004;3.92325927159927;999;i
ML;egfghgi999;p0p100;2005;4.232876650868;999;i
ML;egfghgi999;p0p100;2006;4.75521676972678;999;i
ML;egfghgi999;p0p100;2007;5.18313041906248;999;i
ML;egfghgi999;p0p100;2008;6.09909923145931;999;i
ML;egfghgi999;p0p100;2009;6.36911050809409;999;i
ML;egfghgi999;p0p100;2010;7.45233263347428;999;i
ML;egfghgi999;p0p100;2011;7.38724882128435;999;i
ML;egfghgi999;p0p100;2012;7.37492944526846;999;i
ML;egfghgi999;p0p100;2013;7.69140247665831;999;i
ML;egfghgi999;p0p100;2014;7.60341075976735;999;i
ML;egfghgi999;p0p100;2015;7.52406763353482;999;i
ML;egfghgi999;p0p100;2016;8.36686092365479;999;i
ML;egfghgi999;p0p100;2017;8.4401472967087;999;i
ML;egfghgi999;p0p100;2018;8.63557762485246;999;i
ML;egfghgi999;p0p100;2019;9.1946555677764;999;i
ML;egfghgi999;p0p100;2020;8.96478917858199;999;i
ML;egfghoi999;p0p100;1990;0.98720708415416;999;i
ML;egfghoi999;p0p100;1991;0.962126064664522;999;i
ML;egfghoi999;p0p100;1992;1.00000603403817;999;i
ML;egfghoi999;p0p100;1993;1.18884441453389;999;i
ML;egfghoi999;p0p100;1994;1.14289341116031;999;i
ML;egfghoi999;p0p100;1995;1.12172669201006;999;i
ML;egfghoi999;p0p100;1996;1.16231891636337;999;i
ML;egfghoi999;p0p100;1997;1.12214964836594;999;i
ML;egfghoi999;p0p100;1998;1.05007329397616;999;i
ML;egfghoi999;p0p100;1999;1.12940650226386;999;i
ML;egfghoi999;p0p100;2000;1.06768346952708;999;i
ML;egfghoi999;p0p100;2001;1.62685142347157;999;i
ML;egfghoi999;p0p100;2002;2.07677795695803;999;i
ML;egfghoi999;p0p100;2003;2.72681766613982;999;i
ML;egfghoi999;p0p100;2004;3.5879513356066;999;i
ML;egfghoi999;p0p100;2005;3.87831748419429;999;i
ML;egfghoi999;p0p100;2006;4.36888681331815;999;i
ML;egfghoi999;p0p100;2007;4.75740098917378;999;i
