country;variable;percentile;year;value;age;pop
MO;egfcari999;p0p100;1990;0.220962539739259;999;i
MO;egfcari999;p0p100;1991;0.233456340202425;999;i
MO;egfcari999;p0p100;1992;0.244676776052329;999;i
MO;egfcari999;p0p100;1993;0.260649160905227;999;i
MO;egfcari999;p0p100;1994;0.272237227150669;999;i
MO;egfcari999;p0p100;1995;0.299274735358961;999;i
MO;egfcari999;p0p100;1996;0.337187066496218;999;i
MO;egfcari999;p0p100;1997;0.346941301795091;999;i
MO;egfcari999;p0p100;1998;0.413252368556857;999;i
MO;egfcari999;p0p100;1999;0.428271913140221;999;i
MO;egfcari999;p0p100;2000;0.399300234825292;999;i
MO;egfcari999;p0p100;2001;0.439436379312393;999;i
MO;egfcari999;p0p100;2002;0.449745973646634;999;i
MO;egfcari999;p0p100;2003;0.457353429743823;999;i
MO;egfcari999;p0p100;2004;0.439364059780961;999;i
MO;egfcari999;p0p100;2005;0.454106034214793;999;i
MO;egfcari999;p0p100;2006;0.42695492116361;999;i
MO;egfcari999;p0p100;2007;0.427909824755538;999;i
MO;egfcari999;p0p100;2008;0.447617897393142;999;i
MO;egfcari999;p0p100;2009;0.554232607405607;999;i
MO;egfcari999;p0p100;2010;0.529154919208859;999;i
MO;egfcari999;p0p100;2011;0.495757646960434;999;i
MO;egfcari999;p0p100;2012;0.512591926766583;999;i
MO;egfcari999;p0p100;2013;0.523540665019648;999;i
MO;egfcari999;p0p100;2014;0.502979289856701;999;i
MO;egfcari999;p0p100;2015;0.469294894326976;999;i
MO;egfcari999;p0p100;2016;0.480718538860223;999;i
MO;egfcari999;p0p100;2017;0.492142183393468;999;i
MO;egfcari999;p0p100;2018;0.503565827926715;999;i
MO;egfcari999;p0p100;2019;0.51498947245996;999;i
MO;egfcari999;p0p100;2020;0.478940209387762;999;i
MO;egfghgi999;p0p100;1980;0.0877244746799004;999;i
MO;egfghgi999;p0p100;1981;0.100975209738664;999;i
MO;egfghgi999;p0p100;1982;0.118490395959956;999;i
MO;egfghgi999;p0p100;1983;0.134552684254915;999;i
MO;egfghgi999;p0p100;1984;0.150777562587058;999;i
MO;egfghgi999;p0p100;1985;0.171286624569728;999;i
MO;egfghgi999;p0p100;1986;0.190460112371859;999;i
MO;egfghgi999;p0p100;1987;0.209993464087991;999;i
MO;egfghgi999;p0p100;1988;0.227659627919905;999;i
MO;egfghgi999;p0p100;1989;0.247375983947012;999;i
MO;egfghgi999;p0p100;1990;0.273560706169932;999;i
MO;egfghgi999;p0p100;1991;0.28860092650382;999;i
MO;egfghgi999;p0p100;1992;0.302455511367442;999;i
MO;egfghgi999;p0p100;1993;0.320604987619608;999;i
MO;egfghgi999;p0p100;1994;0.336275801629467;999;i
