country;variable;percentile;year;value;age;pop
NC;acompxi992;p0p100;2002;16344.4;992;i
NC;acompxi992;p0p100;2003;15106.9;992;i
NC;acompxi992;p0p100;2004;12414.9;992;i
NC;acompxi992;p0p100;2005;14190.1;992;i
NC;acompxi992;p0p100;2006;23809.1;992;i
NC;acompxi992;p0p100;2007;22397;992;i
NC;acompxi992;p0p100;2008;28600.4;992;i
NC;acompxi992;p0p100;2009;46650.2;992;i
NC;acompxi992;p0p100;2010;42219.5;992;i
NC;acompxi992;p0p100;2011;41696.9;992;i
NC;acompxi992;p0p100;2012;34181.3;992;i
NC;acompxi992;p0p100;2013;29658.7;992;i
NC;acompxi992;p0p100;2014;18672.1;992;i
NC;acompxi992;p0p100;2015;12752.1;992;i
NC;acompxi992;p0p100;2016;25309;992;i
NC;acomrxi999;p0p100;2002;265191.2;999;i
NC;acomrxi999;p0p100;2003;278261.3;999;i
NC;acomrxi999;p0p100;2004;258939.5;999;i
NC;acomrxi999;p0p100;2005;260816.5;999;i
NC;acomrxi999;p0p100;2006;255643;999;i
NC;acomrxi999;p0p100;2007;190310.8;999;i
NC;acomrxi999;p0p100;2008;203140.9;999;i
NC;acomrxi999;p0p100;2009;199851.6;999;i
NC;acomrxi999;p0p100;2010;188986;999;i
NC;acomrxi999;p0p100;2011;212729.8;999;i
NC;acomrxi999;p0p100;2012;275752.2;999;i
NC;acomrxi999;p0p100;2013;267519.7;999;i
NC;acomrxi999;p0p100;2014;256022;999;i
NC;acomrxi999;p0p100;2015;262324.4;999;i
NC;acomrxi999;p0p100;2016;251121.2;999;i
NC;afdinxi999;p0p100;2002;-14520.1;999;i
NC;afdinxi999;p0p100;2003;-4072.9;999;i
NC;afdinxi999;p0p100;2004;-1267.6;999;i
NC;afdinxi999;p0p100;2005;-19942.4;999;i
NC;afdinxi999;p0p100;2006;-37597.8;999;i
NC;afdinxi999;p0p100;2007;-13751;999;i
NC;afdinxi999;p0p100;2008;-10341;999;i
NC;afdinxi999;p0p100;2009;4060.9;999;i
NC;afdinxi999;p0p100;2010;-7388.2;999;i
NC;afdinxi999;p0p100;2011;-34217.7;999;i
NC;afdinxi999;p0p100;2012;-144575.4;999;i
NC;afdinxi999;p0p100;2013;-114808.7;999;i
NC;afdinxi999;p0p100;2014;-19202.8;999;i
NC;afdinxi999;p0p100;2015;-8904.1;999;i
NC;afdinxi999;p0p100;2016;-8564.4;999;i
NC;afinrxi992;p0p100;2002;465790.7;992;i
NC;afinrxi992;p0p100;2003;481326.7;992;i
NC;afinrxi992;p0p100;2004;451195.8;992;i
NC;afinrxi992;p0p100;2005;486414.5;992;i
NC;afinrxi992;p0p100;2006;450083.3;992;i
NC;afinrxi992;p0p100;2007;359952.7;992;i
NC;afinrxi992;p0p100;2008;406690.3;992;i
NC;afinrxi992;p0p100;2009;375628;992;i
NC;afinrxi992;p0p100;2010;348149.9;992;i
NC;afinrxi992;p0p100;2011;379668.7;992;i
NC;afinrxi992;p0p100;2012;487794.3;992;i
NC;afinrxi992;p0p100;2013;458277.5;992;i
NC;afinrxi992;p0p100;2014;418449.3;992;i
NC;afinrxi992;p0p100;2015;430245.4;992;i
NC;afinrxi992;p0p100;2016;409770.9;992;i
NC;aflcipi992;p0p100;2002;116996.1;992;i
NC;aflcipi992;p0p100;2003;140914.5;992;i
NC;aflcipi992;p0p100;2004;99184.8;992;i
NC;aflcipi992;p0p100;2005;92794.8;992;i
NC;aflcipi992;p0p100;2006;133297.7;992;i
NC;aflcipi992;p0p100;2007;119596.2;992;i
NC;aflcipi992;p0p100;2008;137491.3;992;i
NC;aflcipi992;p0p100;2009;112759.6;992;i
NC;aflcipi992;p0p100;2010;113900.5;992;i
NC;aflcipi992;p0p100;2011;168399.4;992;i
NC;aflcipi992;p0p100;2012;320204.3;992;i
NC;aflcipi992;p0p100;2013;280628.4;992;i
NC;aflcipi992;p0p100;2014;149218.4;992;i
NC;aflcipi992;p0p100;2015;87247.2;992;i
NC;aflcipi992;p0p100;2016;97914.5;992;i
NC;afsubxi999;p0p100;2002;0;999;i
NC;afsubxi999;p0p100;2003;0;999;i
NC;afsubxi999;p0p100;2004;0;999;i
NC;afsubxi999;p0p100;2005;0;999;i
NC;afsubxi999;p0p100;2006;0;999;i
NC;afsubxi999;p0p100;2007;0;999;i
NC;afsubxi999;p0p100;2008;0;999;i
NC;afsubxi999;p0p100;2009;0;999;i
NC;afsubxi999;p0p100;2010;0;999;i
NC;afsubxi999;p0p100;2011;0;999;i
NC;afsubxi999;p0p100;2012;0;999;i
NC;afsubxi999;p0p100;2013;0;999;i
NC;afsubxi999;p0p100;2014;0;999;i
NC;afsubxi999;p0p100;2015;0;999;i
NC;afsubxi999;p0p100;2016;0;999;i
NC;apinnxi992;p0p100;2002;-62793.4;992;i
NC;apinnxi992;p0p100;2003;-91272.1;992;i
NC;apinnxi992;p0p100;2004;-48877.5;992;i
NC;apinnxi992;p0p100;2005;-5780.7;992;i
NC;apinnxi992;p0p100;2006;-59345.5;992;i
NC;apinnxi992;p0p100;2007;-31315.5;992;i
NC;apinnxi992;p0p100;2008;-12599;992;i
NC;apinnxi992;p0p100;2009;7258.6;992;i
NC;apinnxi992;p0p100;2010;-6789;992;i
NC;apinnxi992;p0p100;2011;-65525;992;i
NC;apinnxi992;p0p100;2012;-210175.4;992;i
NC;apinnxi992;p0p100;2013;-191107;992;i
NC;apinnxi992;p0p100;2014;-91825.7;992;i
