country;variable;percentile;year;value;age;pop
NR;afdipxi999;p0p100;2008;0;999;i
NR;afdipxi999;p0p100;2009;0;999;i
NR;afdipxi999;p0p100;2010;0;999;i
NR;afdipxi999;p0p100;2011;0;999;i
NR;afdipxi999;p0p100;2012;0;999;i
NR;afdipxi999;p0p100;2013;0;999;i
NR;afdipxi999;p0p100;2014;0;999;i
NR;afdipxi999;p0p100;2015;0;999;i
NR;afdipxi999;p0p100;2016;0;999;i
NR;afdipxi999;p0p100;2017;0;999;i
NR;afdipxi999;p0p100;2018;0;999;i
NR;aflcini999;p0p100;2008;-99.3;999;i
NR;aflcini999;p0p100;2009;12.7;999;i
NR;aflcini999;p0p100;2010;163.6;999;i
NR;aflcini999;p0p100;2011;197.5;999;i
NR;aflcini999;p0p100;2012;868.7;999;i
NR;aflcini999;p0p100;2013;1352.1;999;i
NR;aflcini999;p0p100;2014;1001.3;999;i
NR;aflcini999;p0p100;2015;1131.8;999;i
NR;aflcini999;p0p100;2016;1045.1;999;i
NR;aflcini999;p0p100;2017;873.9;999;i
NR;aflcini999;p0p100;2018;642.9;999;i
NR;aflcipi999;p0p100;2008;862.6;999;i
NR;aflcipi999;p0p100;2009;570.4;999;i
NR;aflcipi999;p0p100;2010;544.9;999;i
NR;aflcipi999;p0p100;2011;447.5;999;i
NR;aflcipi999;p0p100;2012;372;999;i
NR;aflcipi999;p0p100;2013;403.1;999;i
NR;aflcipi999;p0p100;2014;341.5;999;i
NR;aflcipi999;p0p100;2015;337;999;i
NR;aflcipi999;p0p100;2016;284.5;999;i
NR;aflcipi999;p0p100;2017;267;999;i
NR;aflcipi999;p0p100;2018;248.8;999;i
NR;aftaxxi999;p0p100;2008;0;999;i
NR;aftaxxi999;p0p100;2009;0;999;i
NR;aftaxxi999;p0p100;2010;0;999;i
NR;aftaxxi999;p0p100;2011;0;999;i
NR;aftaxxi999;p0p100;2012;0;999;i
NR;aftaxxi999;p0p100;2013;0;999;i
NR;aftaxxi999;p0p100;2014;0;999;i
NR;aftaxxi999;p0p100;2015;0;999;i
NR;aftaxxi999;p0p100;2016;0;999;i
NR;aftaxxi999;p0p100;2017;0;999;i
NR;aftaxxi999;p0p100;2018;0;999;i
NR;apinnxi999;p0p100;2008;-49;999;i
NR;apinnxi999;p0p100;2009;49.9;999;i
NR;apinnxi999;p0p100;2010;221.7;999;i
NR;apinnxi999;p0p100;2011;220.5;999;i
NR;apinnxi999;p0p100;2012;248.8;999;i
NR;apinnxi999;p0p100;2013;441.2;999;i
NR;apinnxi999;p0p100;2014;-32.5;999;i
NR;apinnxi999;p0p100;2015;-27.2;999;i
NR;apinnxi999;p0p100;2016;-14.1;999;i
NR;apinnxi999;p0p100;2017;-95.7;999;i
NR;apinnxi999;p0p100;2018;-59.6;999;i
NR;aptfopi999;p0p100;2008;779.1;999;i
NR;aptfopi999;p0p100;2009;469.2;999;i
NR;aptfopi999;p0p100;2010;416.8;999;i
NR;aptfopi999;p0p100;2011;307.9;999;i
NR;aptfopi999;p0p100;2012;231.2;999;i
NR;aptfopi999;p0p100;2013;251.5;999;i
NR;aptfopi999;p0p100;2014;213;999;i
NR;aptfopi999;p0p100;2015;231.5;999;i
NR;aptfopi999;p0p100;2016;173;999;i
NR;aptfopi999;p0p100;2017;159.5;999;i
NR;aptfopi999;p0p100;2018;153.6;999;i
NR;aptfori999;p0p100;2008;49.9;999;i
NR;aptfori999;p0p100;2009;15.1;999;i
NR;aptfori999;p0p100;2010;10.4;999;i
NR;aptfori999;p0p100;2011;7.2;999;i
NR;aptfori999;p0p100;2012;18.4;999;i
NR;aptfori999;p0p100;2013;104.1;999;i
NR;aptfori999;p0p100;2014;107.5;999;i
NR;aptfori999;p0p100;2015;104.8;999;i
NR;aptfori999;p0p100;2016;117.2;999;i
NR;aptfori999;p0p100;2017;29.9;999;i
NR;aptfori999;p0p100;2018;54.6;999;i
NR;aptfrxi999;p0p100;2008;49.9;999;i
NR;aptfrxi999;p0p100;2009;15.1;999;i
NR;aptfrxi999;p0p100;2010;10.4;999;i
NR;aptfrxi999;p0p100;2011;7.2;999;i
NR;aptfrxi999;p0p100;2012;18.4;999;i
NR;aptfrxi999;p0p100;2013;104.1;999;i
NR;aptfrxi999;p0p100;2014;107.5;999;i
NR;aptfrxi999;p0p100;2015;104.8;999;i
NR;aptfrxi999;p0p100;2016;117.2;999;i
NR;aptfrxi999;p0p100;2017;29.9;999;i
NR;aptfrxi999;p0p100;2018;54.6;999;i
NR;mcomnxi999;p0p100;2008;-497745;999;i
NR;mcomnxi999;p0p100;2009;-370591;999;i
NR;mcomnxi999;p0p100;2010;-580885;999;i
NR;mcomnxi999;p0p100;2011;-231451;999;i
NR;mcomnxi999;p0p100;2012;6285388;999;i
NR;mcomnxi999;p0p100;2013;9299585;999;i
NR;mcomnxi999;p0p100;2014;10637111;999;i
NR;mcomnxi999;p0p100;2015;12033801;999;i
