country;variable;percentile;year;value;age;pop
NU;npopuli999;p0p100;1950;4667;999;i
NU;npopuli999;p0p100;1951;4678;999;i
NU;npopuli999;p0p100;1952;4684;999;i
NU;npopuli999;p0p100;1953;4686;999;i
NU;npopuli999;p0p100;1954;4685;999;i
NU;npopuli999;p0p100;1955;4694;999;i
NU;npopuli999;p0p100;1956;4700;999;i
NU;npopuli999;p0p100;1957;4719;999;i
NU;npopuli999;p0p100;1958;4750;999;i
NU;npopuli999;p0p100;1959;4788;999;i
NU;npopuli999;p0p100;1960;4826;999;i
NU;npopuli999;p0p100;1961;4875;999;i
NU;npopuli999;p0p100;1962;4931;999;i
NU;npopuli999;p0p100;1963;4983;999;i
NU;npopuli999;p0p100;1964;5045;999;i
NU;npopuli999;p0p100;1965;5098;999;i
NU;npopuli999;p0p100;1966;5151;999;i
NU;npopuli999;p0p100;1967;5208;999;i
NU;npopuli999;p0p100;1968;5237;999;i
NU;npopuli999;p0p100;1969;5218;999;i
NU;npopuli999;p0p100;1970;5135;999;i
NU;npopuli999;p0p100;1971;4964;999;i
NU;npopuli999;p0p100;1972;4724;999;i
NU;npopuli999;p0p100;1973;4449;999;i
NU;npopuli999;p0p100;1974;4191;999;i
NU;npopuli999;p0p100;1975;3976;999;i
NU;npopuli999;p0p100;1976;3807;999;i
NU;npopuli999;p0p100;1977;3686;999;i
NU;npopuli999;p0p100;1978;3599;999;i
NU;npopuli999;p0p100;1979;3511;999;i
NU;npopuli999;p0p100;1980;3404;999;i
NU;npopuli999;p0p100;1981;3269;999;i
NU;npopuli999;p0p100;1982;3127;999;i
NU;npopuli999;p0p100;1983;2981;999;i
NU;npopuli999;p0p100;1984;2841;999;i
NU;npopuli999;p0p100;1985;2719;999;i
NU;npopuli999;p0p100;1986;2609;999;i
NU;npopuli999;p0p100;1987;2521;999;i
NU;npopuli999;p0p100;1988;2450;999;i
NU;npopuli999;p0p100;1989;2383;999;i
NU;npopuli999;p0p100;1990;2329;999;i
NU;npopuli999;p0p100;1991;2288;999;i
NU;npopuli999;p0p100;1992;2258;999;i
NU;npopuli999;p0p100;1993;2236;999;i
NU;npopuli999;p0p100;1994;2205;999;i
NU;npopuli999;p0p100;1995;2165;999;i
NU;npopuli999;p0p100;1996;2124;999;i
NU;npopuli999;p0p100;1997;2067;999;i
NU;npopuli999;p0p100;1998;2010;999;i
NU;npopuli999;p0p100;1999;1956;999;i
NU;npopuli999;p0p100;2000;1899;999;i
NU;npopuli999;p0p100;2001;1854;999;i
NU;npopuli999;p0p100;2002;1791;999;i
NU;npopuli999;p0p100;2003;1755;999;i
NU;npopuli999;p0p100;2004;1715;999;i
NU;npopuli999;p0p100;2005;1683;999;i
NU;npopuli999;p0p100;2006;1661;999;i
NU;npopuli999;p0p100;2007;1643;999;i
NU;npopuli999;p0p100;2008;1635;999;i
NU;npopuli999;p0p100;2009;1628;999;i
NU;npopuli999;p0p100;2010;1618;999;i
NU;npopuli999;p0p100;2011;1620;999;i
NU;npopuli999;p0p100;2012;1610;999;i
NU;npopuli999;p0p100;2013;1612;999;i
NU;npopuli999;p0p100;2014;1609;999;i
NU;npopuli999;p0p100;2015;1619;999;i
NU;npopuli999;p0p100;2016;1614;999;i
NU;npopuli999;p0p100;2017;1609;999;i
NU;npopuli999;p0p100;2018;1620;999;i
NU;npopuli999;p0p100;2019;1615;999;i
NU;npopuli999;p0p100;2020;1626;999;i
NU;npopuli999;p0p100;2021;1619;999;i
