country;variable;percentile;year;value;age;pop
OB-MER;aptincj992;p0p1;1980;-9940.8;992;j
OB-MER;aptincj992;p0p1;1981;-11484.5;992;j
OB-MER;aptincj992;p0p1;1982;-8113.3;992;j
OB-MER;aptincj992;p0p1;1983;-6212.6;992;j
OB-MER;aptincj992;p0p1;1984;-10482.3;992;j
OB-MER;aptincj992;p0p1;1985;-14651.1;992;j
OB-MER;aptincj992;p0p1;1986;0;992;j
OB-MER;aptincj992;p0p1;1987;0;992;j
OB-MER;aptincj992;p0p1;1988;0;992;j
OB-MER;aptincj992;p0p1;1989;0;992;j
OB-MER;aptincj992;p0p1;1990;0;992;j
OB-MER;aptincj992;p0p1;1991;0;992;j
OB-MER;aptincj992;p0p1;1992;0;992;j
OB-MER;aptincj992;p0p1;1993;0;992;j
OB-MER;aptincj992;p0p1;1994;0;992;j
OB-MER;aptincj992;p0p1;1995;-7651.7;992;j
OB-MER;aptincj992;p0p1;1996;-3704.5;992;j
OB-MER;aptincj992;p0p1;1997;-4431.9;992;j
OB-MER;aptincj992;p0p1;1998;-4835.5;992;j
OB-MER;aptincj992;p0p1;1999;-5170.1;992;j
OB-MER;aptincj992;p0p1;2000;-4277.6;992;j
OB-MER;aptincj992;p0p1;2001;-8080.5;992;j
OB-MER;aptincj992;p0p1;2002;-10945;992;j
OB-MER;aptincj992;p0p1;2003;-18334;992;j
OB-MER;aptincj992;p0p1;2004;-24242.3;992;j
OB-MER;aptincj992;p0p1;2005;-8671.1;992;j
OB-MER;aptincj992;p0p1;2006;0;992;j
OB-MER;aptincj992;p0p1;2007;0;992;j
OB-MER;aptincj992;p0p1;2008;0;992;j
OB-MER;aptincj992;p0p1;2009;0;992;j
OB-MER;aptincj992;p0p1;2010;0;992;j
OB-MER;aptincj992;p0p1;2011;0;992;j
OB-MER;aptincj992;p0p1;2012;0;992;j
OB-MER;aptincj992;p0p1;2013;0;992;j
OB-MER;aptincj992;p0p1;2014;0;992;j
OB-MER;aptincj992;p0p1;2015;0;992;j
OB-MER;aptincj992;p0p1;2016;0;992;j
OB-MER;aptincj992;p0p1;2017;0;992;j
OB-MER;aptincj992;p0p1;2018;0;992;j
OB-MER;aptincj992;p0p1;2019;0;992;j
OB-MER;aptincj992;p0p1;2020;0;992;j
OB-MER;aptincj992;p0p1;2021;0;992;j
OB-MER;aptincj992;p0p100;1980;4914;992;j
OB-MER;aptincj992;p0p100;1981;4998.4;992;j
OB-MER;aptincj992;p0p100;1982;5169.8;992;j
OB-MER;aptincj992;p0p100;1983;5636.3;992;j
OB-MER;aptincj992;p0p100;1984;6025.2;992;j
OB-MER;aptincj992;p0p100;1985;6199.4;992;j
OB-MER;aptincj992;p0p100;1986;6667.9;992;j
OB-MER;aptincj992;p0p100;1987;7353;992;j
OB-MER;aptincj992;p0p100;1988;7908.8;992;j
OB-MER;aptincj992;p0p100;1989;8300.8;992;j
OB-MER;aptincj992;p0p100;1990;8707.8;992;j
OB-MER;aptincj992;p0p100;1991;9326.4;992;j
OB-MER;aptincj992;p0p100;1992;9635.3;992;j
OB-MER;aptincj992;p0p100;1993;10045.7;992;j
OB-MER;aptincj992;p0p100;1994;10718.1;992;j
OB-MER;aptincj992;p0p100;1995;11329.3;992;j
OB-MER;aptincj992;p0p100;1996;11782.4;992;j
OB-MER;aptincj992;p0p100;1997;12251.4;992;j
OB-MER;aptincj992;p0p100;1998;11463.5;992;j
OB-MER;aptincj992;p0p100;1999;12477.3;992;j
OB-MER;aptincj992;p0p100;2000;13411.4;992;j
OB-MER;aptincj992;p0p100;2001;13622.8;992;j
OB-MER;aptincj992;p0p100;2002;14301.8;992;j
OB-MER;aptincj992;p0p100;2003;14562.9;992;j
OB-MER;aptincj992;p0p100;2004;14995.4;992;j
OB-MER;aptincj992;p0p100;2005;15492.9;992;j
OB-MER;aptincj992;p0p100;2006;16079.8;992;j
OB-MER;aptincj992;p0p100;2007;17158.9;992;j
OB-MER;aptincj992;p0p100;2008;17089.5;992;j
OB-MER;aptincj992;p0p100;2009;16684.8;992;j
OB-MER;aptincj992;p0p100;2010;17895.5;992;j
OB-MER;aptincj992;p0p100;2011;18375.1;992;j
OB-MER;aptincj992;p0p100;2012;18601;992;j
OB-MER;aptincj992;p0p100;2013;18909;992;j
OB-MER;aptincj992;p0p100;2014;19440.2;992;j
OB-MER;aptincj992;p0p100;2015;19636.2;992;j
OB-MER;aptincj992;p0p100;2016;19974.1;992;j
OB-MER;aptincj992;p0p100;2017;20377.7;992;j
OB-MER;aptincj992;p0p100;2018;20789.4;992;j
OB-MER;aptincj992;p0p100;2019;21254.9;992;j
OB-MER;aptincj992;p0p100;2020;20952.3;992;j
OB-MER;aptincj992;p0p100;2021;21911.2;992;j
OB-MER;aptincj992;p0p50;1980;717.8;992;j
OB-MER;aptincj992;p0p50;1981;697.6;992;j
OB-MER;aptincj992;p0p50;1982;791.6;992;j
OB-MER;aptincj992;p0p50;1983;943.9;992;j
OB-MER;aptincj992;p0p50;1984;894.4;992;j
OB-MER;aptincj992;p0p50;1985;822.3;992;j
OB-MER;aptincj992;p0p50;1986;1314.1;992;j
OB-MER;aptincj992;p0p50;1987;1424.2;992;j
OB-MER;aptincj992;p0p50;1988;1513.1;992;j
OB-MER;aptincj992;p0p50;1989;1545.3;992;j
OB-MER;aptincj992;p0p50;1990;1591.9;992;j
OB-MER;aptincj992;p0p50;1991;1667.5;992;j
OB-MER;aptincj992;p0p50;1992;1702.3;992;j
OB-MER;aptincj992;p0p50;1993;1733.3;992;j
OB-MER;aptincj992;p0p50;1994;1823.9;992;j
OB-MER;aptincj992;p0p50;1995;1637.9;992;j
OB-MER;aptincj992;p0p50;1996;1856;992;j
OB-MER;aptincj992;p0p50;1997;1903;992;j
OB-MER;aptincj992;p0p50;1998;1719.1;992;j
OB-MER;aptincj992;p0p50;1999;1924.8;992;j
OB-MER;aptincj992;p0p50;2000;2011.6;992;j
OB-MER;aptincj992;p0p50;2001;1822.5;992;j
OB-MER;aptincj992;p0p50;2002;1852.5;992;j
OB-MER;aptincj992;p0p50;2003;1717.2;992;j
OB-MER;aptincj992;p0p50;2004;1606;992;j
OB-MER;aptincj992;p0p50;2005;1980.7;992;j
OB-MER;aptincj992;p0p50;2006;2382.5;992;j
OB-MER;aptincj992;p0p50;2007;2514.3;992;j
OB-MER;aptincj992;p0p50;2008;2479.5;992;j
OB-MER;aptincj992;p0p50;2009;2426;992;j
OB-MER;aptincj992;p0p50;2010;2578.1;992;j
OB-MER;aptincj992;p0p50;2011;2660.7;992;j
OB-MER;aptincj992;p0p50;2012;2877.3;992;j
OB-MER;aptincj992;p0p50;2013;2922.6;992;j
OB-MER;aptincj992;p0p50;2014;2977.7;992;j
OB-MER;aptincj992;p0p50;2015;3032;992;j
OB-MER;aptincj992;p0p50;2016;3039.1;992;j
OB-MER;aptincj992;p0p50;2017;3212.9;992;j
OB-MER;aptincj992;p0p50;2018;3296.6;992;j
OB-MER;aptincj992;p0p50;2019;3368.4;992;j
OB-MER;aptincj992;p0p50;2020;3355.8;992;j
OB-MER;aptincj992;p0p50;2021;3891.6;992;j
OB-MER;aptincj992;p10p100;1980;5568.8;992;j
OB-MER;aptincj992;p10p100;1981;5679.7;992;j
OB-MER;aptincj992;p10p100;1982;5832.4;992;j
OB-MER;aptincj992;p10p100;1983;6329.5;992;j
OB-MER;aptincj992;p10p100;1984;6809.3;992;j
OB-MER;aptincj992;p10p100;1985;7049.2;992;j
OB-MER;aptincj992;p10p100;1986;7406.1;992;j
OB-MER;aptincj992;p10p100;1987;8167.4;992;j
OB-MER;aptincj992;p10p100;1988;8784.9;992;j
OB-MER;aptincj992;p10p100;1989;9220.5;992;j
OB-MER;aptincj992;p10p100;1990;9673.1;992;j
OB-MER;aptincj992;p10p100;1991;10360.7;992;j
OB-MER;aptincj992;p10p100;1992;10704.1;992;j
OB-MER;aptincj992;p10p100;1993;11160.3;992;j
OB-MER;aptincj992;p10p100;1994;11907.5;992;j
OB-MER;aptincj992;p10p100;1995;12671.9;992;j
OB-MER;aptincj992;p10p100;1996;13131.3;992;j
OB-MER;aptincj992;p10p100;1997;13660.7;992;j
OB-MER;aptincj992;p10p100;1998;12789.8;992;j
OB-MER;aptincj992;p10p100;1999;13919.8;992;j
OB-MER;aptincj992;p10p100;2000;14947.9;992;j
OB-MER;aptincj992;p10p100;2001;15225.3;992;j
OB-MER;aptincj992;p10p100;2002;16011.6;992;j
OB-MER;aptincj992;p10p100;2003;16383.8;992;j
OB-MER;aptincj992;p10p100;2004;16929.9;992;j
OB-MER;aptincj992;p10p100;2005;17309.7;992;j
OB-MER;aptincj992;p10p100;2006;17865.3;992;j
OB-MER;aptincj992;p10p100;2007;19064.3;992;j
OB-MER;aptincj992;p10p100;2008;18987.2;992;j
OB-MER;aptincj992;p10p100;2009;18537.6;992;j
OB-MER;aptincj992;p10p100;2010;19882.9;992;j
OB-MER;aptincj992;p10p100;2011;20415.7;992;j
OB-MER;aptincj992;p10p100;2012;20666.7;992;j
OB-MER;aptincj992;p10p100;2013;21008.9;992;j
OB-MER;aptincj992;p10p100;2014;21599.1;992;j
OB-MER;aptincj992;p10p100;2015;21816.9;992;j
OB-MER;aptincj992;p10p100;2016;22192.3;992;j
OB-MER;aptincj992;p10p100;2017;22640.8;992;j
OB-MER;aptincj992;p10p100;2018;23098.3;992;j
OB-MER;aptincj992;p10p100;2019;23615.6;992;j
OB-MER;aptincj992;p10p100;2020;23279.1;992;j
OB-MER;aptincj992;p10p100;2021;24344.6;992;j
OB-MER;aptincj992;p10p11;1980;70.2;992;j
OB-MER;aptincj992;p10p11;1981;70.6;992;j
OB-MER;aptincj992;p10p11;1982;74.5;992;j
OB-MER;aptincj992;p10p11;1983;75.8;992;j
OB-MER;aptincj992;p10p11;1984;73.8;992;j
OB-MER;aptincj992;p10p11;1985;74.3;992;j
OB-MER;aptincj992;p10p11;1986;81.1;992;j
OB-MER;aptincj992;p10p11;1987;79.6;992;j
OB-MER;aptincj992;p10p11;1988;78.7;992;j
OB-MER;aptincj992;p10p11;1989;77.1;992;j
OB-MER;aptincj992;p10p11;1990;70.7;992;j
OB-MER;aptincj992;p10p11;1991;63.1;992;j
OB-MER;aptincj992;p10p11;1992;55.3;992;j
OB-MER;aptincj992;p10p11;1993;50.1;992;j
OB-MER;aptincj992;p10p11;1994;47.4;992;j
OB-MER;aptincj992;p10p11;1995;42.1;992;j
OB-MER;aptincj992;p10p11;1996;43.2;992;j
