country;variable;percentile;year;value;age;pop
OB;aptincj992;p0p1;1980;-9812.8;992;j
OB;aptincj992;p0p1;1981;-11519.4;992;j
OB;aptincj992;p0p1;1982;-10278.7;992;j
OB;aptincj992;p0p1;1983;-10136.4;992;j
OB;aptincj992;p0p1;1984;-10420.5;992;j
OB;aptincj992;p0p1;1985;-14433.4;992;j
OB;aptincj992;p0p1;1986;0;992;j
OB;aptincj992;p0p1;1987;0;992;j
OB;aptincj992;p0p1;1988;0;992;j
OB;aptincj992;p0p1;1989;0;992;j
OB;aptincj992;p0p1;1990;0;992;j
OB;aptincj992;p0p1;1991;0;992;j
OB;aptincj992;p0p1;1992;0;992;j
OB;aptincj992;p0p1;1993;0;992;j
OB;aptincj992;p0p1;1994;0;992;j
OB;aptincj992;p0p1;1995;-9691.2;992;j
OB;aptincj992;p0p1;1996;-5521.4;992;j
OB;aptincj992;p0p1;1997;-5753;992;j
OB;aptincj992;p0p1;1998;-7206.9;992;j
OB;aptincj992;p0p1;1999;-6194.5;992;j
OB;aptincj992;p0p1;2000;-3748.6;992;j
OB;aptincj992;p0p1;2001;-7415.5;992;j
OB;aptincj992;p0p1;2002;-14901.7;992;j
OB;aptincj992;p0p1;2003;-18985.4;992;j
OB;aptincj992;p0p1;2004;-22056.3;992;j
OB;aptincj992;p0p1;2005;-12682;992;j
OB;aptincj992;p0p1;2006;0;992;j
OB;aptincj992;p0p1;2007;0;992;j
OB;aptincj992;p0p1;2008;0;992;j
OB;aptincj992;p0p1;2009;0;992;j
OB;aptincj992;p0p1;2010;0;992;j
OB;aptincj992;p0p1;2011;0;992;j
OB;aptincj992;p0p1;2012;0;992;j
OB;aptincj992;p0p1;2013;0;992;j
OB;aptincj992;p0p1;2014;0;992;j
OB;aptincj992;p0p1;2015;0;992;j
OB;aptincj992;p0p1;2016;0;992;j
OB;aptincj992;p0p1;2017;0;992;j
OB;aptincj992;p0p1;2018;0;992;j
OB;aptincj992;p0p1;2019;0;992;j
OB;aptincj992;p0p1;2020;0;992;j
OB;aptincj992;p0p1;2021;0;992;j
OB;aptincj992;p0p100;1980;7395.3;992;j
