country;variable;percentile;year;value;age;pop
OC;aptincj992;p0p1;1980;0;992;j
OC;aptincj992;p0p1;1981;0;992;j
OC;aptincj992;p0p1;1982;0;992;j
OC;aptincj992;p0p1;1983;0;992;j
OC;aptincj992;p0p1;1984;0;992;j
OC;aptincj992;p0p1;1985;0;992;j
OC;aptincj992;p0p1;1986;0;992;j
OC;aptincj992;p0p1;1987;0;992;j
OC;aptincj992;p0p1;1988;0;992;j
OC;aptincj992;p0p1;1989;0;992;j
OC;aptincj992;p0p1;1990;0;992;j
OC;aptincj992;p0p1;1991;0;992;j
OC;aptincj992;p0p1;1992;0;992;j
OC;aptincj992;p0p1;1993;0;992;j
OC;aptincj992;p0p1;1994;0;992;j
OC;aptincj992;p0p1;1995;0;992;j
OC;aptincj992;p0p1;1996;0;992;j
OC;aptincj992;p0p1;1997;0;992;j
OC;aptincj992;p0p1;1998;0;992;j
OC;aptincj992;p0p1;1999;0;992;j
OC;aptincj992;p0p1;2000;0;992;j
OC;aptincj992;p0p1;2001;0;992;j
OC;aptincj992;p0p1;2002;0;992;j
OC;aptincj992;p0p1;2003;0;992;j
OC;aptincj992;p0p1;2004;0;992;j
OC;aptincj992;p0p1;2005;0;992;j
OC;aptincj992;p0p1;2006;0;992;j
OC;aptincj992;p0p1;2007;0;992;j
OC;aptincj992;p0p1;2008;0;992;j
OC;aptincj992;p0p1;2009;0;992;j
OC;aptincj992;p0p1;2010;0;992;j
OC;aptincj992;p0p1;2011;0;992;j
OC;aptincj992;p0p1;2012;0;992;j
OC;aptincj992;p0p1;2013;0;992;j
OC;aptincj992;p0p1;2014;0;992;j
OC;aptincj992;p0p1;2015;0;992;j
OC;aptincj992;p0p1;2016;0;992;j
OC;aptincj992;p0p1;2017;0;992;j
OC;aptincj992;p0p1;2018;0;992;j
OC;aptincj992;p0p1;2019;0;992;j
OC;aptincj992;p0p1;2020;0;992;j
OC;aptincj992;p0p1;2021;0;992;j
OC;aptincj992;p0p100;1980;26423.7;992;j
OC;aptincj992;p0p100;1981;26156.1;992;j
OC;aptincj992;p0p100;1982;25977.5;992;j
OC;aptincj992;p0p100;1983;25866.8;992;j
OC;aptincj992;p0p100;1984;26237.9;992;j
OC;aptincj992;p0p100;1985;26623.4;992;j
OC;aptincj992;p0p100;1986;27035.8;992;j
OC;aptincj992;p0p100;1987;27236.3;992;j
OC;aptincj992;p0p100;1988;28015.3;992;j
OC;aptincj992;p0p100;1989;28871.6;992;j
OC;aptincj992;p0p100;1990;28702.9;992;j
OC;aptincj992;p0p100;1991;29894.4;992;j
OC;aptincj992;p0p100;1992;29794.3;992;j
OC;aptincj992;p0p100;1993;29627.8;992;j
OC;aptincj992;p0p100;1994;30369;992;j
OC;aptincj992;p0p100;1995;31294.8;992;j
OC;aptincj992;p0p100;1996;31927.9;992;j
OC;aptincj992;p0p100;1997;33138.5;992;j
OC;aptincj992;p0p100;1998;34106.9;992;j
OC;aptincj992;p0p100;1999;35332.3;992;j
OC;aptincj992;p0p100;2000;36658.6;992;j
OC;aptincj992;p0p100;2001;36778;992;j
OC;aptincj992;p0p100;2002;36975.9;992;j
OC;aptincj992;p0p100;2003;37361.9;992;j
OC;aptincj992;p0p100;2004;38393.2;992;j
OC;aptincj992;p0p100;2005;39036;992;j
OC;aptincj992;p0p100;2006;40622.2;992;j
OC;aptincj992;p0p100;2007;41497.2;992;j
OC;aptincj992;p0p100;2008;40907.2;992;j
OC;aptincj992;p0p100;2009;39110.1;992;j
OC;aptincj992;p0p100;2010;39865.1;992;j
OC;aptincj992;p0p100;2011;39495;992;j
OC;aptincj992;p0p100;2012;39227.8;992;j
OC;aptincj992;p0p100;2013;38950.8;992;j
OC;aptincj992;p0p100;2014;39258;992;j
OC;aptincj992;p0p100;2015;39626.5;992;j
OC;aptincj992;p0p100;2016;39882.7;992;j
OC;aptincj992;p0p100;2017;40790.6;992;j
OC;aptincj992;p0p100;2018;41527;992;j
OC;aptincj992;p0p100;2019;41112.4;992;j
OC;aptincj992;p0p100;2020;39756.9;992;j
OC;aptincj992;p0p100;2021;41301.3;992;j
OC;aptincj992;p0p50;1980;11968.3;992;j
OC;aptincj992;p0p50;1981;11762.9;992;j
OC;aptincj992;p0p50;1982;11593;992;j
OC;aptincj992;p0p50;1983;11528.5;992;j
OC;aptincj992;p0p50;1984;11567;992;j
OC;aptincj992;p0p50;1985;11616.7;992;j
OC;aptincj992;p0p50;1986;11983.6;992;j
OC;aptincj992;p0p50;1987;12164.6;992;j
OC;aptincj992;p0p50;1988;12469.9;992;j
OC;aptincj992;p0p50;1989;12943.2;992;j
OC;aptincj992;p0p50;1990;12843;992;j
OC;aptincj992;p0p50;1991;12710.7;992;j
OC;aptincj992;p0p50;1992;12730;992;j
OC;aptincj992;p0p50;1993;12285.9;992;j
OC;aptincj992;p0p50;1994;12383.6;992;j
OC;aptincj992;p0p50;1995;12750.3;992;j
OC;aptincj992;p0p50;1996;13006.8;992;j
OC;aptincj992;p0p50;1997;13294.1;992;j
OC;aptincj992;p0p50;1998;13682.5;992;j
OC;aptincj992;p0p50;1999;14089.5;992;j
OC;aptincj992;p0p50;2000;14347.9;992;j
OC;aptincj992;p0p50;2001;14347.5;992;j
OC;aptincj992;p0p50;2002;14781.1;992;j
OC;aptincj992;p0p50;2003;14965.5;992;j
OC;aptincj992;p0p50;2004;15120.7;992;j
OC;aptincj992;p0p50;2005;15206.6;992;j
OC;aptincj992;p0p50;2006;15579.4;992;j
OC;aptincj992;p0p50;2007;15893.1;992;j
OC;aptincj992;p0p50;2008;16323.3;992;j
OC;aptincj992;p0p50;2009;15778.5;992;j
OC;aptincj992;p0p50;2010;15424.5;992;j
OC;aptincj992;p0p50;2011;15170.4;992;j
OC;aptincj992;p0p50;2012;14966.1;992;j
OC;aptincj992;p0p50;2013;14740.9;992;j
OC;aptincj992;p0p50;2014;14690.5;992;j
OC;aptincj992;p0p50;2015;14857.7;992;j
OC;aptincj992;p0p50;2016;15062.6;992;j
OC;aptincj992;p0p50;2017;15466.3;992;j
OC;aptincj992;p0p50;2018;15881.8;992;j
OC;aptincj992;p0p50;2019;16045.8;992;j
OC;aptincj992;p0p50;2020;15375.1;992;j
OC;aptincj992;p0p50;2021;15997.8;992;j
OC;aptincj992;p10p100;1980;29243.3;992;j
OC;aptincj992;p10p100;1981;28948;992;j
OC;aptincj992;p10p100;1982;28751;992;j
OC;aptincj992;p10p100;1983;28629.3;992;j
OC;aptincj992;p10p100;1984;29041.6;992;j
OC;aptincj992;p10p100;1985;29470.2;992;j
OC;aptincj992;p10p100;1986;29925.9;992;j
OC;aptincj992;p10p100;1987;30147.7;992;j
OC;aptincj992;p10p100;1988;31028;992;j
OC;aptincj992;p10p100;1989;31965.3;992;j
OC;aptincj992;p10p100;1990;31775.6;992;j
OC;aptincj992;p10p100;1991;33097.5;992;j
OC;aptincj992;p10p100;1992;32982.3;992;j
OC;aptincj992;p10p100;1993;32811.7;992;j
OC;aptincj992;p10p100;1994;33647.7;992;j
OC;aptincj992;p10p100;1995;34670.2;992;j
OC;aptincj992;p10p100;1996;35366.8;992;j
OC;aptincj992;p10p100;1997;36714.3;992;j
OC;aptincj992;p10p100;1998;37789.4;992;j
OC;aptincj992;p10p100;1999;39139.8;992;j
OC;aptincj992;p10p100;2000;40620.4;992;j
OC;aptincj992;p10p100;2001;40755.7;992;j
OC;aptincj992;p10p100;2002;40968.6;992;j
OC;aptincj992;p10p100;2003;41382.2;992;j
OC;aptincj992;p10p100;2004;42522.9;992;j
OC;aptincj992;p10p100;2005;43239.5;992;j
OC;aptincj992;p10p100;2006;44987.7;992;j
OC;aptincj992;p10p100;2007;45957.3;992;j
OC;aptincj992;p10p100;2008;45294;992;j
OC;aptincj992;p10p100;2009;43304.1;992;j
OC;aptincj992;p10p100;2010;44155.2;992;j
OC;aptincj992;p10p100;2011;43761.5;992;j
OC;aptincj992;p10p100;2012;43467.3;992;j
OC;aptincj992;p10p100;2013;43152.2;992;j
OC;aptincj992;p10p100;2014;43505.6;992;j
