country;variable;percentile;year;value;age;pop
OD;aptincj992;p0p100;1980;12255.8;992;j
OD;aptincj992;p0p100;1981;12095.4;992;j
OD;aptincj992;p0p100;1982;11408.8;992;j
OD;aptincj992;p0p100;1983;10612.4;992;j
OD;aptincj992;p0p100;1984;10450.4;992;j
OD;aptincj992;p0p100;1985;10292.1;992;j
OD;aptincj992;p0p100;1986;10534.8;992;j
OD;aptincj992;p0p100;1987;10772.1;992;j
OD;aptincj992;p0p100;1988;10560.8;992;j
OD;aptincj992;p0p100;1989;9994.4;992;j
OD;aptincj992;p0p100;1990;10161.5;992;j
OD;aptincj992;p0p100;1991;10468;992;j
OD;aptincj992;p0p100;1992;10612.9;992;j
OD;aptincj992;p0p100;1993;10642.9;992;j
OD;aptincj992;p0p100;1994;10753.6;992;j
OD;aptincj992;p0p100;1995;10895.8;992;j
OD;aptincj992;p0p100;1996;10870.4;992;j
OD;aptincj992;p0p100;1997;11140.3;992;j
OD;aptincj992;p0p100;1998;11157.1;992;j
OD;aptincj992;p0p100;1999;10796.8;992;j
OD;aptincj992;p0p100;2000;10846.4;992;j
OD;aptincj992;p0p100;2001;10844.7;992;j
OD;aptincj992;p0p100;2002;10553.1;992;j
OD;aptincj992;p0p100;2003;10256.6;992;j
OD;aptincj992;p0p100;2004;10819.6;992;j
OD;aptincj992;p0p100;2005;11361.6;992;j
OD;aptincj992;p0p100;2006;11882.4;992;j
OD;aptincj992;p0p100;2007;12409.6;992;j
OD;aptincj992;p0p100;2008;12852.2;992;j
OD;aptincj992;p0p100;2009;12344.6;992;j
OD;aptincj992;p0p100;2010;12411.2;992;j
OD;aptincj992;p0p100;2011;12705.3;992;j
OD;aptincj992;p0p100;2012;13004.7;992;j
OD;aptincj992;p0p100;2013;13269;992;j
OD;aptincj992;p0p100;2014;13211.8;992;j
OD;aptincj992;p0p100;2015;13143.1;992;j
OD;aptincj992;p0p100;2016;12578.2;992;j
OD;aptincj992;p0p100;2017;12167.8;992;j
OD;aptincj992;p0p100;2018;11663.5;992;j
OD;aptincj992;p0p100;2019;11007.9;992;j
OD;aptincj992;p0p100;2020;9752.8;992;j
OD;aptincj992;p0p100;2021;9459.5;992;j
OD;aptincj992;p0p50;1980;1893;992;j
OD;aptincj992;p0p50;1981;1877.2;992;j
OD;aptincj992;p0p50;1982;1776.8;992;j
OD;aptincj992;p0p50;1983;1648.9;992;j
OD;aptincj992;p0p50;1984;1617;992;j
OD;aptincj992;p0p50;1985;1596.1;992;j
OD;aptincj992;p0p50;1986;1624.8;992;j
OD;aptincj992;p0p50;1987;1661.5;992;j
OD;aptincj992;p0p50;1988;1606.5;992;j
OD;aptincj992;p0p50;1989;1545.2;992;j
OD;aptincj992;p0p50;1990;1533.8;992;j
OD;aptincj992;p0p50;1991;1563.4;992;j
OD;aptincj992;p0p50;1992;1568.6;992;j
OD;aptincj992;p0p50;1993;1557.3;992;j
OD;aptincj992;p0p50;1994;1586.9;992;j
OD;aptincj992;p0p50;1995;1628.9;992;j
OD;aptincj992;p0p50;1996;1638.6;992;j
OD;aptincj992;p0p50;1997;1129.7;992;j
OD;aptincj992;p0p50;1998;1637.9;992;j
OD;aptincj992;p0p50;1999;1646.8;992;j
OD;aptincj992;p0p50;2000;1650.4;992;j
OD;aptincj992;p0p50;2001;1476.2;992;j
OD;aptincj992;p0p50;2002;1492.7;992;j
OD;aptincj992;p0p50;2003;1607.7;992;j
OD;aptincj992;p0p50;2004;1765.9;992;j
OD;aptincj992;p0p50;2005;1852;992;j
OD;aptincj992;p0p50;2006;1986.4;992;j
OD;aptincj992;p0p50;2007;2019.4;992;j
OD;aptincj992;p0p50;2008;2184.6;992;j
OD;aptincj992;p0p50;2009;2171.8;992;j
OD;aptincj992;p0p50;2010;2220.3;992;j
OD;aptincj992;p0p50;2011;2345;992;j
OD;aptincj992;p0p50;2012;2463.8;992;j
OD;aptincj992;p0p50;2013;2479.2;992;j
OD;aptincj992;p0p50;2014;2532.7;992;j
OD;aptincj992;p0p50;2015;2550;992;j
OD;aptincj992;p0p50;2016;2467.3;992;j
OD;aptincj992;p0p50;2017;2302.7;992;j
OD;aptincj992;p0p50;2018;2180;992;j
OD;aptincj992;p0p50;2019;2027.7;992;j
OD;aptincj992;p0p50;2020;1535;992;j
OD;aptincj992;p0p50;2021;1602.5;992;j
OD;aptincj992;p10p100;1980;13617.6;992;j
OD;aptincj992;p10p100;1981;13439.3;992;j
OD;aptincj992;p10p100;1982;12676.4;992;j
OD;aptincj992;p10p100;1983;11791.5;992;j
OD;aptincj992;p10p100;1984;11611.5;992;j
OD;aptincj992;p10p100;1985;11435.7;992;j
OD;aptincj992;p10p100;1986;11705.3;992;j
OD;aptincj992;p10p100;1987;11969;992;j
OD;aptincj992;p10p100;1988;11734.2;992;j
OD;aptincj992;p10p100;1989;11104.9;992;j
OD;aptincj992;p10p100;1990;11290.5;992;j
OD;aptincj992;p10p100;1991;11631.1;992;j
OD;aptincj992;p10p100;1992;11792.1;992;j
OD;aptincj992;p10p100;1993;11825.4;992;j
OD;aptincj992;p10p100;1994;11948.4;992;j
OD;aptincj992;p10p100;1995;12106.4;992;j
OD;aptincj992;p10p100;1996;12078.3;992;j
OD;aptincj992;p10p100;1997;12661.2;992;j
OD;aptincj992;p10p100;1998;12412.7;992;j
OD;aptincj992;p10p100;1999;11996.4;992;j
OD;aptincj992;p10p100;2000;12051.5;992;j
OD;aptincj992;p10p100;2001;12049.7;992;j
OD;aptincj992;p10p100;2002;11725.7;992;j
OD;aptincj992;p10p100;2003;11396.2;992;j
OD;aptincj992;p10p100;2004;12021.8;992;j
OD;aptincj992;p10p100;2005;12624;992;j
