country;variable;percentile;year;value;age;pop
OH-MER;mgdproi999;p0p100;1960;777734464;999;i
OH-MER;mgdproi999;p0p100;1961;805091200;999;i
OH-MER;mgdproi999;p0p100;1962;834124224;999;i
OH-MER;mgdproi999;p0p100;1963;887164800;999;i
OH-MER;mgdproi999;p0p100;1964;930433920;999;i
OH-MER;mgdproi999;p0p100;1965;905310272;999;i
OH-MER;mgdproi999;p0p100;1966;905309440;999;i
OH-MER;mgdproi999;p0p100;1967;1026184384;999;i
OH-MER;mgdproi999;p0p100;1968;1107419392;999;i
OH-MER;mgdproi999;p0p100;1969;1136173568;999;i
OH-MER;mgdproi999;p0p100;1970;2770608739;999;i
OH-MER;mgdproi999;p0p100;1971;2927882391;999;i
OH-MER;mgdproi999;p0p100;1972;3007035270;999;i
OH-MER;mgdproi999;p0p100;1973;3341693982;999;i
OH-MER;mgdproi999;p0p100;1974;3584072877;999;i
OH-MER;mgdproi999;p0p100;1975;3550730719;999;i
OH-MER;mgdproi999;p0p100;1976;3596511022;999;i
OH-MER;mgdproi999;p0p100;1977;3732255860;999;i
OH-MER;mgdproi999;p0p100;1978;3879479352;999;i
OH-MER;mgdproi999;p0p100;1979;4241263980;999;i
OH-MER;mgdproi999;p0p100;1980;4143232767;999;i
OH-MER;mgdproi999;p0p100;1981;4281124187;999;i
OH-MER;mgdproi999;p0p100;1982;4155211163;999;i
OH-MER;mgdproi999;p0p100;1983;4116856710;999;i
OH-MER;mgdproi999;p0p100;1984;4336997590;999;i
OH-MER;mgdproi999;p0p100;1985;4275534419;999;i
OH-MER;mgdproi999;p0p100;1986;4485528648;999;i
OH-MER;mgdproi999;p0p100;1987;4382854602;999;i
OH-MER;mgdproi999;p0p100;1988;4431400316;999;i
OH-MER;mgdproi999;p0p100;1989;4621043046;999;i
OH-MER;mgdproi999;p0p100;1990;4790594216;999;i
OH-MER;mgdproi999;p0p100;1991;4782354130;999;i
OH-MER;mgdproi999;p0p100;1992;5021960678;999;i
OH-MER;mgdproi999;p0p100;1993;5119119462;999;i
OH-MER;mgdproi999;p0p100;1994;5391695060;999;i
OH-MER;mgdproi999;p0p100;1995;5621988328;999;i
OH-MER;mgdproi999;p0p100;1996;5775650586;999;i
OH-MER;mgdproi999;p0p100;1997;5721132664;999;i
OH-MER;mgdproi999;p0p100;1998;5803059060;999;i
OH-MER;mgdproi999;p0p100;1999;6068200184;999;i
OH-MER;mgdproi999;p0p100;2000;5965742082;999;i
OH-MER;mgdproi999;p0p100;2001;6008171730;999;i
OH-MER;mgdproi999;p0p100;2002;6114339102;999;i
OH-MER;mgdproi999;p0p100;2003;6240611348;999;i
OH-MER;mgdproi999;p0p100;2004;6492862840;999;i
OH-MER;mgdproi999;p0p100;2005;6624924458;999;i
OH-MER;mgdproi999;p0p100;2006;6794459456;999;i
OH-MER;mgdproi999;p0p100;2007;6841537332;999;i
OH-MER;mgdproi999;p0p100;2008;6944768420;999;i
OH-MER;mgdproi999;p0p100;2009;6911590130;999;i
OH-MER;mgdproi999;p0p100;2010;7143694372;999;i
OH-MER;mgdproi999;p0p100;2011;7383620786;999;i
OH-MER;mgdproi999;p0p100;2012;7458633520;999;i
OH-MER;mgdproi999;p0p100;2013;7715455930;999;i
OH-MER;mgdproi999;p0p100;2014;8009815756;999;i
OH-MER;mgdproi999;p0p100;2015;8306203076;999;i
OH-MER;mgdproi999;p0p100;2016;8583997808;999;i
OH-MER;mgdproi999;p0p100;2017;8954955376;999;i
OH-MER;mgdproi999;p0p100;2018;9237446288;999;i
OH-MER;mgdproi999;p0p100;2019;9287098636;999;i
OH-MER;mgdproi999;p0p100;2020;8328341052;999;i
OH-MER;mgdproi999;p0p100;2021;8478466148;999;i
OH-MER;mgweali999;p0p100;1995;47380091;999;i
OH-MER;mgweali999;p0p100;1996;173619359;999;i
OH-MER;mgweali999;p0p100;1997;203142134;999;i
OH-MER;mgweali999;p0p100;1998;354494722;999;i
OH-MER;mgweali999;p0p100;1999;568625205;999;i
OH-MER;mgweali999;p0p100;2000;572194744;999;i
OH-MER;mgweali999;p0p100;2001;579601164;999;i
OH-MER;mgweali999;p0p100;2002;539481723;999;i
OH-MER;mgweali999;p0p100;2003;565102383;999;i
OH-MER;mgweali999;p0p100;2004;654192589;999;i
OH-MER;mgweali999;p0p100;2005;791342458;999;i
OH-MER;mgweali999;p0p100;2006;850128528;999;i
OH-MER;mgweali999;p0p100;2007;903661726;999;i
OH-MER;mgweali999;p0p100;2008;949538216;999;i
OH-MER;mgweali999;p0p100;2009;869478195;999;i
OH-MER;mgweali999;p0p100;2010;881307351;999;i
OH-MER;mgweali999;p0p100;2011;869883429;999;i
OH-MER;mgweali999;p0p100;2012;796955185;999;i
OH-MER;mgweali999;p0p100;2013;855024590;999;i
OH-MER;mgweali999;p0p100;2014;930016620;999;i
OH-MER;mgweali999;p0p100;2015;892672973;999;i
OH-MER;mgweali999;p0p100;2016;778081900;999;i
OH-MER;mgweali999;p0p100;2017;730923664;999;i
OH-MER;mgweali999;p0p100;2018;618614571;999;i
OH-MER;mgweali999;p0p100;2019;529012858;999;i
OH-MER;mgweali999;p0p100;2020;282374831;999;i
OH-MER;mgweali999;p0p100;2021;20338418;999;i
OH-MER;mhweali999;p0p100;1995;5045256800;999;i
OH-MER;mhweali999;p0p100;1996;5368293610;999;i
OH-MER;mhweali999;p0p100;1997;5559177224;999;i
OH-MER;mhweali999;p0p100;1998;5696347126;999;i
OH-MER;mhweali999;p0p100;1999;5906130144;999;i
OH-MER;mhweali999;p0p100;2000;6146764666;999;i
OH-MER;mhweali999;p0p100;2001;6428020822;999;i
OH-MER;mhweali999;p0p100;2002;6702781878;999;i
OH-MER;mhweali999;p0p100;2003;7122587848;999;i
OH-MER;mhweali999;p0p100;2004;7610059116;999;i
OH-MER;mhweali999;p0p100;2005;7835256268;999;i
OH-MER;mhweali999;p0p100;2006;8196819628;999;i
OH-MER;mhweali999;p0p100;2007;8491418784;999;i
OH-MER;mhweali999;p0p100;2008;8710584620;999;i
OH-MER;mhweali999;p0p100;2009;8791460540;999;i
OH-MER;mhweali999;p0p100;2010;9140626060;999;i
OH-MER;mhweali999;p0p100;2011;9398017688;999;i
OH-MER;mhweali999;p0p100;2012;9630356712;999;i
OH-MER;mhweali999;p0p100;2013;10384592304;999;i
OH-MER;mhweali999;p0p100;2014;10811550712;999;i
OH-MER;mhweali999;p0p100;2015;11502865768;999;i
OH-MER;mhweali999;p0p100;2016;12168110856;999;i
OH-MER;mhweali999;p0p100;2017;12908683336;999;i
OH-MER;mhweali999;p0p100;2018;13589759680;999;i
OH-MER;mhweali999;p0p100;2019;13927193960;999;i
OH-MER;mhweali999;p0p100;2020;12934507248;999;i
OH-MER;mhweali999;p0p100;2021;13546265936;999;i
OH-MER;mndproi999;p0p100;1960;711860544;999;i
OH-MER;mndproi999;p0p100;1961;737347520;999;i
OH-MER;mndproi999;p0p100;1962;764560960;999;i
OH-MER;mndproi999;p0p100;1963;815898112;999;i
OH-MER;mndproi999;p0p100;1964;857695232;999;i
OH-MER;mndproi999;p0p100;1965;831123520;999;i
OH-MER;mndproi999;p0p100;1966;828914368;999;i
OH-MER;mndproi999;p0p100;1967;946266944;999;i
OH-MER;mndproi999;p0p100;1968;1023002688;999;i
OH-MER;mndproi999;p0p100;1969;1046580224;999;i
OH-MER;mndproi999;p0p100;1970;2533426862;999;i
OH-MER;mndproi999;p0p100;1971;2676130485;999;i
OH-MER;mndproi999;p0p100;1972;2740450505;999;i
OH-MER;mndproi999;p0p100;1973;3062420580;999;i
OH-MER;mndproi999;p0p100;1974;3292491259;999;i
OH-MER;mndproi999;p0p100;1975;3245726954;999;i
OH-MER;mndproi999;p0p100;1976;3281961793;999;i
OH-MER;mndproi999;p0p100;1977;3409388496;999;i
OH-MER;mndproi999;p0p100;1978;3533472690;999;i
OH-MER;mndproi999;p0p100;1979;3859578288;999;i
OH-MER;mndproi999;p0p100;1980;3744944382;999;i
OH-MER;mndproi999;p0p100;1981;3848659335;999;i
OH-MER;mndproi999;p0p100;1982;3721553684;999;i
OH-MER;mndproi999;p0p100;1983;3708046725;999;i
OH-MER;mndproi999;p0p100;1984;3951019524;999;i
OH-MER;mndproi999;p0p100;1985;3886012591;999;i
OH-MER;mndproi999;p0p100;1986;4075850903;999;i
OH-MER;mndproi999;p0p100;1987;3972773323;999;i
OH-MER;mndproi999;p0p100;1988;4016034512;999;i
OH-MER;mndproi999;p0p100;1989;4186480298;999;i
OH-MER;mndproi999;p0p100;1990;4328561160;999;i
OH-MER;mndproi999;p0p100;1991;4309820222;999;i
OH-MER;mndproi999;p0p100;1992;4532242374;999;i
OH-MER;mndproi999;p0p100;1993;4631024096;999;i
OH-MER;mndproi999;p0p100;1994;4889864782;999;i
OH-MER;mndproi999;p0p100;1995;5102447594;999;i
OH-MER;mndproi999;p0p100;1996;5236680186;999;i
OH-MER;mndproi999;p0p100;1997;5146273076;999;i
OH-MER;mndproi999;p0p100;1998;5227876580;999;i
OH-MER;mndproi999;p0p100;1999;5451034008;999;i
OH-MER;mndproi999;p0p100;2000;5344372852;999;i
OH-MER;mndproi999;p0p100;2001;5412951068;999;i
OH-MER;mndproi999;p0p100;2002;5561536736;999;i
OH-MER;mndproi999;p0p100;2003;5651823616;999;i
OH-MER;mndproi999;p0p100;2004;5916926092;999;i
OH-MER;mndproi999;p0p100;2005;6025690286;999;i
OH-MER;mndproi999;p0p100;2006;6182883462;999;i
OH-MER;mndproi999;p0p100;2007;6240455986;999;i
OH-MER;mndproi999;p0p100;2008;6363104246;999;i
OH-MER;mndproi999;p0p100;2009;6316869358;999;i
OH-MER;mndproi999;p0p100;2010;6548173072;999;i
OH-MER;mndproi999;p0p100;2011;6642926042;999;i
OH-MER;mndproi999;p0p100;2012;6705239346;999;i
OH-MER;mndproi999;p0p100;2013;6953270544;999;i
OH-MER;mndproi999;p0p100;2014;7159142620;999;i
OH-MER;mndproi999;p0p100;2015;7414785242;999;i
OH-MER;mndproi999;p0p100;2016;7688765336;999;i
OH-MER;mndproi999;p0p100;2017;8035916268;999;i
OH-MER;mndproi999;p0p100;2018;8278204796;999;i
OH-MER;mndproi999;p0p100;2019;8331597696;999;i
OH-MER;mndproi999;p0p100;2020;7400143872;999;i
OH-MER;mndproi999;p0p100;2021;7578298416;999;i
OH-MER;mnninci999;p0p100;1960;711860544;999;i
OH-MER;mnninci999;p0p100;1961;737347520;999;i
OH-MER;mnninci999;p0p100;1962;764560960;999;i
OH-MER;mnninci999;p0p100;1963;815898112;999;i
