country;variable;percentile;year;value;age;pop
OI-MER;aptincj992;p0p1;1980;0;992;j
OI-MER;aptincj992;p0p1;1981;0;992;j
OI-MER;aptincj992;p0p1;1982;0;992;j
OI-MER;aptincj992;p0p1;1983;0;992;j
OI-MER;aptincj992;p0p1;1984;0;992;j
OI-MER;aptincj992;p0p1;1985;0;992;j
OI-MER;aptincj992;p0p1;1986;0;992;j
OI-MER;aptincj992;p0p1;1987;0;992;j
OI-MER;aptincj992;p0p1;1988;0;992;j
OI-MER;aptincj992;p0p1;1989;-0.8;992;j
OI-MER;aptincj992;p0p1;1990;-0.1;992;j
OI-MER;aptincj992;p0p1;1991;-2.1;992;j
OI-MER;aptincj992;p0p1;1992;0;992;j
OI-MER;aptincj992;p0p1;1993;0;992;j
OI-MER;aptincj992;p0p1;1994;0;992;j
OI-MER;aptincj992;p0p1;1995;0;992;j
OI-MER;aptincj992;p0p1;1996;0;992;j
OI-MER;aptincj992;p0p1;1997;0;992;j
OI-MER;aptincj992;p0p1;1998;0;992;j
OI-MER;aptincj992;p0p1;1999;0;992;j
OI-MER;aptincj992;p0p1;2000;0;992;j
OI-MER;aptincj992;p0p1;2001;0;992;j
OI-MER;aptincj992;p0p1;2002;0;992;j
OI-MER;aptincj992;p0p1;2003;0;992;j
OI-MER;aptincj992;p0p1;2004;0;992;j
OI-MER;aptincj992;p0p1;2005;0;992;j
OI-MER;aptincj992;p0p1;2006;0;992;j
OI-MER;aptincj992;p0p1;2007;0;992;j
OI-MER;aptincj992;p0p1;2008;0;992;j
OI-MER;aptincj992;p0p1;2009;0;992;j
OI-MER;aptincj992;p0p1;2010;0;992;j
OI-MER;aptincj992;p0p1;2011;0;992;j
OI-MER;aptincj992;p0p1;2012;0;992;j
OI-MER;aptincj992;p0p1;2013;0;992;j
OI-MER;aptincj992;p0p1;2014;0;992;j
OI-MER;aptincj992;p0p1;2015;0;992;j
OI-MER;aptincj992;p0p1;2016;0;992;j
OI-MER;aptincj992;p0p1;2017;0;992;j
OI-MER;aptincj992;p0p1;2018;0;992;j
OI-MER;aptincj992;p0p1;2019;0;992;j
OI-MER;aptincj992;p0p1;2020;0;992;j
OI-MER;aptincj992;p0p1;2021;0;992;j
OI-MER;aptincj992;p0p100;1980;1827.4;992;j
OI-MER;aptincj992;p0p100;1981;1841.5;992;j
OI-MER;aptincj992;p0p100;1982;1866.9;992;j
OI-MER;aptincj992;p0p100;1983;1896.5;992;j
OI-MER;aptincj992;p0p100;1984;1886.8;992;j
OI-MER;aptincj992;p0p100;1985;1842.7;992;j
OI-MER;aptincj992;p0p100;1986;1816.5;992;j
OI-MER;aptincj992;p0p100;1987;1900.4;992;j
OI-MER;aptincj992;p0p100;1988;2031.3;992;j
OI-MER;aptincj992;p0p100;1989;2132.2;992;j
OI-MER;aptincj992;p0p100;1990;2219.9;992;j
OI-MER;aptincj992;p0p100;1991;2271.9;992;j
OI-MER;aptincj992;p0p100;1992;2347.3;992;j
OI-MER;aptincj992;p0p100;1993;2382.9;992;j
OI-MER;aptincj992;p0p100;1994;2501.8;992;j
OI-MER;aptincj992;p0p100;1995;2602.8;992;j
OI-MER;aptincj992;p0p100;1996;2671.2;992;j
OI-MER;aptincj992;p0p100;1997;2678.2;992;j
OI-MER;aptincj992;p0p100;1998;2519.4;992;j
OI-MER;aptincj992;p0p100;1999;2529.8;992;j
OI-MER;aptincj992;p0p100;2000;2646.3;992;j
OI-MER;aptincj992;p0p100;2001;2611.1;992;j
OI-MER;aptincj992;p0p100;2002;2686.3;992;j
OI-MER;aptincj992;p0p100;2003;2789.2;992;j
OI-MER;aptincj992;p0p100;2004;2915.3;992;j
OI-MER;aptincj992;p0p100;2005;3036;992;j
OI-MER;aptincj992;p0p100;2006;3182.2;992;j
OI-MER;aptincj992;p0p100;2007;3330;992;j
OI-MER;aptincj992;p0p100;2008;3406.3;992;j
OI-MER;aptincj992;p0p100;2009;3292.3;992;j
OI-MER;aptincj992;p0p100;2010;3522.8;992;j
