country;variable;percentile;year;value;age;pop
PF;aftaxxi992;p0p100;2002;0;992;i
PF;aftaxxi992;p0p100;2003;0;992;i
PF;aftaxxi992;p0p100;2004;0;992;i
PF;aftaxxi992;p0p100;2005;0;992;i
PF;aftaxxi992;p0p100;2006;0;992;i
PF;aftaxxi992;p0p100;2007;0;992;i
PF;aftaxxi992;p0p100;2008;0;992;i
PF;aftaxxi992;p0p100;2009;0;992;i
PF;aftaxxi992;p0p100;2010;0;992;i
PF;aftaxxi992;p0p100;2011;0;992;i
PF;aftaxxi992;p0p100;2012;0;992;i
PF;aftaxxi992;p0p100;2013;0;992;i
PF;aftaxxi992;p0p100;2014;0;992;i
PF;aftaxxi992;p0p100;2015;0;992;i
PF;aftaxxi992;p0p100;2016;0;992;i
PF;acomnxi999;p0p100;2002;211083.4;999;i
PF;acomnxi999;p0p100;2003;224946.9;999;i
PF;acomnxi999;p0p100;2004;242880.7;999;i
PF;acomnxi999;p0p100;2005;221558.8;999;i
PF;acomnxi999;p0p100;2006;239853.6;999;i
PF;acomnxi999;p0p100;2007;238833.3;999;i
PF;acomnxi999;p0p100;2008;243560.9;999;i
PF;acomnxi999;p0p100;2009;236893.5;999;i
PF;acomnxi999;p0p100;2010;223395.9;999;i
PF;acomnxi999;p0p100;2011;238471.7;999;i
PF;acomnxi999;p0p100;2012;224551.8;999;i
PF;acomnxi999;p0p100;2013;227767.7;999;i
PF;acomnxi999;p0p100;2014;221254.4;999;i
PF;acomnxi999;p0p100;2015;222275.9;999;i
PF;acomnxi999;p0p100;2016;224615.7;999;i
PF;acomrxi999;p0p100;2002;233152.3;999;i
PF;acomrxi999;p0p100;2003;236737.7;999;i
PF;acomrxi999;p0p100;2004;248923.2;999;i
PF;acomrxi999;p0p100;2005;227533.5;999;i
PF;acomrxi999;p0p100;2006;245905.8;999;i
PF;acomrxi999;p0p100;2007;244695;999;i
PF;acomrxi999;p0p100;2008;252904.4;999;i
PF;acomrxi999;p0p100;2009;247459.7;999;i
PF;acomrxi999;p0p100;2010;231993;999;i
PF;acomrxi999;p0p100;2011;245601.7;999;i
PF;acomrxi999;p0p100;2012;230971.9;999;i
PF;acomrxi999;p0p100;2013;233473.3;999;i
PF;acomrxi999;p0p100;2014;225416.3;999;i
PF;acomrxi999;p0p100;2015;225770.7;999;i
PF;acomrxi999;p0p100;2016;231920.4;999;i
PF;afdinxi992;p0p100;2002;-960.8;992;i
PF;afdinxi992;p0p100;2003;-1257.6;992;i
PF;afdinxi992;p0p100;2004;-1246.3;992;i
PF;afdinxi992;p0p100;2005;-1135.8;992;i
PF;afdinxi992;p0p100;2006;-3078.8;992;i
PF;afdinxi992;p0p100;2007;-3149.3;992;i
PF;afdinxi992;p0p100;2008;-2979.1;992;i
