country;variable;percentile;year;value;age;pop
PR;xlceuxi999;p0p100;1999;1.06577643262407;999;i
PR;xlceuxi999;p0p100;2000;0.923612498870066;999;i
PR;xlceuxi999;p0p100;2001;0.895629563370594;999;i
PR;xlceuxi999;p0p100;2002;0.945573710176738;999;i
PR;xlceuxi999;p0p100;2003;1.1311603943483;999;i
PR;xlceuxi999;p0p100;2004;1.24390232871503;999;i
PR;xlceuxi999;p0p100;2005;1.24409031340187;999;i
PR;xlceuxi999;p0p100;2006;1.25559881945145;999;i
PR;xlceuxi999;p0p100;2007;1.37047809113493;999;i
PR;xlceuxi999;p0p100;2008;1.47075542573513;999;i
PR;xlceuxi999;p0p100;2009;1.39478244849713;999;i
PR;xlceuxi999;p0p100;2010;1.32571665176502;999;i
PR;xlceuxi999;p0p100;2011;1.39195527083125;999;i
PR;xlceuxi999;p0p100;2012;1.28478864897678;999;i
PR;xlceuxi999;p0p100;2013;1.32811803498058;999;i
PR;xlceuxi999;p0p100;2014;1.32850073689388;999;i
PR;xlceuxi999;p0p100;2015;1.10951287410527;999;i
PR;xlceuxi999;p0p100;2016;1.10690308181153;999;i
PR;xlceuxi999;p0p100;2017;1.1296811777352;999;i
PR;xlceuxi999;p0p100;2018;1.18095450473051;999;i
PR;xlceuxi999;p0p100;2019;1.11948487143472;999;i
PR;xlceuxi999;p0p100;2020;1.14184597576108;999;i
PR;xlceuxi999;p0p100;2021;1.18584999547634;999;i
PR;apinrxi999;p0p100;1970;163.5;999;i
PR;apinrxi999;p0p100;1971;185.6;999;i
PR;apinrxi999;p0p100;1972;252.7;999;i
PR;apinrxi999;p0p100;1973;308.1;999;i
PR;apinrxi999;p0p100;1974;365.1;999;i
PR;apinrxi999;p0p100;1975;390.5;999;i
PR;apinrxi999;p0p100;1976;346.3;999;i
PR;apinrxi999;p0p100;1977;411.5;999;i
PR;apinrxi999;p0p100;1978;484.3;999;i
PR;apinrxi999;p0p100;1979;736.8;999;i
PR;apinrxi999;p0p100;1980;862.5;999;i
PR;apinrxi999;p0p100;1981;1030.7;999;i
PR;apinrxi999;p0p100;1982;1018.9;999;i
PR;apinrxi999;p0p100;1983;856.3;999;i
PR;apinrxi999;p0p100;1984;1143.7;999;i
PR;apinrxi999;p0p100;1985;1123;999;i
PR;apinrxi999;p0p100;1986;1207.6;999;i
PR;apinrxi999;p0p100;1987;1232.5;999;i
PR;apinrxi999;p0p100;1988;1086.4;999;i
PR;apinrxi999;p0p100;1989;1041.6;999;i
PR;apinrxi999;p0p100;1990;938.8;999;i
PR;apinrxi999;p0p100;1991;797.8;999;i
PR;apinrxi999;p0p100;1992;775.9;999;i
PR;apinrxi999;p0p100;1993;702;999;i
PR;apinrxi999;p0p100;1994;688.5;999;i
PR;apinrxi999;p0p100;1995;754.8;999;i
PR;apinrxi999;p0p100;1996;609.9;999;i
PR;apinrxi999;p0p100;1997;645.8;999;i
PR;apinrxi999;p0p100;1998;618.2;999;i
PR;apinrxi999;p0p100;1999;585.4;999;i
PR;apinrxi999;p0p100;2000;559.8;999;i
PR;apinrxi999;p0p100;2001;524.3;999;i
PR;apinrxi999;p0p100;2002;510.5;999;i
PR;apinrxi999;p0p100;2003;590.1;999;i
PR;apinrxi999;p0p100;2004;941.7;999;i
PR;apinrxi999;p0p100;2005;1087.8;999;i
PR;apinrxi999;p0p100;2006;723;999;i
PR;apinrxi999;p0p100;2007;783.6;999;i
PR;acomnxi992;p0p100;1960;1011.7;992;i
PR;acomnxi992;p0p100;1963;1007.3;992;i
PR;acomnxi992;p0p100;1965;966.8;992;i
PR;acomnxi992;p0p100;1970;1022.1;992;i
PR;acomnxi992;p0p100;1971;889.9;992;i
PR;acomnxi992;p0p100;1972;902.3;992;i
PR;acomnxi992;p0p100;1973;829.6;992;i
PR;acomnxi992;p0p100;1974;780.3;992;i
PR;acomnxi992;p0p100;1975;727.1;992;i
PR;acomnxi992;p0p100;1976;608;992;i
PR;acomnxi992;p0p100;1977;613.5;992;i
PR;acomnxi992;p0p100;1978;573.8;992;i
PR;acomnxi992;p0p100;1979;521.5;992;i
PR;acomnxi992;p0p100;1980;578.3;992;i
PR;acomnxi992;p0p100;1981;569.3;992;i
PR;acomnxi992;p0p100;1982;573.1;992;i
PR;acomnxi992;p0p100;1983;564.6;992;i
PR;acomnxi992;p0p100;1984;593.9;992;i
PR;acomnxi992;p0p100;1985;612;992;i
PR;acomnxi992;p0p100;1986;566.6;992;i
PR;acomnxi992;p0p100;1987;607.8;992;i
PR;acomnxi992;p0p100;1988;605.8;992;i
PR;acomnxi992;p0p100;1989;592.1;992;i
PR;acomnxi992;p0p100;1990;560.9;992;i
PR;acomnxi992;p0p100;1991;590.2;992;i
PR;acomnxi992;p0p100;1992;678.5;992;i
PR;acomnxi992;p0p100;1993;668.1;992;i
PR;acomnxi992;p0p100;1994;624.5;992;i
PR;acomnxi992;p0p100;1995;666.9;992;i
PR;acomnxi992;p0p100;1996;648;992;i
PR;acomnxi992;p0p100;1997;609.1;992;i
PR;acomnxi992;p0p100;1998;605.8;992;i
PR;acomnxi992;p0p100;1999;663.9;992;i
PR;acomnxi992;p0p100;2000;640.5;992;i
PR;acomnxi992;p0p100;2001;670.6;992;i
PR;acomnxi992;p0p100;2002;650.2;992;i
PR;acomnxi992;p0p100;2003;625.1;992;i
PR;acomnxi992;p0p100;2004;695.7;992;i
PR;acomnxi992;p0p100;2005;628.7;992;i
PR;acomnxi992;p0p100;2006;534.6;992;i
PR;acomnxi992;p0p100;2007;549;992;i
PR;acomnxi999;p0p100;1960;472.8;999;i
PR;acomnxi999;p0p100;1963;503.4;999;i
PR;acomnxi999;p0p100;1965;502.8;999;i
PR;acomnxi999;p0p100;1970;540.8;999;i
PR;acomnxi999;p0p100;1971;474.9;999;i
