country;variable;percentile;year;value;age;pop
PW;acfcnpi999;p0p100;2000;7.8;999;i
PW;acfcnpi999;p0p100;2001;7.7;999;i
PW;acfcnpi999;p0p100;2002;7.7;999;i
PW;acfcnpi999;p0p100;2003;7.8;999;i
PW;acfcnpi999;p0p100;2004;7.9;999;i
PW;acfcnpi999;p0p100;2005;8;999;i
PW;acfcnpi999;p0p100;2006;8.1;999;i
PW;acfcnpi999;p0p100;2007;8.2;999;i
PW;acfcnpi999;p0p100;2008;8.3;999;i
PW;acfcnpi999;p0p100;2009;8.4;999;i
PW;acfcnpi999;p0p100;2010;8.6;999;i
PW;acfcnpi999;p0p100;2011;8.7;999;i
PW;acfcnpi999;p0p100;2012;9;999;i
PW;acfcnpi999;p0p100;2013;9.3;999;i
PW;acfcnpi999;p0p100;2014;9.6;999;i
PW;acfcnpi999;p0p100;2015;9.8;999;i
PW;acfcnpi999;p0p100;2016;9.9;999;i
PW;acfcnpi999;p0p100;2017;9.6;999;i
PW;acfcnpi999;p0p100;2018;9.3;999;i
PW;acfcnpi999;p0p100;2019;8.8;999;i
PW;acomrxi999;p0p100;2005;-7.4;999;i
PW;acomrxi999;p0p100;2006;-4;999;i
PW;acomrxi999;p0p100;2007;-8.5;999;i
PW;acomrxi999;p0p100;2008;-6;999;i
PW;acomrxi999;p0p100;2009;13.5;999;i
PW;acomrxi999;p0p100;2010;4.6;999;i
PW;acomrxi999;p0p100;2011;-8.7;999;i
PW;acomrxi999;p0p100;2012;-23.7;999;i
PW;acomrxi999;p0p100;2013;0.4;999;i
PW;acomrxi999;p0p100;2014;5.3;999;i
PW;acomrxi999;p0p100;2015;11.8;999;i
PW;acomrxi999;p0p100;2016;-5.1;999;i
PW;acomrxi999;p0p100;2017;30.8;999;i
PW;afdinxi999;p0p100;2005;-665.7;999;i
PW;afdinxi999;p0p100;2006;-448.3;999;i
PW;afdinxi999;p0p100;2007;-622.2;999;i
PW;afdinxi999;p0p100;2008;-442.7;999;i
PW;afdinxi999;p0p100;2009;51.9;999;i
PW;afdinxi999;p0p100;2010;-287.2;999;i
PW;afdinxi999;p0p100;2011;-931.9;999;i
PW;afdinxi999;p0p100;2012;-1145.9;999;i
PW;afdinxi999;p0p100;2013;-1204.7;999;i
PW;afdinxi999;p0p100;2014;-1543.2;999;i
PW;afdinxi999;p0p100;2015;-1705.7;999;i
PW;afdinxi999;p0p100;2016;-2600.8;999;i
PW;afdinxi999;p0p100;2017;-1216.3;999;i
PW;afdipxi999;p0p100;2005;665.7;999;i
PW;afdipxi999;p0p100;2006;448.3;999;i
PW;afdipxi999;p0p100;2007;622.2;999;i
PW;afdipxi999;p0p100;2008;442.7;999;i
PW;afdipxi999;p0p100;2009;-51.9;999;i
PW;afdipxi999;p0p100;2010;287.2;999;i
PW;afdipxi999;p0p100;2011;931.9;999;i
PW;afdipxi999;p0p100;2012;1145.9;999;i
PW;afdipxi999;p0p100;2013;1204.7;999;i
PW;afdipxi999;p0p100;2014;1543.2;999;i
PW;afdipxi999;p0p100;2015;1705.7;999;i
PW;afdipxi999;p0p100;2016;2600.8;999;i
PW;afdipxi999;p0p100;2017;1216.3;999;i
PW;xlceuxi999;p0p100;1999;1.06577643262407;999;i
PW;xlceuxi999;p0p100;2000;0.923612498870066;999;i
PW;xlceuxi999;p0p100;2001;0.895629563370594;999;i
PW;xlceuxi999;p0p100;2002;0.945573710176738;999;i
PW;xlceuxi999;p0p100;2003;1.1311603943483;999;i
PW;xlceuxi999;p0p100;2004;1.24390232871503;999;i
PW;xlceuxi999;p0p100;2005;1.24409031340187;999;i
PW;xlceuxi999;p0p100;2006;1.25559881945145;999;i
PW;xlceuxi999;p0p100;2007;1.37047809113493;999;i
PW;xlceuxi999;p0p100;2008;1.47075542573513;999;i
PW;xlceuxi999;p0p100;2009;1.39478244849713;999;i
PW;xlceuxi999;p0p100;2010;1.32571665176502;999;i
PW;xlceuxi999;p0p100;2011;1.39195527083125;999;i
PW;xlceuxi999;p0p100;2012;1.28478864897678;999;i
PW;xlceuxi999;p0p100;2013;1.32811803498058;999;i
PW;xlceuxi999;p0p100;2014;1.32850073689388;999;i
PW;xlceuxi999;p0p100;2015;1.10951287410527;999;i
PW;xlceuxi999;p0p100;2016;1.10690308181153;999;i
PW;xlceuxi999;p0p100;2017;1.1296811777352;999;i
PW;xlceuxi999;p0p100;2018;1.18095450473051;999;i
PW;xlceuxi999;p0p100;2019;1.11948487143472;999;i
PW;xlceuxi999;p0p100;2020;1.14184597576108;999;i
PW;xlceuxi999;p0p100;2021;1.18584999547634;999;i
PW;anmxhni999;p0p100;2000;186.2;999;i
PW;anmxhni999;p0p100;2001;180.9;999;i
PW;anmxhni999;p0p100;2002;187.8;999;i
PW;anmxhni999;p0p100;2003;176.9;999;i
PW;anmxhni999;p0p100;2004;195.6;999;i
PW;anmxhni999;p0p100;2005;193.9;999;i
PW;anmxhni999;p0p100;2006;206.9;999;i
PW;anmxhni999;p0p100;2007;191.2;999;i
PW;anmxhni999;p0p100;2008;196.6;999;i
PW;anmxhni999;p0p100;2009;222.3;999;i
PW;anmxhni999;p0p100;2010;233.7;999;i
PW;anmxhni999;p0p100;2011;251.1;999;i
PW;anmxhni999;p0p100;2012;231.6;999;i
PW;anmxhni999;p0p100;2013;237.2;999;i
PW;anmxhni999;p0p100;2014;233.1;999;i
PW;anmxhni999;p0p100;2015;210.1;999;i
PW;anmxhni999;p0p100;2016;206.1;999;i
PW;anmxhni999;p0p100;2017;208.5;999;i
PW;anmxhni999;p0p100;2018;210.2;999;i
PW;anmxhni999;p0p100;2019;204.4;999;i
PW;annfini999;p0p100;2000;-2410.7;999;i
PW;annfini999;p0p100;2001;-2493.6;999;i
PW;annfini999;p0p100;2002;-2613.2;999;i
PW;annfini999;p0p100;2003;-2320.9;999;i
PW;annfini999;p0p100;2004;-2241.6;999;i
PW;annfini999;p0p100;2005;-351.2;999;i
PW;annfini999;p0p100;2006;-89.1;999;i
PW;annfini999;p0p100;2007;-199;999;i
PW;annfini999;p0p100;2008;133.3;999;i
PW;annfini999;p0p100;2009;677.2;999;i
PW;annfini999;p0p100;2010;366.9;999;i
PW;annfini999;p0p100;2011;-185.3;999;i
PW;annfini999;p0p100;2012;-595.6;999;i
PW;annfini999;p0p100;2013;-329.8;999;i
PW;annfini999;p0p100;2014;-700.3;999;i
PW;annfini999;p0p100;2015;-725.9;999;i
PW;annfini999;p0p100;2016;-1665.4;999;i
PW;annfini999;p0p100;2017;-190.6;999;i
PW;annfini999;p0p100;2018;-510.6;999;i
PW;annfini999;p0p100;2019;-654.4;999;i
PW;annfini999;p0p100;2020;-587.8;999;i
PW;annfini999;p0p100;2021;-522.5;999;i
PW;ansrfci999;p0p100;2000;344.9;999;i
PW;ansrfci999;p0p100;2001;336.4;999;i
PW;ansrfci999;p0p100;2002;245.8;999;i
PW;ansrfci999;p0p100;2003;251.8;999;i
PW;ansrfci999;p0p100;2004;209.7;999;i
PW;ansrfci999;p0p100;2005;345.2;999;i
PW;ansrfci999;p0p100;2006;517.5;999;i
PW;ansrfci999;p0p100;2007;548.4;999;i
PW;ansrfci999;p0p100;2008;417.7;999;i
PW;ansrfci999;p0p100;2009;324;999;i
PW;ansrfci999;p0p100;2010;282;999;i
PW;ansrfci999;p0p100;2011;246.5;999;i
PW;ansrfci999;p0p100;2012;16;999;i
PW;ansrfci999;p0p100;2013;132.6;999;i
PW;ansrfci999;p0p100;2014;110.6;999;i
PW;ansrfci999;p0p100;2015;72;999;i
