country;variable;percentile;year;value;age;pop
QB;aptincj992;p0p1;1980;-81.8;992;j
QB;aptincj992;p0p1;1981;-2123.5;992;j
QB;aptincj992;p0p1;1982;-4043.8;992;j
QB;aptincj992;p0p1;1983;-2170.9;992;j
QB;aptincj992;p0p1;1984;-2558.7;992;j
QB;aptincj992;p0p1;1985;-1115;992;j
QB;aptincj992;p0p1;1986;-1376.5;992;j
QB;aptincj992;p0p1;1987;-981.2;992;j
QB;aptincj992;p0p1;1988;-1162.5;992;j
QB;aptincj992;p0p1;1989;0;992;j
QB;aptincj992;p0p1;1990;0;992;j
QB;aptincj992;p0p1;1991;0;992;j
QB;aptincj992;p0p1;1992;0;992;j
QB;aptincj992;p0p1;1993;0;992;j
QB;aptincj992;p0p1;1994;0;992;j
QB;aptincj992;p0p1;1995;0;992;j
QB;aptincj992;p0p1;1996;0;992;j
QB;aptincj992;p0p1;1997;0;992;j
QB;aptincj992;p0p1;1998;0;992;j
QB;aptincj992;p0p1;1999;0;992;j
QB;aptincj992;p0p1;2000;0;992;j
QB;aptincj992;p0p1;2001;0;992;j
QB;aptincj992;p0p1;2002;0;992;j
QB;aptincj992;p0p1;2003;0;992;j
QB;aptincj992;p0p1;2004;0;992;j
QB;aptincj992;p0p1;2005;0;992;j
QB;aptincj992;p0p1;2006;0;992;j
QB;aptincj992;p0p1;2007;0;992;j
QB;aptincj992;p0p1;2008;0;992;j
QB;aptincj992;p0p1;2009;0;992;j
QB;aptincj992;p0p1;2010;0;992;j
QB;aptincj992;p0p1;2011;0;992;j
QB;aptincj992;p0p1;2012;0;992;j
QB;aptincj992;p0p1;2013;0;992;j
QB;aptincj992;p0p1;2014;0;992;j
QB;aptincj992;p0p1;2015;0;992;j
QB;aptincj992;p0p1;2016;0;992;j
QB;aptincj992;p0p1;2017;0;992;j
QB;aptincj992;p0p1;2018;0;992;j
QB;aptincj992;p0p1;2019;0;992;j
QB;aptincj992;p0p1;2020;0;992;j
QB;aptincj992;p0p1;2021;0;992;j
QB;aptincj992;p0p100;1980;5913;992;j
QB;aptincj992;p0p100;1981;5691.1;992;j
QB;aptincj992;p0p100;1982;5582.6;992;j
QB;aptincj992;p0p100;1983;5400.7;992;j
QB;aptincj992;p0p100;1984;5442;992;j
QB;aptincj992;p0p100;1985;5437;992;j
QB;aptincj992;p0p100;1986;5399.5;992;j
QB;aptincj992;p0p100;1987;5372.6;992;j
QB;aptincj992;p0p100;1988;5454.2;992;j
QB;aptincj992;p0p100;1989;5485.5;992;j
QB;aptincj992;p0p100;1990;5466;992;j
QB;aptincj992;p0p100;1991;5393.1;992;j
QB;aptincj992;p0p100;1992;5307.3;992;j
QB;aptincj992;p0p100;1993;5235.7;992;j
QB;aptincj992;p0p100;1994;5207.9;992;j
QB;aptincj992;p0p100;1995;5244.9;992;j
QB;aptincj992;p0p100;1996;5363.5;992;j
QB;aptincj992;p0p100;1997;5462.1;992;j
QB;aptincj992;p0p100;1998;5495.8;992;j
QB;aptincj992;p0p100;1999;5468.4;992;j
QB;aptincj992;p0p100;2000;5520.3;992;j
QB;aptincj992;p0p100;2001;5620.9;992;j
QB;aptincj992;p0p100;2002;5744.1;992;j
QB;aptincj992;p0p100;2003;5845.7;992;j
QB;aptincj992;p0p100;2004;5985.1;992;j
QB;aptincj992;p0p100;2005;6192.2;992;j
QB;aptincj992;p0p100;2006;6387.7;992;j
QB;aptincj992;p0p100;2007;6570.1;992;j
QB;aptincj992;p0p100;2008;6676.6;992;j
QB;aptincj992;p0p100;2009;6677.6;992;j
QB;aptincj992;p0p100;2010;6844.1;992;j
QB;aptincj992;p0p100;2011;6770.7;992;j
QB;aptincj992;p0p100;2012;6910.4;992;j
QB;aptincj992;p0p100;2013;6949.6;992;j
QB;aptincj992;p0p100;2014;7033.7;992;j
QB;aptincj992;p0p100;2015;7071.9;992;j
QB;aptincj992;p0p100;2016;7017.6;992;j
QB;aptincj992;p0p100;2017;7003.4;992;j
QB;aptincj992;p0p100;2018;7014.6;992;j
QB;aptincj992;p0p100;2019;6978.2;992;j
QB;aptincj992;p0p100;2020;6677.8;992;j
QB;aptincj992;p0p100;2021;6814.8;992;j
QB;aptincj992;p0p50;1980;928.8;992;j
QB;aptincj992;p0p50;1981;869.9;992;j
QB;aptincj992;p0p50;1982;821.5;992;j
QB;aptincj992;p0p50;1983;823.6;992;j
QB;aptincj992;p0p50;1984;792.4;992;j
QB;aptincj992;p0p50;1985;830.8;992;j
