country;variable;percentile;year;value;age;pop
QC-MER;mnweali999;p0p100;1995;40599509345424;999;i
QC-MER;mnweali999;p0p100;1996;43579153193864;999;i
QC-MER;mnweali999;p0p100;1997;47682934924072;999;i
QC-MER;mnweali999;p0p100;1998;52957810401659;999;i
QC-MER;mnweali999;p0p100;1999;58394427285256;999;i
QC-MER;mnweali999;p0p100;2000;61500693697984;999;i
QC-MER;mnweali999;p0p100;2001;61752547283240;999;i
QC-MER;mnweali999;p0p100;2002;60746733674876;999;i
QC-MER;mnweali999;p0p100;2003;62518817264532;999;i
QC-MER;mnweali999;p0p100;2004;68798320936446;999;i
QC-MER;mnweali999;p0p100;2005;74777339335983;999;i
QC-MER;mnweali999;p0p100;2006;79827650443248;999;i
QC-MER;mnweali999;p0p100;2007;82757555843424;999;i
QC-MER;mnweali999;p0p100;2008;76073124832448;999;i
QC-MER;mnweali999;p0p100;2009;68624148578632;999;i
QC-MER;mnweali999;p0p100;2010;69968646898648;999;i
QC-MER;mnweali999;p0p100;2011;71171247840440;999;i
QC-MER;mnweali999;p0p100;2012;72981236490804;999;i
QC-MER;mnweali999;p0p100;2013;78981729603572;999;i
QC-MER;mnweali999;p0p100;2014;84678308902672;999;i
QC-MER;mnweali999;p0p100;2015;88074083912488;999;i
QC-MER;mnweali999;p0p100;2016;90235731800096;999;i
QC-MER;mnweali999;p0p100;2017;95650281243104;999;i
QC-MER;mnweali999;p0p100;2018;97693576311008;999;i
QC-MER;mnweali999;p0p100;2019;101158540485184;999;i
QC-MER;mnweali999;p0p100;2020;110136297455808;999;i
QC-MER;mnweali999;p0p100;2021;122427412156160;999;i
QC-MER;mgdproi999;p0p100;1950;491916039552;999;i
QC-MER;mgdproi999;p0p100;1951;518748679552;999;i
QC-MER;mgdproi999;p0p100;1952;545098453632;999;i
QC-MER;mgdproi999;p0p100;1953;567944940672;999;i
QC-MER;mgdproi999;p0p100;1954;590534304384;999;i
QC-MER;mgdproi999;p0p100;1955;634861267840;999;i
QC-MER;mgdproi999;p0p100;1956;670543050752;999;i
QC-MER;mgdproi999;p0p100;1957;711497312000;999;i
QC-MER;mgdproi999;p0p100;1958;740755994368;999;i
QC-MER;mgdproi999;p0p100;1959;763915153408;999;i
QC-MER;mgdproi999;p0p100;1960;3943729149928;999;i
QC-MER;mgdproi999;p0p100;1961;4076519748952;999;i
QC-MER;mgdproi999;p0p100;1962;4324228837408;999;i
QC-MER;mgdproi999;p0p100;1963;4504762194560;999;i
QC-MER;mgdproi999;p0p100;1964;4777361173216;999;i
QC-MER;mgdproi999;p0p100;1965;5077088798312;999;i
QC-MER;mgdproi999;p0p100;1966;5399205091672;999;i
QC-MER;mgdproi999;p0p100;1967;5559507669376;999;i
QC-MER;mgdproi999;p0p100;1968;5850273552768;999;i
QC-MER;mgdproi999;p0p100;1969;6064196424192;999;i
QC-MER;mgdproi999;p0p100;1970;6137746061276;999;i
QC-MER;mgdproi999;p0p100;1971;6368186550488;999;i
QC-MER;mgdproi999;p0p100;1972;6724137195000;999;i
QC-MER;mgdproi999;p0p100;1973;7143452241744;999;i
QC-MER;mgdproi999;p0p100;1974;7204457082972;999;i
QC-MER;mgdproi999;p0p100;1975;7244058432912;999;i
QC-MER;mgdproi999;p0p100;1976;7642186513984;999;i
QC-MER;mgdproi999;p0p100;1977;7993199466176;999;i
QC-MER;mgdproi999;p0p100;1978;8412784323964;999;i
QC-MER;mgdproi999;p0p100;1979;8734401279132;999;i
QC-MER;mgdproi999;p0p100;1980;8822798480304;999;i
QC-MER;mgdproi999;p0p100;1981;9023817944160;999;i
QC-MER;mgdproi999;p0p100;1982;8876096925608;999;i
QC-MER;mgdproi999;p0p100;1983;9148849005528;999;i
QC-MER;mgdproi999;p0p100;1984;9744487732120;999;i
QC-MER;mgdproi999;p0p100;1985;10138023288936;999;i
QC-MER;mgdproi999;p0p100;1986;10479843711160;999;i
QC-MER;mgdproi999;p0p100;1987;10861767738336;999;i
QC-MER;mgdproi999;p0p100;1988;11276263812352;999;i
QC-MER;mgdproi999;p0p100;1989;11632226722768;999;i
QC-MER;mgdproi999;p0p100;1990;11805120707568;999;i
QC-MER;mgdproi999;p0p100;1991;11862325458400;999;i
QC-MER;mgdproi999;p0p100;1992;12248856193296;999;i
QC-MER;mgdproi999;p0p100;1993;12727672644096;999;i
QC-MER;mgdproi999;p0p100;1994;13263983327680;999;i
QC-MER;mgdproi999;p0p100;1995;13582342223328;999;i
QC-MER;mgdproi999;p0p100;1996;14054379655392;999;i
QC-MER;mgdproi999;p0p100;1997;14705759595008;999;i
QC-MER;mgdproi999;p0p100;1998;15315419917504;999;i
QC-MER;mgdproi999;p0p100;1999;15937285140224;999;i
QC-MER;mgdproi999;p0p100;2000;16611089528768;999;i
QC-MER;mgdproi999;p0p100;2001;16766059420512;999;i
QC-MER;mgdproi999;p0p100;2002;17020669174240;999;i
QC-MER;mgdproi999;p0p100;2003;17411982783808;999;i
QC-MER;mgdproi999;p0p100;2004;18146645961056;999;i
QC-MER;mgdproi999;p0p100;2005;18794001667776;999;i
QC-MER;mgdproi999;p0p100;2006;19401491913664;999;i
QC-MER;mgdproi999;p0p100;2007;19889878429920;999;i
QC-MER;mgdproi999;p0p100;2008;20028054059072;999;i
QC-MER;mgdproi999;p0p100;2009;19535386481664;999;i
QC-MER;mgdproi999;p0p100;2010;20160499819392;999;i
QC-MER;mgdproi999;p0p100;2011;20628680480832;999;i
QC-MER;mgdproi999;p0p100;2012;21151617462560;999;i
QC-MER;mgdproi999;p0p100;2013;21651134897920;999;i
QC-MER;mgdproi999;p0p100;2014;22175851320640;999;i
QC-MER;mgdproi999;p0p100;2015;22832680715776;999;i
QC-MER;mgdproi999;p0p100;2016;23084212503648;999;i
QC-MER;mgdproi999;p0p100;2017;23565788327776;999;i
QC-MER;mgdproi999;p0p100;2018;24167062138240;999;i
QC-MER;mgdproi999;p0p100;2019;24573100510048;999;i
QC-MER;mgdproi999;p0p100;2020;23530687187776;999;i
QC-MER;mgdproi999;p0p100;2021;24847133983456;999;i
QC-MER;mgweali999;p0p100;1995;293153181760;999;i
QC-MER;mgweali999;p0p100;1996;520294603574;999;i
QC-MER;mgweali999;p0p100;1997;1143755648682;999;i
QC-MER;mgweali999;p0p100;1998;1867966848704;999;i
QC-MER;mgweali999;p0p100;1999;2775031089956;999;i
QC-MER;mgweali999;p0p100;2000;3747972292184;999;i
QC-MER;mgweali999;p0p100;2001;4103147378714;999;i
QC-MER;mgweali999;p0p100;2002;4013380295602;999;i
QC-MER;mgweali999;p0p100;2003;4027403718872;999;i
QC-MER;mgweali999;p0p100;2004;4112169190084;999;i
QC-MER;mgweali999;p0p100;2005;4507696017964;999;i
QC-MER;mgweali999;p0p100;2006;5520935253752;999;i
QC-MER;mgweali999;p0p100;2007;6241081107132;999;i
