country;variable;percentile;year;value;age;pop
QC;agdproi992;p0p100;1950;3675.9;992;i
QC;agdproi992;p0p100;1951;3807.3;992;i
QC;agdproi992;p0p100;1952;3914.8;992;i
QC;agdproi992;p0p100;1953;4008.8;992;i
QC;agdproi992;p0p100;1954;4135.7;992;i
QC;agdproi992;p0p100;1955;4362.2;992;i
QC;agdproi992;p0p100;1956;4505.8;992;i
QC;agdproi992;p0p100;1957;4719.9;992;i
QC;agdproi992;p0p100;1958;4862.2;992;i
QC;agdproi992;p0p100;1959;4918.7;992;i
QC;agdproi992;p0p100;1960;16887.9;992;i
QC;agdproi992;p0p100;1961;17241.9;992;i
QC;agdproi992;p0p100;1962;17957.3;992;i
QC;agdproi992;p0p100;1963;18345.2;992;i
QC;agdproi992;p0p100;1964;19108.7;992;i
QC;agdproi992;p0p100;1965;19898.8;992;i
QC;agdproi992;p0p100;1966;20749.8;992;i
QC;agdproi992;p0p100;1967;21003.5;992;i
QC;agdproi992;p0p100;1968;21657.8;992;i
QC;agdproi992;p0p100;1969;22042.3;992;i
QC;agdproi992;p0p100;1970;21985.8;992;i
QC;agdproi992;p0p100;1971;22317.1;992;i
QC;agdproi992;p0p100;1972;23071.1;992;i
QC;agdproi992;p0p100;1973;24035;992;i
QC;agdproi992;p0p100;1974;23871.4;992;i
QC;agdproi992;p0p100;1975;23551.2;992;i
QC;agdproi992;p0p100;1976;24286.8;992;i
QC;agdproi992;p0p100;1977;24810.9;992;i
QC;agdproi992;p0p100;1978;25485.2;992;i
QC;agdproi992;p0p100;1979;25919.1;992;i
QC;agdproi992;p0p100;1980;25749;992;i
QC;agdproi992;p0p100;1981;25645.2;992;i
QC;agdproi992;p0p100;1982;24696.8;992;i
QC;agdproi992;p0p100;1983;24665.9;992;i
QC;agdproi992;p0p100;1984;25574.9;992;i
QC;agdproi992;p0p100;1985;26000.7;992;i
QC;agdproi992;p0p100;1986;26298.3;992;i
QC;agdproi992;p0p100;1987;26699.8;992;i
QC;agdproi992;p0p100;1988;27048.5;992;i
QC;agdproi992;p0p100;1989;27297.6;992;i
QC;agdproi992;p0p100;1990;26977.5;992;i
QC;agdproi992;p0p100;1991;26674.3;992;i
QC;agdproi992;p0p100;1992;26983.4;992;i
QC;agdproi992;p0p100;1993;27775.2;992;i
QC;agdproi992;p0p100;1994;28462.3;992;i
QC;agdproi992;p0p100;1995;28545.7;992;i
QC;agdproi992;p0p100;1996;28972.7;992;i
QC;agdproi992;p0p100;1997;29786.5;992;i
