country;variable;percentile;year;value;age;pop
QD;aptincj992;p0p1;1980;-338.6;992;j
QD;aptincj992;p0p1;1981;-461.5;992;j
QD;aptincj992;p0p1;1982;-295.8;992;j
QD;aptincj992;p0p1;1983;-341.4;992;j
QD;aptincj992;p0p1;1984;-401.6;992;j
QD;aptincj992;p0p1;1985;-572.7;992;j
QD;aptincj992;p0p1;1986;0;992;j
QD;aptincj992;p0p1;1987;0;992;j
QD;aptincj992;p0p1;1988;0;992;j
QD;aptincj992;p0p1;1989;0;992;j
QD;aptincj992;p0p1;1990;0;992;j
QD;aptincj992;p0p1;1991;0;992;j
QD;aptincj992;p0p1;1992;0;992;j
QD;aptincj992;p0p1;1993;0;992;j
QD;aptincj992;p0p1;1994;0;992;j
QD;aptincj992;p0p1;1995;-276.9;992;j
QD;aptincj992;p0p1;1996;-158.8;992;j
QD;aptincj992;p0p1;1997;-117.9;992;j
QD;aptincj992;p0p1;1998;-196.5;992;j
QD;aptincj992;p0p1;1999;-172.7;992;j
QD;aptincj992;p0p1;2000;-148.3;992;j
QD;aptincj992;p0p1;2001;-275;992;j
QD;aptincj992;p0p1;2002;-411.7;992;j
QD;aptincj992;p0p1;2003;-723.3;992;j
QD;aptincj992;p0p1;2004;-788.3;992;j
QD;aptincj992;p0p1;2005;-337.5;992;j
QD;aptincj992;p0p1;2006;0;992;j
QD;aptincj992;p0p1;2007;0;992;j
QD;aptincj992;p0p1;2008;0;992;j
QD;aptincj992;p0p1;2009;0;992;j
QD;aptincj992;p0p1;2010;0;992;j
QD;aptincj992;p0p1;2011;0;992;j
QD;aptincj992;p0p1;2012;0;992;j
QD;aptincj992;p0p1;2013;0;992;j
QD;aptincj992;p0p1;2014;0;992;j
QD;aptincj992;p0p1;2015;0;992;j
QD;aptincj992;p0p1;2016;0;992;j
QD;aptincj992;p0p1;2017;0;992;j
QD;aptincj992;p0p1;2018;0;992;j
QD;aptincj992;p0p1;2019;0;992;j
QD;aptincj992;p0p1;2020;0;992;j
QD;aptincj992;p0p1;2021;0;992;j
QD;aptincj992;p0p100;1980;7080.1;992;j
QD;aptincj992;p0p100;1981;7141.2;992;j
QD;aptincj992;p0p100;1982;7114.2;992;j
QD;aptincj992;p0p100;1983;7154.3;992;j
QD;aptincj992;p0p100;1984;7193.5;992;j
QD;aptincj992;p0p100;1985;7186.7;992;j
QD;aptincj992;p0p100;1986;7271.6;992;j
QD;aptincj992;p0p100;1987;7304.6;992;j
QD;aptincj992;p0p100;1988;7489.2;992;j
QD;aptincj992;p0p100;1989;7593.3;992;j
QD;aptincj992;p0p100;1990;7604.3;992;j
QD;aptincj992;p0p100;1991;6602.1;992;j
QD;aptincj992;p0p100;1992;6440.7;992;j
