country;variable;percentile;year;value;age;pop
QF;aptincj992;p0p1;1980;-135;992;j
QF;aptincj992;p0p1;1981;-89.1;992;j
QF;aptincj992;p0p1;1982;0;992;j
QF;aptincj992;p0p1;1983;-99.7;992;j
QF;aptincj992;p0p1;1984;0;992;j
QF;aptincj992;p0p1;1985;0;992;j
QF;aptincj992;p0p1;1986;-81.8;992;j
QF;aptincj992;p0p1;1987;-97.5;992;j
QF;aptincj992;p0p1;1988;0;992;j
QF;aptincj992;p0p1;1989;-45.5;992;j
QF;aptincj992;p0p1;1990;-6.2;992;j
QF;aptincj992;p0p1;1991;0;992;j
QF;aptincj992;p0p1;1992;0;992;j
QF;aptincj992;p0p1;1993;-96.3;992;j
QF;aptincj992;p0p1;1994;0;992;j
QF;aptincj992;p0p1;1995;-137.8;992;j
QF;aptincj992;p0p1;1996;-130;992;j
QF;aptincj992;p0p1;1997;0;992;j
QF;aptincj992;p0p1;1998;0;992;j
QF;aptincj992;p0p1;1999;-31.4;992;j
QF;aptincj992;p0p1;2000;0;992;j
QF;aptincj992;p0p1;2001;0;992;j
QF;aptincj992;p0p1;2002;0;992;j
QF;aptincj992;p0p1;2003;0;992;j
QF;aptincj992;p0p1;2004;0;992;j
QF;aptincj992;p0p1;2005;0;992;j
QF;aptincj992;p0p1;2006;0;992;j
QF;aptincj992;p0p1;2007;0;992;j
QF;aptincj992;p0p1;2008;0;992;j
QF;aptincj992;p0p1;2009;0;992;j
QF;aptincj992;p0p1;2010;-39.3;992;j
QF;aptincj992;p0p1;2011;-18.2;992;j
QF;aptincj992;p0p1;2012;0;992;j
QF;aptincj992;p0p1;2013;0;992;j
QF;aptincj992;p0p1;2014;-120;992;j
QF;aptincj992;p0p1;2015;0;992;j
QF;aptincj992;p0p1;2016;-121.2;992;j
QF;aptincj992;p0p1;2017;0;992;j
QF;aptincj992;p0p1;2018;-32.8;992;j
QF;aptincj992;p0p1;2019;0;992;j
QF;aptincj992;p0p1;2020;-8.8;992;j
QF;aptincj992;p0p1;2021;0;992;j
QF;aptincj992;p0p100;1980;22696.2;992;j
QF;aptincj992;p0p100;1981;23224.3;992;j
QF;aptincj992;p0p100;1982;22728.6;992;j
QF;aptincj992;p0p100;1983;22166.3;992;j
QF;aptincj992;p0p100;1984;22590.2;992;j
QF;aptincj992;p0p100;1985;23061.2;992;j
QF;aptincj992;p0p100;1986;23301.1;992;j
QF;aptincj992;p0p100;1987;23293.9;992;j
QF;aptincj992;p0p100;1988;24113.9;992;j
QF;aptincj992;p0p100;1989;24232.8;992;j
QF;aptincj992;p0p100;1990;24181.3;992;j
QF;aptincj992;p0p100;1991;23214.8;992;j
QF;aptincj992;p0p100;1992;22939.9;992;j
QF;aptincj992;p0p100;1993;23881.5;992;j
QF;aptincj992;p0p100;1994;24602.9;992;j
QF;aptincj992;p0p100;1995;24907.8;992;j
QF;aptincj992;p0p100;1996;25465.5;992;j
QF;aptincj992;p0p100;1997;26156.1;992;j
QF;aptincj992;p0p100;1998;26408;992;j
QF;aptincj992;p0p100;1999;27820.1;992;j
QF;aptincj992;p0p100;2000;28443.8;992;j
QF;aptincj992;p0p100;2001;28573.9;992;j
QF;aptincj992;p0p100;2002;29197.2;992;j
QF;aptincj992;p0p100;2003;29615.7;992;j
QF;aptincj992;p0p100;2004;30379.9;992;j
QF;aptincj992;p0p100;2005;30510.7;992;j
QF;aptincj992;p0p100;2006;30711.6;992;j
QF;aptincj992;p0p100;2007;31164.7;992;j
QF;aptincj992;p0p100;2008;31435.7;992;j
QF;aptincj992;p0p100;2009;31321.7;992;j
QF;aptincj992;p0p100;2010;31283.3;992;j
QF;aptincj992;p0p100;2011;31443.2;992;j
QF;aptincj992;p0p100;2012;31551.2;992;j
QF;aptincj992;p0p100;2013;32117.7;992;j
QF;aptincj992;p0p100;2014;32049.4;992;j
QF;aptincj992;p0p100;2015;31708.4;992;j
QF;aptincj992;p0p100;2016;32250.1;992;j
QF;aptincj992;p0p100;2017;32528.6;992;j
QF;aptincj992;p0p100;2018;32250.1;992;j
QF;aptincj992;p0p100;2019;32648.9;992;j
QF;aptincj992;p0p100;2020;32479;992;j
QF;aptincj992;p0p100;2021;33564.5;992;j
QF;aptincj992;p0p50;1980;6897;992;j
QF;aptincj992;p0p50;1981;6991.3;992;j
QF;aptincj992;p0p50;1982;6737;992;j
QF;aptincj992;p0p50;1983;6607.4;992;j
QF;aptincj992;p0p50;1984;6718.6;992;j
QF;aptincj992;p0p50;1985;6850.6;992;j
QF;aptincj992;p0p50;1986;6810.9;992;j
QF;aptincj992;p0p50;1987;6610.6;992;j
QF;aptincj992;p0p50;1988;6678.3;992;j
QF;aptincj992;p0p50;1989;6875.5;992;j
QF;aptincj992;p0p50;1990;6800.6;992;j
QF;aptincj992;p0p50;1991;6415.5;992;j
QF;aptincj992;p0p50;1992;6318.9;992;j
QF;aptincj992;p0p50;1993;6576.9;992;j
QF;aptincj992;p0p50;1994;6732.4;992;j
QF;aptincj992;p0p50;1995;6793.3;992;j
QF;aptincj992;p0p50;1996;7038.1;992;j
QF;aptincj992;p0p50;1997;6994.1;992;j
QF;aptincj992;p0p50;1998;6844.6;992;j
QF;aptincj992;p0p50;1999;7301.6;992;j
