country;variable;percentile;year;value;age;pop
QG;agdproi992;p0p100;1950;17898.1;992;i
QG;agdproi992;p0p100;1951;17867.9;992;i
QG;agdproi992;p0p100;1952;17833.2;992;i
QG;agdproi992;p0p100;1953;18123.9;992;i
QG;agdproi992;p0p100;1954;19256.6;992;i
QG;agdproi992;p0p100;1955;19892.2;992;i
QG;agdproi992;p0p100;1956;20334.1;992;i
QG;agdproi992;p0p100;1957;20476;992;i
QG;agdproi992;p0p100;1958;21104.6;992;i
QG;agdproi992;p0p100;1959;22094.6;992;i
QG;agdproi992;p0p100;1960;22457;992;i
QG;agdproi992;p0p100;1961;22560.7;992;i
QG;agdproi992;p0p100;1962;22740.6;992;i
QG;agdproi992;p0p100;1963;23552;992;i
QG;agdproi992;p0p100;1964;24765.9;992;i
QG;agdproi992;p0p100;1965;25810.7;992;i
QG;agdproi992;p0p100;1966;25700.3;992;i
QG;agdproi992;p0p100;1967;26115.5;992;i
QG;agdproi992;p0p100;1968;26644.5;992;i
QG;agdproi992;p0p100;1969;27766.1;992;i
QG;agdproi992;p0p100;1970;28914.8;992;i
QG;agdproi992;p0p100;1971;28765.3;992;i
QG;agdproi992;p0p100;1972;29670.6;992;i
QG;agdproi992;p0p100;1973;30200.7;992;i
QG;agdproi992;p0p100;1974;30136.2;992;i
QG;agdproi992;p0p100;1975;30006.8;992;i
QG;agdproi992;p0p100;1976;30414.1;992;i
QG;agdproi992;p0p100;1977;30463.4;992;i
QG;agdproi992;p0p100;1978;30198.2;992;i
QG;agdproi992;p0p100;1979;30738.8;992;i
QG;agdproi992;p0p100;1980;31022.5;992;i
QG;agdproi992;p0p100;1981;31676.4;992;i
QG;agdproi992;p0p100;1982;31183.4;992;i
QG;agdproi992;p0p100;1983;30576;992;i
QG;agdproi992;p0p100;1984;31457.5;992;i
QG;agdproi992;p0p100;1985;32317.4;992;i
QG;agdproi992;p0p100;1986;32781.5;992;i
QG;agdproi992;p0p100;1987;33056.8;992;i
QG;agdproi992;p0p100;1988;34166.1;992;i
QG;agdproi992;p0p100;1989;34437.6;992;i
QG;agdproi992;p0p100;1990;34667.5;992;i
QG;agdproi992;p0p100;1991;33676.4;992;i
QG;agdproi992;p0p100;1992;33100;992;i
QG;agdproi992;p0p100;1993;34247.8;992;i
QG;agdproi992;p0p100;1994;35225.4;992;i
QG;agdproi992;p0p100;1995;35877.5;992;i
QG;agdproi992;p0p100;1996;36650;992;i
QG;agdproi992;p0p100;1997;37467.5;992;i
QG;agdproi992;p0p100;1998;38565.1;992;i
QG;agdproi992;p0p100;1999;39999.2;992;i
QG;agdproi992;p0p100;2000;40953.1;992;i
QG;agdproi992;p0p100;2001;41284.5;992;i
QG;agdproi992;p0p100;2002;42151.4;992;i
QG;agdproi992;p0p100;2003;42864.6;992;i
QG;agdproi992;p0p100;2004;43928;992;i
QG;agdproi992;p0p100;2005;44628;992;i
QG;agdproi992;p0p100;2006;45131.2;992;i
QG;agdproi992;p0p100;2007;46047.4;992;i
QG;agdproi992;p0p100;2008;46493.6;992;i
QG;agdproi992;p0p100;2009;46074.6;992;i
QG;agdproi992;p0p100;2010;46187.3;992;i
QG;agdproi992;p0p100;2011;46269.6;992;i
QG;agdproi992;p0p100;2012;46341.6;992;i
QG;agdproi992;p0p100;2013;47258.9;992;i
QG;agdproi992;p0p100;2014;47193.8;992;i
QG;agdproi992;p0p100;2015;46841.1;992;i
QG;agdproi992;p0p100;2016;47548.2;992;i
QG;agdproi992;p0p100;2017;48360.6;992;i
QG;agdproi992;p0p100;2018;49037.1;992;i
QG;agdproi992;p0p100;2019;49024.1;992;i
QG;agdproi992;p0p100;2020;48846.6;992;i
QG;agdproi992;p0p100;2021;50508.2;992;i
QG;agdproi999;p0p100;1950;11831.3;999;i
QG;agdproi999;p0p100;1951;11735.3;999;i
QG;agdproi999;p0p100;1952;11646.9;999;i
QG;agdproi999;p0p100;1953;11756.7;999;i
QG;agdproi999;p0p100;1954;12392.7;999;i
QG;agdproi999;p0p100;1955;12696.9;999;i
QG;agdproi999;p0p100;1956;12890;999;i
QG;agdproi999;p0p100;1957;12878.8;999;i
QG;agdproi999;p0p100;1958;13175.8;999;i
QG;agdproi999;p0p100;1959;13709.6;999;i
