country;variable;percentile;year;value;age;pop
QH-MER;mgdproi999;p0p100;1950;20278784256;999;i
QH-MER;mgdproi999;p0p100;1951;21217669120;999;i
QH-MER;mgdproi999;p0p100;1952;22504317696;999;i
QH-MER;mgdproi999;p0p100;1953;23029299200;999;i
QH-MER;mgdproi999;p0p100;1954;24431199232;999;i
QH-MER;mgdproi999;p0p100;1955;25367991040;999;i
QH-MER;mgdproi999;p0p100;1956;27722278400;999;i
QH-MER;mgdproi999;p0p100;1957;28768341248;999;i
QH-MER;mgdproi999;p0p100;1958;30108968448;999;i
QH-MER;mgdproi999;p0p100;1959;31279341568;999;i
QH-MER;mgdproi999;p0p100;1960;35402256520;999;i
QH-MER;mgdproi999;p0p100;1961;37067870752;999;i
QH-MER;mgdproi999;p0p100;1962;39838798048;999;i
QH-MER;mgdproi999;p0p100;1963;41929756960;999;i
QH-MER;mgdproi999;p0p100;1964;44553022496;999;i
QH-MER;mgdproi999;p0p100;1965;46275924976;999;i
QH-MER;mgdproi999;p0p100;1966;49265565040;999;i
QH-MER;mgdproi999;p0p100;1967;51151333968;999;i
QH-MER;mgdproi999;p0p100;1968;54083634336;999;i
QH-MER;mgdproi999;p0p100;1969;57997372512;999;i
QH-MER;mgdproi999;p0p100;1970;66363649356;999;i
QH-MER;mgdproi999;p0p100;1971;70054420632;999;i
QH-MER;mgdproi999;p0p100;1972;74941785176;999;i
QH-MER;mgdproi999;p0p100;1973;78036928944;999;i
QH-MER;mgdproi999;p0p100;1974;78528830972;999;i
QH-MER;mgdproi999;p0p100;1975;79974331456;999;i
QH-MER;mgdproi999;p0p100;1976;83919278464;999;i
QH-MER;mgdproi999;p0p100;1977;88509058480;999;i
QH-MER;mgdproi999;p0p100;1978;94174431084;999;i
QH-MER;mgdproi999;p0p100;1979;99939106012;999;i
QH-MER;mgdproi999;p0p100;1980;103747991312;999;i
QH-MER;mgdproi999;p0p100;1981;104045642016;999;i
QH-MER;mgdproi999;p0p100;1982;103828617608;999;i
QH-MER;mgdproi999;p0p100;1983;105111103768;999;i
QH-MER;mgdproi999;p0p100;1984;108065944984;999;i
QH-MER;mgdproi999;p0p100;1985;109928148520;999;i
QH-MER;mgdproi999;p0p100;1986;113848052760;999;i
QH-MER;mgdproi999;p0p100;1987;119551560032;999;i
QH-MER;mgdproi999;p0p100;1988;123848088032;999;i
QH-MER;mgdproi999;p0p100;1989;126302945072;999;i
QH-MER;mgdproi999;p0p100;1990;126154975952;999;i
QH-MER;mgdproi999;p0p100;1991;128920717856;999;i
QH-MER;mgdproi999;p0p100;1992;133922489488;999;i
QH-MER;mgdproi999;p0p100;1993;138736574656;999;i
QH-MER;mgdproi999;p0p100;1994;142934895296;999;i
QH-MER;mgdproi999;p0p100;1995;148765102944;999;i
QH-MER;mgdproi999;p0p100;1996;154635591840;999;i
QH-MER;mgdproi999;p0p100;1997;162890491072;999;i
QH-MER;mgdproi999;p0p100;1998;170881860544;999;i
QH-MER;mgdproi999;p0p100;1999;178798037376;999;i
QH-MER;mgdproi999;p0p100;2000;189335948992;999;i
QH-MER;mgdproi999;p0p100;2001;194107348512;999;i
QH-MER;mgdproi999;p0p100;2002;201987877792;999;i
QH-MER;mgdproi999;p0p100;2003;208771385152;999;i
