country;variable;percentile;year;value;age;pop
QH;agdproi992;p0p100;1950;3291;992;i
QH;agdproi992;p0p100;1951;3398.4;992;i
QH;agdproi992;p0p100;1952;3550.2;992;i
QH;agdproi992;p0p100;1953;3559.5;992;i
QH;agdproi992;p0p100;1954;3726.2;992;i
QH;agdproi992;p0p100;1955;3793;992;i
QH;agdproi992;p0p100;1956;4091.5;992;i
QH;agdproi992;p0p100;1957;4170.3;992;i
QH;agdproi992;p0p100;1958;4292.8;992;i
QH;agdproi992;p0p100;1959;4334.5;992;i
QH;agdproi992;p0p100;1960;4770.4;992;i
QH;agdproi992;p0p100;1961;4835.8;992;i
QH;agdproi992;p0p100;1962;5100.7;992;i
QH;agdproi992;p0p100;1963;5244;992;i
QH;agdproi992;p0p100;1964;5446.7;992;i
QH;agdproi992;p0p100;1965;5460.9;992;i
QH;agdproi992;p0p100;1966;5746.1;992;i
QH;agdproi992;p0p100;1967;5836.9;992;i
QH;agdproi992;p0p100;1968;6024.1;992;i
QH;agdproi992;p0p100;1969;6326.3;992;i
QH;agdproi992;p0p100;1970;7005.9;992;i
QH;agdproi992;p0p100;1971;7235.9;992;i
QH;agdproi992;p0p100;1972;7629.1;992;i
QH;agdproi992;p0p100;1973;7786.9;992;i
QH;agdproi992;p0p100;1974;7703.7;992;i
QH;agdproi992;p0p100;1975;7690.3;992;i
QH;agdproi992;p0p100;1976;7863.2;992;i
QH;agdproi992;p0p100;1977;8071.4;992;i
QH;agdproi992;p0p100;1978;8338.3;992;i
QH;agdproi992;p0p100;1979;8608.3;992;i
QH;agdproi992;p0p100;1980;8747.9;992;i
QH;agdproi992;p0p100;1981;8589.6;992;i
QH;agdproi992;p0p100;1982;8395.5;992;i
QH;agdproi992;p0p100;1983;8303.4;992;i
QH;agdproi992;p0p100;1984;8282.8;992;i
QH;agdproi992;p0p100;1985;8161.7;992;i
QH;agdproi992;p0p100;1986;8229.8;992;i
QH;agdproi992;p0p100;1987;8461.6;992;i
QH;agdproi992;p0p100;1988;8525.8;992;i
QH;agdproi992;p0p100;1989;8530.9;992;i
QH;agdproi992;p0p100;1990;8315.9;992;i
QH;agdproi992;p0p100;1991;8310.8;992;i
QH;agdproi992;p0p100;1992;8494.7;992;i
QH;agdproi992;p0p100;1993;8641.4;992;i
QH;agdproi992;p0p100;1994;8702.8;992;i
QH;agdproi992;p0p100;1995;8926.4;992;i
QH;agdproi992;p0p100;1996;9129.6;992;i
QH;agdproi992;p0p100;1997;9480.4;992;i
QH;agdproi992;p0p100;1998;9784.4;992;i
QH;agdproi992;p0p100;1999;10102.8;992;i
QH;agdproi992;p0p100;2000;10511.6;992;i
QH;agdproi992;p0p100;2001;10613.2;992;i
QH;agdproi992;p0p100;2002;10863.9;992;i
QH;agdproi992;p0p100;2003;11019;992;i
QH;agdproi992;p0p100;2004;11177.9;992;i
QH;agdproi992;p0p100;2005;11383.9;992;i
QH;agdproi992;p0p100;2006;11668.4;992;i
QH;agdproi992;p0p100;2007;11818.3;992;i
QH;agdproi992;p0p100;2008;11763.4;992;i
QH;agdproi992;p0p100;2009;11450.3;992;i
QH;agdproi992;p0p100;2010;11559.5;992;i
QH;agdproi992;p0p100;2011;11554.2;992;i
QH;agdproi992;p0p100;2012;11510.1;992;i
QH;agdproi992;p0p100;2013;11565.8;992;i
QH;agdproi992;p0p100;2014;11697.6;992;i
QH;agdproi992;p0p100;2015;11885.3;992;i
QH;agdproi992;p0p100;2016;11980.1;992;i
QH;agdproi992;p0p100;2017;11979.5;992;i
QH;agdproi992;p0p100;2018;12209.6;992;i
QH;agdproi992;p0p100;2019;12311.6;992;i
QH;agdproi992;p0p100;2020;11254.1;992;i
QH;agdproi992;p0p100;2021;11492.9;992;i
QH;agdproi999;p0p100;1950;1651.5;999;i
QH;agdproi999;p0p100;1951;1705.5;999;i
QH;agdproi999;p0p100;1952;1778.8;999;i
QH;agdproi999;p0p100;1953;1779.7;999;i
QH;agdproi999;p0p100;1954;1860.7;999;i
QH;agdproi999;p0p100;1955;1894.1;999;i
QH;agdproi999;p0p100;1956;2037.9;999;i
QH;agdproi999;p0p100;1957;2076.2;999;i
QH;agdproi999;p0p100;1958;2137.5;999;i
QH;agdproi999;p0p100;1959;2155.9;999;i
QH;agdproi999;p0p100;1960;2365;999;i
QH;agdproi999;p0p100;1961;2398.7;999;i
QH;agdproi999;p0p100;1962;2524;999;i
QH;agdproi999;p0p100;1963;2585;999;i
QH;agdproi999;p0p100;1964;2676.8;999;i
QH;agdproi999;p0p100;1965;2680.5;999;i
QH;agdproi999;p0p100;1966;2804.1;999;i
QH;agdproi999;p0p100;1967;2842.7;999;i
QH;agdproi999;p0p100;1968;2935.1;999;i
QH;agdproi999;p0p100;1969;3084.7;999;i
QH;agdproi999;p0p100;1970;3396.1;999;i
QH;agdproi999;p0p100;1971;3522.5;999;i
QH;agdproi999;p0p100;1972;3725.3;999;i
QH;agdproi999;p0p100;1973;3812.6;999;i
QH;agdproi999;p0p100;1974;3785.6;999;i
QH;agdproi999;p0p100;1975;3798.6;999;i
QH;agdproi999;p0p100;1976;3908.3;999;i
QH;agdproi999;p0p100;1977;4041.7;999;i
QH;agdproi999;p0p100;1978;4210.3;999;i
QH;agdproi999;p0p100;1979;4384.5;999;i
QH;agdproi999;p0p100;1980;4495.4;999;i
QH;agdproi999;p0p100;1981;4463.6;999;i
QH;agdproi999;p0p100;1982;4408.3;999;i
QH;agdproi999;p0p100;1983;4402.7;999;i
QH;agdproi999;p0p100;1984;4434.3;999;i
QH;agdproi999;p0p100;1985;4412;999;i
QH;agdproi999;p0p100;1986;4486.2;999;i
QH;agdproi999;p0p100;1987;4654.5;999;i
QH;agdproi999;p0p100;1988;4732.6;999;i
QH;agdproi999;p0p100;1989;4775.4;999;i
QH;agdproi999;p0p100;1990;4690.6;999;i
QH;agdproi999;p0p100;1991;4726.5;999;i
QH;agdproi999;p0p100;1992;4870;999;i
QH;agdproi999;p0p100;1993;4991;999;i
QH;agdproi999;p0p100;1994;5059.4;999;i
QH;agdproi999;p0p100;1995;5218.1;999;i
QH;agdproi999;p0p100;1996;5370;999;i
QH;agdproi999;p0p100;1997;5602.2;999;i
QH;agdproi999;p0p100;1998;5803.9;999;i
QH;agdproi999;p0p100;1999;6016.4;999;i
QH;agdproi999;p0p100;2000;6288.8;999;i
QH;agdproi999;p0p100;2001;6381.3;999;i
QH;agdproi999;p0p100;2002;6570.2;999;i
QH;agdproi999;p0p100;2003;6706.1;999;i
QH;agdproi999;p0p100;2004;6845.8;999;i
QH;agdproi999;p0p100;2005;7014.8;999;i
QH;agdproi999;p0p100;2006;7238.6;999;i
QH;agdproi999;p0p100;2007;7380.2;999;i
QH;agdproi999;p0p100;2008;7393.4;999;i
QH;agdproi999;p0p100;2009;7242;999;i
QH;agdproi999;p0p100;2010;7355.9;999;i
QH;agdproi999;p0p100;2011;7398.7;999;i
QH;agdproi999;p0p100;2012;7413.6;999;i
QH;agdproi999;p0p100;2013;7525.5;999;i
QH;agdproi999;p0p100;2014;7651.6;999;i
