country;variable;percentile;year;value;age;pop
QI;agdproi992;p0p100;1950;7226.7;992;i
QI;agdproi992;p0p100;1951;7539.5;992;i
QI;agdproi992;p0p100;1952;7717.7;992;i
QI;agdproi992;p0p100;1953;7662.7;992;i
QI;agdproi992;p0p100;1954;8102.8;992;i
QI;agdproi992;p0p100;1955;8530.9;992;i
QI;agdproi992;p0p100;1956;8886.6;992;i
QI;agdproi992;p0p100;1957;9324.3;992;i
QI;agdproi992;p0p100;1958;9556.3;992;i
QI;agdproi992;p0p100;1959;9618.8;992;i
QI;agdproi992;p0p100;1960;10064.7;992;i
QI;agdproi992;p0p100;1961;10283.8;992;i
QI;agdproi992;p0p100;1962;10526.4;992;i
QI;agdproi992;p0p100;1963;11048.4;992;i
QI;agdproi992;p0p100;1964;11905.8;992;i
QI;agdproi992;p0p100;1965;12389.4;992;i
QI;agdproi992;p0p100;1966;12784.2;992;i
QI;agdproi992;p0p100;1967;13163.5;992;i
QI;agdproi992;p0p100;1968;13918.1;992;i
QI;agdproi992;p0p100;1969;14025.9;992;i
QI;agdproi992;p0p100;1970;14460.6;992;i
QI;agdproi992;p0p100;1971;14618.3;992;i
QI;agdproi992;p0p100;1972;15292.3;992;i
QI;agdproi992;p0p100;1973;15953.7;992;i
QI;agdproi992;p0p100;1974;16360;992;i
QI;agdproi992;p0p100;1975;16643.4;992;i
QI;agdproi992;p0p100;1976;16866.8;992;i
QI;agdproi992;p0p100;1977;16993.5;992;i
QI;agdproi992;p0p100;1978;17902.7;992;i
QI;agdproi992;p0p100;1979;18602.6;992;i
QI;agdproi992;p0p100;1980;19388.3;992;i
QI;agdproi992;p0p100;1981;20148;992;i
QI;agdproi992;p0p100;1982;19347.2;992;i
QI;agdproi992;p0p100;1983;18163.8;992;i
QI;agdproi992;p0p100;1984;18163.5;992;i
QI;agdproi992;p0p100;1985;17932.3;992;i
QI;agdproi992;p0p100;1986;16428.6;992;i
QI;agdproi992;p0p100;1987;16496.5;992;i
QI;agdproi992;p0p100;1988;16278.5;992;i
QI;agdproi992;p0p100;1989;16433;992;i
QI;agdproi992;p0p100;1990;16175.5;992;i
QI;agdproi992;p0p100;1991;16436.8;992;i
QI;agdproi992;p0p100;1992;16636.4;992;i
QI;agdproi992;p0p100;1993;20042.4;992;i
QI;agdproi992;p0p100;1994;20479.7;992;i
QI;agdproi992;p0p100;1995;19017.1;992;i
QI;agdproi992;p0p100;1996;19194.1;992;i
QI;agdproi992;p0p100;1997;20077.6;992;i
QI;agdproi992;p0p100;1998;20648.9;992;i
QI;agdproi992;p0p100;1999;20879.5;992;i
QI;agdproi992;p0p100;2000;21241.6;992;i
QI;agdproi992;p0p100;2001;20771.7;992;i
QI;agdproi992;p0p100;2002;20135.6;992;i
QI;agdproi992;p0p100;2003;19303.2;992;i
QI;agdproi992;p0p100;2004;19590.4;992;i
QI;agdproi992;p0p100;2005;19784.2;992;i
QI;agdproi992;p0p100;2006;20283.8;992;i
QI;agdproi992;p0p100;2007;20573.9;992;i
QI;agdproi992;p0p100;2008;20466.7;992;i
QI;agdproi992;p0p100;2009;19179.5;992;i
QI;agdproi992;p0p100;2010;19695.4;992;i
QI;agdproi992;p0p100;2011;20105.8;992;i
QI;agdproi992;p0p100;2012;20580.5;992;i
QI;agdproi992;p0p100;2013;20500.6;992;i
QI;agdproi992;p0p100;2014;20656.5;992;i
QI;agdproi992;p0p100;2015;20907;992;i
QI;agdproi992;p0p100;2016;21056.7;992;i
QI;agdproi992;p0p100;2017;21136.9;992;i
QI;agdproi992;p0p100;2018;21192.3;992;i
