country;variable;percentile;year;value;age;pop
QK;aptincj992;p0p1;1980;0;992;j
QK;aptincj992;p0p1;1981;0;992;j
QK;aptincj992;p0p1;1982;0;992;j
QK;aptincj992;p0p1;1983;0;992;j
QK;aptincj992;p0p1;1984;0;992;j
QK;aptincj992;p0p1;1985;0;992;j
QK;aptincj992;p0p1;1986;0;992;j
QK;aptincj992;p0p1;1987;0;992;j
QK;aptincj992;p0p1;1988;0;992;j
QK;aptincj992;p0p1;1989;0;992;j
QK;aptincj992;p0p1;1990;0;992;j
QK;aptincj992;p0p1;1991;0;992;j
QK;aptincj992;p0p1;1992;0;992;j
QK;aptincj992;p0p1;1993;0;992;j
QK;aptincj992;p0p1;1994;0;992;j
QK;aptincj992;p0p1;1995;0;992;j
QK;aptincj992;p0p1;1996;0;992;j
QK;aptincj992;p0p1;1997;0;992;j
QK;aptincj992;p0p1;1998;0;992;j
QK;aptincj992;p0p1;1999;0;992;j
QK;aptincj992;p0p1;2000;0;992;j
QK;aptincj992;p0p1;2001;0;992;j
QK;aptincj992;p0p1;2002;0;992;j
QK;aptincj992;p0p1;2003;0;992;j
QK;aptincj992;p0p1;2004;0;992;j
QK;aptincj992;p0p1;2005;0;992;j
QK;aptincj992;p0p1;2006;0;992;j
QK;aptincj992;p0p1;2007;0;992;j
QK;aptincj992;p0p1;2008;0;992;j
QK;aptincj992;p0p1;2009;0;992;j
QK;aptincj992;p0p1;2010;0;992;j
QK;aptincj992;p0p1;2011;0;992;j
QK;aptincj992;p0p1;2012;0;992;j
QK;aptincj992;p0p1;2013;0;992;j
QK;aptincj992;p0p1;2014;0;992;j
QK;aptincj992;p0p1;2015;0;992;j
QK;aptincj992;p0p1;2016;0;992;j
QK;aptincj992;p0p1;2017;0;992;j
QK;aptincj992;p0p1;2018;0;992;j
QK;aptincj992;p0p1;2019;0;992;j
QK;aptincj992;p0p1;2020;0;992;j
QK;aptincj992;p0p1;2021;0;992;j
QK;aptincj992;p0p100;1980;2547.2;992;j
QK;aptincj992;p0p100;1981;2558.1;992;j
QK;aptincj992;p0p100;1982;2542.8;992;j
QK;aptincj992;p0p100;1983;2476.4;992;j
QK;aptincj992;p0p100;1984;2382;992;j
QK;aptincj992;p0p100;1985;2373.9;992;j
QK;aptincj992;p0p100;1986;2420.9;992;j
QK;aptincj992;p0p100;1987;2463.9;992;j
QK;aptincj992;p0p100;1988;2500.5;992;j
QK;aptincj992;p0p100;1989;2538.1;992;j
QK;aptincj992;p0p100;1990;2556.2;992;j
QK;aptincj992;p0p100;1991;2489.8;992;j
QK;aptincj992;p0p100;1992;2381.6;992;j
QK;aptincj992;p0p100;1993;2437.9;992;j
QK;aptincj992;p0p100;1994;2404.5;992;j
QK;aptincj992;p0p100;1995;2445.5;992;j
QK;aptincj992;p0p100;1996;2534.3;992;j
QK;aptincj992;p0p100;1997;2546.3;992;j
QK;aptincj992;p0p100;1998;2548.2;992;j
QK;aptincj992;p0p100;1999;2582.7;992;j
QK;aptincj992;p0p100;2000;2556.9;992;j
QK;aptincj992;p0p100;2001;2616.1;992;j
QK;aptincj992;p0p100;2002;2555.3;992;j
QK;aptincj992;p0p100;2003;2558.6;992;j
QK;aptincj992;p0p100;2004;2624.9;992;j
QK;aptincj992;p0p100;2005;2712.9;992;j
QK;aptincj992;p0p100;2006;2828.8;992;j
QK;aptincj992;p0p100;2007;2943.3;992;j
QK;aptincj992;p0p100;2008;2970.5;992;j
QK;aptincj992;p0p100;2009;3028.9;992;j
QK;aptincj992;p0p100;2010;3161.8;992;j
QK;aptincj992;p0p100;2011;3278.7;992;j
QK;aptincj992;p0p100;2012;3381.2;992;j
QK;aptincj992;p0p100;2013;3433.7;992;j
QK;aptincj992;p0p100;2014;3500.2;992;j
QK;aptincj992;p0p100;2015;3565.9;992;j
QK;aptincj992;p0p100;2016;3606.3;992;j
QK;aptincj992;p0p100;2017;3638.2;992;j
QK;aptincj992;p0p100;2018;3741.6;992;j
QK;aptincj992;p0p100;2019;3732.5;992;j
QK;aptincj992;p0p100;2020;3622.8;992;j
QK;aptincj992;p0p100;2021;3655.9;992;j
QK;aptincj992;p0p50;1980;470.3;992;j
QK;aptincj992;p0p50;1981;467.2;992;j
QK;aptincj992;p0p50;1982;469.5;992;j
QK;aptincj992;p0p50;1983;455.1;992;j
QK;aptincj992;p0p50;1984;429.4;992;j
QK;aptincj992;p0p50;1985;415.5;992;j
QK;aptincj992;p0p50;1986;427;992;j
QK;aptincj992;p0p50;1987;435.2;992;j
QK;aptincj992;p0p50;1988;433.1;992;j
QK;aptincj992;p0p50;1989;431.6;992;j
QK;aptincj992;p0p50;1990;422.2;992;j
QK;aptincj992;p0p50;1991;395.4;992;j
QK;aptincj992;p0p50;1992;385.7;992;j
QK;aptincj992;p0p50;1993;413.2;992;j
QK;aptincj992;p0p50;1994;396.2;992;j
QK;aptincj992;p0p50;1995;411.3;992;j
QK;aptincj992;p0p50;1996;446.8;992;j
QK;aptincj992;p0p50;1997;468.1;992;j
QK;aptincj992;p0p50;1998;478.9;992;j
QK;aptincj992;p0p50;1999;511.4;992;j
QK;aptincj992;p0p50;2000;513.1;992;j
QK;aptincj992;p0p50;2001;517.2;992;j
