country;variable;percentile;year;value;age;pop
QL-MER;aptincj992;p0p1;1980;-628.2;992;j
QL-MER;aptincj992;p0p1;1981;-738.4;992;j
QL-MER;aptincj992;p0p1;1982;-555;992;j
QL-MER;aptincj992;p0p1;1983;-539.8;992;j
QL-MER;aptincj992;p0p1;1984;-400.9;992;j
QL-MER;aptincj992;p0p1;1985;-667.9;992;j
QL-MER;aptincj992;p0p1;1986;0;992;j
QL-MER;aptincj992;p0p1;1987;0;992;j
QL-MER;aptincj992;p0p1;1988;0;992;j
QL-MER;aptincj992;p0p1;1989;0;992;j
QL-MER;aptincj992;p0p1;1990;0;992;j
QL-MER;aptincj992;p0p1;1991;0;992;j
QL-MER;aptincj992;p0p1;1992;0;992;j
QL-MER;aptincj992;p0p1;1993;0;992;j
QL-MER;aptincj992;p0p1;1994;0;992;j
QL-MER;aptincj992;p0p1;1995;-501.6;992;j
QL-MER;aptincj992;p0p1;1996;-222;992;j
QL-MER;aptincj992;p0p1;1997;-273;992;j
QL-MER;aptincj992;p0p1;1998;-377.6;992;j
QL-MER;aptincj992;p0p1;1999;-185.3;992;j
QL-MER;aptincj992;p0p1;2000;-284.1;992;j
QL-MER;aptincj992;p0p1;2001;-338.4;992;j
QL-MER;aptincj992;p0p1;2002;-850;992;j
QL-MER;aptincj992;p0p1;2003;-1328.4;992;j
QL-MER;aptincj992;p0p1;2004;-1428.6;992;j
QL-MER;aptincj992;p0p1;2005;-623.9;992;j
QL-MER;aptincj992;p0p1;2006;0;992;j
QL-MER;aptincj992;p0p1;2007;0;992;j
QL-MER;aptincj992;p0p1;2008;0;992;j
QL-MER;aptincj992;p0p1;2009;0;992;j
QL-MER;aptincj992;p0p1;2010;0;992;j
QL-MER;aptincj992;p0p1;2011;0;992;j
QL-MER;aptincj992;p0p1;2012;-32.4;992;j
QL-MER;aptincj992;p0p1;2013;0;992;j
QL-MER;aptincj992;p0p1;2014;0;992;j
QL-MER;aptincj992;p0p1;2015;0;992;j
QL-MER;aptincj992;p0p1;2016;-19.2;992;j
QL-MER;aptincj992;p0p1;2017;0;992;j
QL-MER;aptincj992;p0p1;2018;-29.5;992;j
QL-MER;aptincj992;p0p1;2019;-36.8;992;j
QL-MER;aptincj992;p0p1;2020;0;992;j
QL-MER;aptincj992;p0p1;2021;-50.5;992;j
QL-MER;aptincj992;p0p100;1980;4204.6;992;j
QL-MER;aptincj992;p0p100;1981;4300.3;992;j
QL-MER;aptincj992;p0p100;1982;4443.7;992;j
QL-MER;aptincj992;p0p100;1983;4519.1;992;j
QL-MER;aptincj992;p0p100;1984;4713.4;992;j
QL-MER;aptincj992;p0p100;1985;4892.8;992;j
QL-MER;aptincj992;p0p100;1986;4956.5;992;j
QL-MER;aptincj992;p0p100;1987;5108.8;992;j
QL-MER;aptincj992;p0p100;1988;5340.4;992;j
QL-MER;aptincj992;p0p100;1989;5442.1;992;j
