country;variable;percentile;year;value;age;pop
QL;aptincj992;p0p1;1980;-705.7;992;j
QL;aptincj992;p0p1;1981;-856.7;992;j
QL;aptincj992;p0p1;1982;-623.5;992;j
QL;aptincj992;p0p1;1983;-569.6;992;j
QL;aptincj992;p0p1;1984;-584.3;992;j
QL;aptincj992;p0p1;1985;-658.9;992;j
QL;aptincj992;p0p1;1986;0;992;j
QL;aptincj992;p0p1;1987;0;992;j
QL;aptincj992;p0p1;1988;0;992;j
QL;aptincj992;p0p1;1989;0;992;j
QL;aptincj992;p0p1;1990;0;992;j
QL;aptincj992;p0p1;1991;0;992;j
QL;aptincj992;p0p1;1992;0;992;j
QL;aptincj992;p0p1;1993;0;992;j
QL;aptincj992;p0p1;1994;0;992;j
QL;aptincj992;p0p1;1995;-590.1;992;j
QL;aptincj992;p0p1;1996;-204.1;992;j
QL;aptincj992;p0p1;1997;-183.5;992;j
QL;aptincj992;p0p1;1998;-290.4;992;j
QL;aptincj992;p0p1;1999;-207.2;992;j
QL;aptincj992;p0p1;2000;-186.7;992;j
QL;aptincj992;p0p1;2001;-330.6;992;j
QL;aptincj992;p0p1;2002;-1130.3;992;j
QL;aptincj992;p0p1;2003;-1439.3;992;j
QL;aptincj992;p0p1;2004;-998.2;992;j
QL;aptincj992;p0p1;2005;-727.9;992;j
QL;aptincj992;p0p1;2006;0;992;j
QL;aptincj992;p0p1;2007;0;992;j
QL;aptincj992;p0p1;2008;0;992;j
QL;aptincj992;p0p1;2009;0;992;j
QL;aptincj992;p0p1;2010;0;992;j
QL;aptincj992;p0p1;2011;0;992;j
QL;aptincj992;p0p1;2012;0;992;j
QL;aptincj992;p0p1;2013;0;992;j
QL;aptincj992;p0p1;2014;0;992;j
QL;aptincj992;p0p1;2015;0;992;j
QL;aptincj992;p0p1;2016;0;992;j
QL;aptincj992;p0p1;2017;0;992;j
QL;aptincj992;p0p1;2018;0;992;j
QL;aptincj992;p0p1;2019;0;992;j
QL;aptincj992;p0p1;2020;0;992;j
QL;aptincj992;p0p1;2021;0;992;j
QL;aptincj992;p0p100;1980;4674.6;992;j
QL;aptincj992;p0p100;1981;4800.6;992;j
QL;aptincj992;p0p100;1982;4985.8;992;j
