country;variable;percentile;year;value;age;pop
QP;aptincj992;p0p1;1980;-182.5;992;j
QP;aptincj992;p0p1;1981;-296.9;992;j
QP;aptincj992;p0p1;1982;-510.1;992;j
QP;aptincj992;p0p1;1983;-793.5;992;j
QP;aptincj992;p0p1;1984;-627.1;992;j
QP;aptincj992;p0p1;1985;-785;992;j
QP;aptincj992;p0p1;1986;-1089.4;992;j
QP;aptincj992;p0p1;1987;-938.7;992;j
QP;aptincj992;p0p1;1988;-1050.7;992;j
QP;aptincj992;p0p1;1989;-880.3;992;j
QP;aptincj992;p0p1;1990;-2037.6;992;j
QP;aptincj992;p0p1;1991;-873.9;992;j
QP;aptincj992;p0p1;1992;-902.2;992;j
QP;aptincj992;p0p1;1993;-731.6;992;j
QP;aptincj992;p0p1;1994;-613.8;992;j
QP;aptincj992;p0p1;1995;-631.1;992;j
QP;aptincj992;p0p1;1996;-585.8;992;j
QP;aptincj992;p0p1;1997;-594.8;992;j
QP;aptincj992;p0p1;1998;-642.7;992;j
QP;aptincj992;p0p1;1999;-554.9;992;j
QP;aptincj992;p0p1;2000;-614.4;992;j
QP;aptincj992;p0p1;2001;-622.6;992;j
QP;aptincj992;p0p1;2002;-552.1;992;j
QP;aptincj992;p0p1;2003;-688.3;992;j
QP;aptincj992;p0p1;2004;-701.7;992;j
QP;aptincj992;p0p1;2005;-883.2;992;j
QP;aptincj992;p0p1;2006;-979.7;992;j
QP;aptincj992;p0p1;2007;-959;992;j
QP;aptincj992;p0p1;2008;-1327.1;992;j
QP;aptincj992;p0p1;2009;-1614;992;j
QP;aptincj992;p0p1;2010;-1721.2;992;j
QP;aptincj992;p0p1;2011;-1625.3;992;j
QP;aptincj992;p0p1;2012;-1617.3;992;j
QP;aptincj992;p0p1;2013;-1615.4;992;j
QP;aptincj992;p0p1;2014;-1774.6;992;j
QP;aptincj992;p0p1;2015;-1865.2;992;j
QP;aptincj992;p0p1;2016;-2005.5;992;j
QP;aptincj992;p0p1;2017;-1787.7;992;j
QP;aptincj992;p0p1;2018;-1965.2;992;j
QP;aptincj992;p0p1;2019;-1967;992;j
QP;aptincj992;p0p1;2020;-2495.4;992;j
QP;aptincj992;p0p1;2021;-1595.9;992;j
QP;aptincj992;p0p100;1980;29837.2;992;j
QP;aptincj992;p0p100;1981;30082.2;992;j
QP;aptincj992;p0p100;1982;29049;992;j
QP;aptincj992;p0p100;1983;29581.2;992;j
QP;aptincj992;p0p100;1984;31562.7;992;j
QP;aptincj992;p0p100;1985;32224;992;j
QP;aptincj992;p0p100;1986;32521.4;992;j
QP;aptincj992;p0p100;1987;33582.6;992;j
QP;aptincj992;p0p100;1988;35033;992;j
QP;aptincj992;p0p100;1989;35531.9;992;j
QP;aptincj992;p0p100;1990;35553.1;992;j
QP;aptincj992;p0p100;1991;34881.2;992;j
QP;aptincj992;p0p100;1992;35567.8;992;j
QP;aptincj992;p0p100;1993;35946.7;992;j
QP;aptincj992;p0p100;1994;37183.7;992;j
QP;aptincj992;p0p100;1995;38002.9;992;j
QP;aptincj992;p0p100;1996;39187.1;992;j
QP;aptincj992;p0p100;1997;40685.4;992;j
QP;aptincj992;p0p100;1998;42299.4;992;j
QP;aptincj992;p0p100;1999;43691.4;992;j
QP;aptincj992;p0p100;2000;45214.3;992;j
QP;aptincj992;p0p100;2001;45038;992;j
QP;aptincj992;p0p100;2002;45083.1;992;j
QP;aptincj992;p0p100;2003;45595.4;992;j
QP;aptincj992;p0p100;2004;46931.7;992;j
QP;aptincj992;p0p100;2005;47987.5;992;j
QP;aptincj992;p0p100;2006;49113.6;992;j
QP;aptincj992;p0p100;2007;48755;992;j
QP;aptincj992;p0p100;2008;47490.6;992;j
QP;aptincj992;p0p100;2009;45218.5;992;j
QP;aptincj992;p0p100;2010;46666;992;j
QP;aptincj992;p0p100;2011;47566.4;992;j
QP;aptincj992;p0p100;2012;48632.6;992;j
QP;aptincj992;p0p100;2013;48969.2;992;j
QP;aptincj992;p0p100;2014;50019.5;992;j
QP;aptincj992;p0p100;2015;51185.6;992;j
QP;aptincj992;p0p100;2016;50915.5;992;j
QP;aptincj992;p0p100;2017;51716;992;j
QP;aptincj992;p0p100;2018;52496.7;992;j
QP;aptincj992;p0p100;2019;52638.8;992;j
QP;aptincj992;p0p100;2020;50062.7;992;j
QP;aptincj992;p0p100;2021;53401.4;992;j
QP;aptincj992;p0p50;1980;11796.4;992;j
QP;aptincj992;p0p50;1981;11739.3;992;j
QP;aptincj992;p0p50;1982;11064.5;992;j
QP;aptincj992;p0p50;1983;10814.1;992;j
QP;aptincj992;p0p50;1984;11346.1;992;j
QP;aptincj992;p0p50;1985;11574.1;992;j
QP;aptincj992;p0p50;1986;11541.6;992;j
QP;aptincj992;p0p50;1987;11755.9;992;j
QP;aptincj992;p0p50;1988;11963.8;992;j
QP;aptincj992;p0p50;1989;12170.4;992;j
QP;aptincj992;p0p50;1990;12140;992;j
QP;aptincj992;p0p50;1991;11794.4;992;j
QP;aptincj992;p0p50;1992;11530.2;992;j
QP;aptincj992;p0p50;1993;11671.3;992;j
QP;aptincj992;p0p50;1994;11959.6;992;j
QP;aptincj992;p0p50;1995;12066.1;992;j
QP;aptincj992;p0p50;1996;12210.6;992;j
QP;aptincj992;p0p50;1997;12447.3;992;j
QP;aptincj992;p0p50;1998;12937.3;992;j
QP;aptincj992;p0p50;1999;13308.4;992;j
QP;aptincj992;p0p50;2000;13628.1;992;j
QP;aptincj992;p0p50;2001;13793;992;j
QP;aptincj992;p0p50;2002;13926.4;992;j
QP;aptincj992;p0p50;2003;13853.7;992;j
QP;aptincj992;p0p50;2004;14006.8;992;j
QP;aptincj992;p0p50;2005;13960.8;992;j
QP;aptincj992;p0p50;2006;14014.3;992;j
QP;aptincj992;p0p50;2007;14168.3;992;j
QP;aptincj992;p0p50;2008;13745.3;992;j
QP;aptincj992;p0p50;2009;13098.4;992;j
QP;aptincj992;p0p50;2010;13094.6;992;j
QP;aptincj992;p0p50;2011;13086.5;992;j
QP;aptincj992;p0p50;2012;13019.4;992;j
QP;aptincj992;p0p50;2013;13344.7;992;j
QP;aptincj992;p0p50;2014;13329.9;992;j
QP;aptincj992;p0p50;2015;13710.1;992;j
QP;aptincj992;p0p50;2016;13501.5;992;j
QP;aptincj992;p0p50;2017;14086.2;992;j
QP;aptincj992;p0p50;2018;14177.8;992;j
QP;aptincj992;p0p50;2019;14439.2;992;j
QP;aptincj992;p0p50;2020;13946.5;992;j
QP;aptincj992;p0p50;2021;14848.4;992;j
QP;aptincj992;p10p100;1980;32787.2;992;j
QP;aptincj992;p10p100;1981;33082.4;992;j
QP;aptincj992;p10p100;1982;31993.6;992;j
QP;aptincj992;p10p100;1983;32620;992;j
QP;aptincj992;p10p100;1984;34794.5;992;j
QP;aptincj992;p10p100;1985;35534.2;992;j
QP;aptincj992;p10p100;1986;35885.7;992;j
QP;aptincj992;p10p100;1987;37059.4;992;j
QP;aptincj992;p10p100;1988;38669.6;992;j
QP;aptincj992;p10p100;1989;39214.9;992;j
QP;aptincj992;p10p100;1990;39258.5;992;j
QP;aptincj992;p10p100;1991;38528.5;992;j
QP;aptincj992;p10p100;1992;39308.4;992;j
QP;aptincj992;p10p100;1993;39725.4;992;j
QP;aptincj992;p10p100;1994;41078.4;992;j
QP;aptincj992;p10p100;1995;41988.3;992;j
QP;aptincj992;p10p100;1996;43305.8;992;j
QP;aptincj992;p10p100;1997;44956.9;992;j
QP;aptincj992;p10p100;1998;46746.4;992;j
QP;aptincj992;p10p100;1999;48284.5;992;j
QP;aptincj992;p10p100;2000;49982.7;992;j
QP;aptincj992;p10p100;2001;49783;992;j
QP;aptincj992;p10p100;2002;49823.2;992;j
QP;aptincj992;p10p100;2003;50411.2;992;j
QP;aptincj992;p10p100;2004;51892.6;992;j
QP;aptincj992;p10p100;2005;53074.6;992;j
QP;aptincj992;p10p100;2006;54355.7;992;j
QP;aptincj992;p10p100;2007;53930.3;992;j
QP;aptincj992;p10p100;2008;52540.3;992;j
QP;aptincj992;p10p100;2009;50042.8;992;j
QP;aptincj992;p10p100;2010;51653.9;992;j
QP;aptincj992;p10p100;2011;52669.5;992;j
QP;aptincj992;p10p100;2012;53874.9;992;j
QP;aptincj992;p10p100;2013;54201.6;992;j
QP;aptincj992;p10p100;2014;55391.1;992;j
QP;aptincj992;p10p100;2015;56690.9;992;j
QP;aptincj992;p10p100;2016;56417.1;992;j
QP;aptincj992;p10p100;2017;57302.9;992;j
QP;aptincj992;p10p100;2018;58176.5;992;j
QP;aptincj992;p10p100;2019;58323.2;992;j
QP;aptincj992;p10p100;2020;55442.1;992;j
QP;aptincj992;p10p100;2021;59081.5;992;j
QP;aptincj992;p10p11;1980;6155.7;992;j
QP;aptincj992;p10p11;1981;6032.4;992;j
QP;aptincj992;p10p11;1982;5521.1;992;j
QP;aptincj992;p10p11;1983;5165.8;992;j
QP;aptincj992;p10p11;1984;5412.3;992;j
QP;aptincj992;p10p11;1985;5479.1;992;j
QP;aptincj992;p10p11;1986;5217.4;992;j
QP;aptincj992;p10p11;1987;5358.8;992;j
QP;aptincj992;p10p11;1988;5372.7;992;j
QP;aptincj992;p10p11;1989;5503.3;992;j
QP;aptincj992;p10p11;1990;5477.1;992;j
QP;aptincj992;p10p11;1991;5198.7;992;j
QP;aptincj992;p10p11;1992;5030.6;992;j
QP;aptincj992;p10p11;1993;5095.6;992;j
QP;aptincj992;p10p11;1994;5480.9;992;j
QP;aptincj992;p10p11;1995;5372.6;992;j
QP;aptincj992;p10p11;1996;5391.9;992;j
QP;aptincj992;p10p11;1997;5632.9;992;j
QP;aptincj992;p10p11;1998;5809.5;992;j
QP;aptincj992;p10p11;1999;5828.3;992;j
QP;aptincj992;p10p11;2000;5935.1;992;j
QP;aptincj992;p10p11;2001;5989.4;992;j
QP;aptincj992;p10p11;2002;6201.7;992;j
QP;aptincj992;p10p11;2003;6064.9;992;j
QP;aptincj992;p10p11;2004;6136;992;j
QP;aptincj992;p10p11;2005;6091.2;992;j
QP;aptincj992;p10p11;2006;5889;992;j
QP;aptincj992;p10p11;2007;6222;992;j
QP;aptincj992;p10p11;2008;5994.1;992;j
QP;aptincj992;p10p11;2009;5839.7;992;j
QP;aptincj992;p10p11;2010;5835.5;992;j
QP;aptincj992;p10p11;2011;5569.9;992;j
QP;aptincj992;p10p11;2012;5406.9;992;j
