country;variable;percentile;year;value;age;pop
QQ-MER;mgdproi999;p0p100;1960;3151076416;999;i
QQ-MER;mgdproi999;p0p100;1961;3325132672;999;i
QQ-MER;mgdproi999;p0p100;1962;3514796736;999;i
QQ-MER;mgdproi999;p0p100;1963;3677007488;999;i
QQ-MER;mgdproi999;p0p100;1964;3959374720;999;i
QQ-MER;mgdproi999;p0p100;1965;4245274176;999;i
QQ-MER;mgdproi999;p0p100;1966;4439454464;999;i
QQ-MER;mgdproi999;p0p100;1967;4704185024;999;i
QQ-MER;mgdproi999;p0p100;1968;4945764864;999;i
QQ-MER;mgdproi999;p0p100;1969;5292086784;999;i
QQ-MER;mgdproi999;p0p100;1970;7377137251;999;i
QQ-MER;mgdproi999;p0p100;1971;7824394391;999;i
QQ-MER;mgdproi999;p0p100;1972;8179888518;999;i
QQ-MER;mgdproi999;p0p100;1973;8852298270;999;i
QQ-MER;mgdproi999;p0p100;1974;9238530733;999;i
QQ-MER;mgdproi999;p0p100;1975;9155433951;999;i
QQ-MER;mgdproi999;p0p100;1976;9011307822;999;i
QQ-MER;mgdproi999;p0p100;1977;9192251508;999;i
QQ-MER;mgdproi999;p0p100;1978;9806296632;999;i
QQ-MER;mgdproi999;p0p100;1979;10276683116;999;i
QQ-MER;mgdproi999;p0p100;1980;10039631615;999;i
QQ-MER;mgdproi999;p0p100;1981;10161321819;999;i
QQ-MER;mgdproi999;p0p100;1982;10056158619;999;i
QQ-MER;mgdproi999;p0p100;1983;10207997318;999;i
QQ-MER;mgdproi999;p0p100;1984;10406535382;999;i
QQ-MER;mgdproi999;p0p100;1985;10587863635;999;i
QQ-MER;mgdproi999;p0p100;1986;11094095944;999;i
QQ-MER;mgdproi999;p0p100;1987;11174514634;999;i
QQ-MER;mgdproi999;p0p100;1988;11420647804;999;i
QQ-MER;mgdproi999;p0p100;1989;11511079270;999;i
QQ-MER;mgdproi999;p0p100;1990;11473089704;999;i
QQ-MER;mgdproi999;p0p100;1991;12102814930;999;i
QQ-MER;mgdproi999;p0p100;1992;13356241894;999;i
QQ-MER;mgdproi999;p0p100;1993;14970430566;999;i
QQ-MER;mgdproi999;p0p100;1994;15828370644;999;i
QQ-MER;mgdproi999;p0p100;1995;15712964584;999;i
QQ-MER;mgdproi999;p0p100;1996;16647036698;999;i
QQ-MER;mgdproi999;p0p100;1997;16168040056;999;i
QQ-MER;mgdproi999;p0p100;1998;15856216948;999;i
QQ-MER;mgdproi999;p0p100;1999;16307912440;999;i
QQ-MER;mgdproi999;p0p100;2000;15949987842;999;i
QQ-MER;mgdproi999;p0p100;2001;15980299474;999;i
QQ-MER;mgdproi999;p0p100;2002;16070625566;999;i
QQ-MER;mgdproi999;p0p100;2003;16412354580;999;i
QQ-MER;mgdproi999;p0p100;2004;16941399416;999;i
QQ-MER;mgdproi999;p0p100;2005;17736393514;999;i
QQ-MER;mgdproi999;p0p100;2006;18507057472;999;i
QQ-MER;mgdproi999;p0p100;2007;19469494068;999;i
QQ-MER;mgdproi999;p0p100;2008;19535296932;999;i
QQ-MER;mgdproi999;p0p100;2009;20358327026;999;i
QQ-MER;mgdproi999;p0p100;2010;21952381988;999;i
QQ-MER;mgdproi999;p0p100;2011;22356297906;999;i
QQ-MER;mgdproi999;p0p100;2012;23128630064;999;i
QQ-MER;mgdproi999;p0p100;2013;23984814010;999;i
QQ-MER;mgdproi999;p0p100;2014;26482671308;999;i
QQ-MER;mgdproi999;p0p100;2015;27994241476;999;i
QQ-MER;mgdproi999;p0p100;2016;29352845680;999;i
QQ-MER;mgdproi999;p0p100;2017;30457880176;999;i
QQ-MER;mgdproi999;p0p100;2018;30680348304;999;i
QQ-MER;mgdproi999;p0p100;2019;31690731788;999;i
QQ-MER;mgdproi999;p0p100;2020;29947842108;999;i
QQ-MER;mgdproi999;p0p100;2021;30848706660;999;i
QQ-MER;mgweali999;p0p100;1995;-1100254853;999;i
QQ-MER;mgweali999;p0p100;1996;-704258145;999;i
QQ-MER;mgweali999;p0p100;1997;-916461962;999;i
QQ-MER;mgweali999;p0p100;1998;-1050355198;999;i
QQ-MER;mgweali999;p0p100;1999;-770421707;999;i
QQ-MER;mgweali999;p0p100;2000;-564567752;999;i
QQ-MER;mgweali999;p0p100;2001;-782010484;999;i
QQ-MER;mgweali999;p0p100;2002;-762600069;999;i
QQ-MER;mgweali999;p0p100;2003;-580756689;999;i
QQ-MER;mgweali999;p0p100;2004;-79857075;999;i
QQ-MER;mgweali999;p0p100;2005;1130043546;999;i
QQ-MER;mgweali999;p0p100;2006;3112144016;999;i
QQ-MER;mgweali999;p0p100;2007;3853031070;999;i
QQ-MER;mgweali999;p0p100;2008;4283135144;999;i
QQ-MER;mgweali999;p0p100;2009;4242330675;999;i
QQ-MER;mgweali999;p0p100;2010;4923184343;999;i
QQ-MER;mgweali999;p0p100;2011;4815580965;999;i
QQ-MER;mgweali999;p0p100;2012;3928105521;999;i
QQ-MER;mgweali999;p0p100;2013;2881266510;999;i
QQ-MER;mgweali999;p0p100;2014;3063734252;999;i
QQ-MER;mgweali999;p0p100;2015;2795199181;999;i
QQ-MER;mgweali999;p0p100;2016;2025192940;999;i
QQ-MER;mgweali999;p0p100;2017;1541156176;999;i
QQ-MER;mgweali999;p0p100;2018;912881131;999;i
QQ-MER;mgweali999;p0p100;2019;6187258;999;i
QQ-MER;mgweali999;p0p100;2020;-552539217;999;i
QQ-MER;mgweali999;p0p100;2021;-1191312398;999;i
