country;variable;percentile;year;value;age;pop
QQ;agdproi992;p0p100;1960;2988.8;992;i
QQ;agdproi992;p0p100;1961;3090.3;992;i
QQ;agdproi992;p0p100;1962;3198.6;992;i
QQ;agdproi992;p0p100;1963;3288.2;992;i
QQ;agdproi992;p0p100;1964;3459.4;992;i
QQ;agdproi992;p0p100;1965;3594.2;992;i
QQ;agdproi992;p0p100;1966;3667.9;992;i
QQ;agdproi992;p0p100;1967;3833.1;992;i
QQ;agdproi992;p0p100;1968;3953.6;992;i
QQ;agdproi992;p0p100;1969;4115;992;i
QQ;agdproi992;p0p100;1970;5308.5;992;i
QQ;agdproi992;p0p100;1971;5508;992;i
QQ;agdproi992;p0p100;1972;5644.4;992;i
QQ;agdproi992;p0p100;1973;5960.8;992;i
QQ;agdproi992;p0p100;1974;6018.7;992;i
QQ;agdproi992;p0p100;1975;5819.8;992;i
QQ;agdproi992;p0p100;1976;5599.1;992;i
QQ;agdproi992;p0p100;1977;5581.9;992;i
QQ;agdproi992;p0p100;1978;5770.1;992;i
QQ;agdproi992;p0p100;1979;5923.4;992;i
QQ;agdproi992;p0p100;1980;5635.9;992;i
QQ;agdproi992;p0p100;1981;5573.5;992;i
QQ;agdproi992;p0p100;1982;5327.8;992;i
QQ;agdproi992;p0p100;1983;5222.3;992;i
QQ;agdproi992;p0p100;1984;5205.4;992;i
QQ;agdproi992;p0p100;1985;5119.5;992;i
QQ;agdproi992;p0p100;1986;5244.1;992;i
QQ;agdproi992;p0p100;1987;5105.4;992;i
QQ;agdproi992;p0p100;1988;5081.2;992;i
QQ;agdproi992;p0p100;1989;5018.8;992;i
QQ;agdproi992;p0p100;1990;4893.6;992;i
QQ;agdproi992;p0p100;1991;4988.6;992;i
QQ;agdproi992;p0p100;1992;5349.8;992;i
QQ;agdproi992;p0p100;1993;5809.3;992;i
QQ;agdproi992;p0p100;1994;5975;992;i
QQ;agdproi992;p0p100;1995;5777.7;992;i
QQ;agdproi992;p0p100;1996;5969.8;992;i
QQ;agdproi992;p0p100;1997;5644.7;992;i
QQ;agdproi992;p0p100;1998;5402.6;992;i
QQ;agdproi992;p0p100;1999;5451.7;992;i
QQ;agdproi992;p0p100;2000;5206.4;992;i
QQ;agdproi992;p0p100;2001;5102.2;992;i
QQ;agdproi992;p0p100;2002;5023.4;992;i
QQ;agdproi992;p0p100;2003;4999.8;992;i
QQ;agdproi992;p0p100;2004;5047.2;992;i
QQ;agdproi992;p0p100;2005;5137.6;992;i
QQ;agdproi992;p0p100;2006;5218.1;992;i
QQ;agdproi992;p0p100;2007;5330;992;i
QQ;agdproi992;p0p100;2008;5214.4;992;i
QQ;agdproi992;p0p100;2009;5279.4;992;i
QQ;agdproi992;p0p100;2010;5541;992;i
QQ;agdproi992;p0p100;2011;5521.2;992;i
QQ;agdproi992;p0p100;2012;5585.8;992;i
QQ;agdproi992;p0p100;2013;5677;992;i
QQ;agdproi992;p0p100;2014;6128.7;992;i
QQ;agdproi992;p0p100;2015;6340.5;992;i
QQ;agdproi992;p0p100;2016;6485.7;992;i
QQ;agdproi992;p0p100;2017;6580.3;992;i
QQ;agdproi992;p0p100;2018;6484.9;992;i
QQ;agdproi992;p0p100;2019;6524.7;992;i
QQ;agdproi992;p0p100;2020;5969.4;992;i
QQ;agdproi992;p0p100;2021;6022.4;992;i
QQ;agdproi999;p0p100;1960;1354.7;999;i
QQ;agdproi999;p0p100;1961;1394.8;999;i
QQ;agdproi999;p0p100;1962;1437.3;999;i
QQ;agdproi999;p0p100;1963;1471.4;999;i
QQ;agdproi999;p0p100;1964;1542.4;999;i
QQ;agdproi999;p0p100;1965;1598;999;i
QQ;agdproi999;p0p100;1966;1624.5;999;i
QQ;agdproi999;p0p100;1967;1692.6;999;i
QQ;agdproi999;p0p100;1968;1742.7;999;i
QQ;agdproi999;p0p100;1969;1813;999;i
QQ;agdproi999;p0p100;1970;2340.6;999;i
QQ;agdproi999;p0p100;1971;2429.2;999;i
QQ;agdproi999;p0p100;1972;2492.4;999;i
