country;variable;percentile;year;value;age;pop
QR;agdproi992;p0p100;1950;7242.7;992;i
QR;agdproi992;p0p100;1951;7418.2;992;i
QR;agdproi992;p0p100;1952;7498.2;992;i
QR;agdproi992;p0p100;1953;7668.8;992;i
QR;agdproi992;p0p100;1954;7907.4;992;i
QR;agdproi992;p0p100;1955;8220.5;992;i
QR;agdproi992;p0p100;1956;8284.3;992;i
QR;agdproi992;p0p100;1957;8705.2;992;i
QR;agdproi992;p0p100;1958;8967.2;992;i
QR;agdproi992;p0p100;1959;8988.7;992;i
QR;agdproi992;p0p100;1960;9414.1;992;i
QR;agdproi992;p0p100;1961;9888.2;992;i
QR;agdproi992;p0p100;1962;10153.8;992;i
QR;agdproi992;p0p100;1963;9997.7;992;i
QR;agdproi992;p0p100;1964;10376.3;992;i
QR;agdproi992;p0p100;1965;10579.9;992;i
QR;agdproi992;p0p100;1966;10784.9;992;i
QR;agdproi992;p0p100;1967;10903;992;i
QR;agdproi992;p0p100;1968;11341.2;992;i
QR;agdproi992;p0p100;1969;11805.9;992;i
QR;agdproi992;p0p100;1970;12301.9;992;i
QR;agdproi992;p0p100;1971;12810.5;992;i
QR;agdproi992;p0p100;1972;13374.7;992;i
QR;agdproi992;p0p100;1973;14240.6;992;i
QR;agdproi992;p0p100;1974;14745.3;992;i
QR;agdproi992;p0p100;1975;14804.2;992;i
QR;agdproi992;p0p100;1976;15346.4;992;i
QR;agdproi992;p0p100;1977;15693.9;992;i
QR;agdproi992;p0p100;1978;15743.3;992;i
QR;agdproi992;p0p100;1979;16240.7;992;i
QR;agdproi992;p0p100;1980;16655.8;992;i
QR;agdproi992;p0p100;1981;15850.1;992;i
QR;agdproi992;p0p100;1982;15327.8;992;i
QR;agdproi992;p0p100;1983;14552.7;992;i
QR;agdproi992;p0p100;1984;14690.4;992;i
QR;agdproi992;p0p100;1985;14881.2;992;i
QR;agdproi992;p0p100;1986;15478.6;992;i
QR;agdproi992;p0p100;1987;15660;992;i
QR;agdproi992;p0p100;1988;15367.5;992;i
QR;agdproi992;p0p100;1989;15008.9;992;i
QR;agdproi992;p0p100;1990;14384.1;992;i
QR;agdproi992;p0p100;1991;14518.6;992;i
QR;agdproi992;p0p100;1992;14501.1;992;i
QR;agdproi992;p0p100;1993;14845;992;i
QR;agdproi992;p0p100;1994;15233.2;992;i
QR;agdproi992;p0p100;1995;15392.5;992;i
QR;agdproi992;p0p100;1996;15392.8;992;i
QR;agdproi992;p0p100;1997;15726.6;992;i
QR;agdproi992;p0p100;1998;15496.2;992;i
QR;agdproi992;p0p100;1999;14963.6;992;i
QR;agdproi992;p0p100;2000;15334.5;992;i
QR;agdproi992;p0p100;2001;15114.7;992;i
QR;agdproi992;p0p100;2002;14801.8;992;i
QR;agdproi992;p0p100;2003;14734.7;992;i
QR;agdproi992;p0p100;2004;15614.5;992;i
QR;agdproi992;p0p100;2005;16048.9;992;i
QR;agdproi992;p0p100;2006;16596.2;992;i
QR;agdproi992;p0p100;2007;17303;992;i
QR;agdproi992;p0p100;2008;17891.5;992;i
QR;agdproi992;p0p100;2009;17410.9;992;i
QR;agdproi992;p0p100;2010;18298.3;992;i
QR;agdproi992;p0p100;2011;18924.1;992;i
QR;agdproi992;p0p100;2012;19104;992;i
QR;agdproi992;p0p100;2013;19459.5;992;i
QR;agdproi992;p0p100;2014;19219.8;992;i
QR;agdproi992;p0p100;2015;18656.2;992;i
QR;agdproi992;p0p100;2016;17861;992;i
QR;agdproi992;p0p100;2017;17668.3;992;i
QR;agdproi992;p0p100;2018;17444.1;992;i
QR;agdproi992;p0p100;2019;17138.5;992;i
QR;agdproi992;p0p100;2020;15758.7;992;i
QR;agdproi992;p0p100;2021;15864.1;992;i
QR;agdproi999;p0p100;1950;3634.1;999;i
QR;agdproi999;p0p100;1951;3711.8;999;i
QR;agdproi999;p0p100;1952;3741.4;999;i
QR;agdproi999;p0p100;1953;3815.3;999;i
QR;agdproi999;p0p100;1954;3923.5;999;i
QR;agdproi999;p0p100;1955;4070.6;999;i
QR;agdproi999;p0p100;1956;4087.2;999;i
QR;agdproi999;p0p100;1957;4283.3;999;i
QR;agdproi999;p0p100;1958;4402.6;999;i
QR;agdproi999;p0p100;1959;4403.4;999;i
QR;agdproi999;p0p100;1960;4599.9;999;i
QR;agdproi999;p0p100;1961;4813.1;999;i
QR;agdproi999;p0p100;1962;4922.6;999;i
QR;agdproi999;p0p100;1963;4829.1;999;i
QR;agdproi999;p0p100;1964;4999.1;999;i
QR;agdproi999;p0p100;1965;5091.6;999;i
QR;agdproi999;p0p100;1966;5180.9;999;i
QR;agdproi999;p0p100;1967;5238.1;999;i
QR;agdproi999;p0p100;1968;5457.5;999;i
QR;agdproi999;p0p100;1969;5696.3;999;i
QR;agdproi999;p0p100;1970;5956.8;999;i
QR;agdproi999;p0p100;1971;6227.3;999;i
QR;agdproi999;p0p100;1972;6532.5;999;i
QR;agdproi999;p0p100;1973;6993.2;999;i
QR;agdproi999;p0p100;1974;7283.9;999;i
QR;agdproi999;p0p100;1975;7357.9;999;i
QR;agdproi999;p0p100;1976;7673.1;999;i
QR;agdproi999;p0p100;1977;7891.9;999;i
QR;agdproi999;p0p100;1978;7962.5;999;i
QR;agdproi999;p0p100;1979;8265.8;999;i
QR;agdproi999;p0p100;1980;8536.4;999;i
QR;agdproi999;p0p100;1981;8170;999;i
QR;agdproi999;p0p100;1982;7955.1;999;i
QR;agdproi999;p0p100;1983;7609.2;999;i
QR;agdproi999;p0p100;1984;7738.2;999;i
QR;agdproi999;p0p100;1985;7894.7;999;i
QR;agdproi999;p0p100;1986;8267.2;999;i
QR;agdproi999;p0p100;1987;8420.8;999;i
